,word,relevance_score
0,"('mccorvey', 'said')",1.8005975138150032
1,"('that', 'mccorvey')",1.5135384315714402
2,"('mccorvey', 'stated')",0.9864218705288323
3,"('mccorvey', 'father')",0.9864218705288323
4,"('norma', 'mccorvey')",0.9864218705288323
5,"('operation', 'rescue')",0.9864218705288323
6,"('mccorvey', 'told')",0.9864218705288323
7,"('birth', 'mother')",0.9864218705288323
8,"('with', 'gonzalez')",1.2618956416004296e-05
9,"('childhood', 'family')",1.2618956416004296e-05
10,"('when', 'mccorvey')",1.2618956416004296e-05
11,"('mccorvey', 'mother')",1.2618956416004296e-05
12,"('mccorvey', 'arrested')",1.2618956416004296e-05
13,"('connie', 'gonzalez')",1.2618956416004296e-05
14,"('with', 'connie')",1.2618956416004296e-05
15,"('dallas', 'mccorvey')",1.2618956416004296e-05
16,"('told', 'press')",1.2618956416004296e-05
17,"('press', 'that')",1.2618956416004296e-05
18,"('abortion', 'because')",1.2618956416004296e-05
19,"('mccorvey', 'third')",1.2618956416004296e-05
20,"('third', 'child')",1.2618956416004296e-05
21,"('thornton', 'mccorvey')",1.2618956416004296e-05
22,"('priests', 'life')",1.2618956416004296e-05
23,"('antiabortion', 'activism')",1.2618956416004296e-05
24,"('mccorvey', 'received')",1.2618956416004296e-05
25,"('mccorvey', 'born')",1.2618956416004296e-05
26,"('received', 'into')",1.2618956416004296e-05
27,"('into', 'catholic')",1.2618956416004296e-05
28,"('``', 'deathbed')",1.2618956416004296e-05
29,"('mccorvey', 'became')",1.2618956416004296e-05
30,"('life', 'mccorvey')",1.2618956416004296e-05
31,"('case', 'wade')",1.2618956416004296e-05
32,"('mccorvey', 'norma')",1.2618956416004296e-05
33,"('roe', ""''"")",1.2618956416004296e-05
34,"('jane', 'roe')",1.2618956416004296e-05
35,"('``', 'jane')",1.2618956416004296e-05
36,"('with', 'mccorvey')",1.2618956416004296e-05
37,"(""''"", 'mccorvey')",1.2618956416004296e-05
38,"('confession', ""''"")",1.2618956416004296e-05
39,"('became', 'pregnant')",7.915879869777446e-06
40,"('antiabortion', 'movement')",7.915879869777446e-06
41,"('with', 'mother')",7.915879869777446e-06
42,"('family', 'american')",5.257455603150525e-06
43,"('deathbed', 'confession')",5.257455603150525e-06
44,"('american', 'story')",5.257455603150525e-06
45,"('been', 'raped')",5.257455603150525e-06
46,"('third', 'time')",5.257455603150525e-06
47,"('with', 'baby')",5.257455603150525e-06
48,"('have', 'abortion')",5.257455603150525e-06
49,"('knocked', 'then')",2.6190316194288924e-06
