,word,relevance_score
0,"('family', 'planning')",3.2210139438337593
1,"('planned', 'parenthood')",2.885873076623841
2,"('parenthood', 'federation')",2.714269060065303
3,"('federation', 'america')",2.378799099306823
4,"('parenthood', 'clinic')",2.2339173579924645
5,"('action', 'fund')",2.0620889135872518
6,"('parenthood', 'action')",2.0620889135872518
7,"('antiabortion', 'activists')",1.8497500893305516
8,"('planning', 'services')",1.8497500893305516
9,"('with', 'planned')",1.5665240131712563
10,"('parenthood', 'also')",1.5665240131712563
11,"('president', 'planned')",1.5665240131712563
12,"('that', 'planned')",1.5665240131712563
13,"('parenthood', 'clinics')",1.5665240131712563
14,"('international', 'planned')",1.5665240131712563
15,"('margaret', 'sanger')",1.5075620439326467
16,"('birth', 'control')",1.3064503031553139
17,"('medicaid', 'reimbursements')",1.079737295060747
18,"('clinics', 'have')",1.079737295060747
19,"('services', 'over')",1.079737295060747
20,"('federal', 'family')",1.079737295060747
21,"('title', 'funding')",1.079737295060747
22,"('antiabortion', 'groups')",1.079737295060747
23,"('parenthood', 'challenged')",1.079737295060747
24,"('challenged', 'constitutionality')",1.079737295060747
25,"('live', 'action')",1.079737295060747
26,"('center', 'medical')",1.079737295060747
27,"('medical', 'progress')",1.079737295060747
28,"('parenthood', 'global')",1.079737295060747
29,"('control', 'league')",1.079737295060747
30,"('emergency', 'contraception')",1.079737295060747
31,"('parental', 'consent')",1.0616993607686547
32,"('reproductive', 'health')",1.0531207494934667
33,"('sexually', 'transmitted')",2.892093672136821e-05
34,"('parental', 'notification')",1.5750348396504713e-05
35,"('abortion', 'services')",1.5750348396504713e-05
36,"('abortion', 'providers')",1.5750348396504713e-05
37,"('medical', 'records')",1.5750348396504713e-05
38,"('services', 'including')",1.5672961560042542e-05
39,"('buffett', 'foundation')",1.278986989299817e-05
40,"('president', 'organization')",1.278986989299817e-05
41,"('cecile', 'richards')",1.278986989299817e-05
42,"('services', 'antiabortion')",1.278986989299817e-05
43,"('cancer', 'screening')",1.278986989299817e-05
44,"('abortions', 'including')",1.278986989299817e-05
45,"('parenthood', '``')",1.278986989299817e-05
46,"('notification', 'before')",1.278986989299817e-05
47,"('before', 'abortion')",1.278986989299817e-05
48,"('before', 'abortions')",1.278986989299817e-05
49,"('parenthood', 'been')",1.278986989299817e-05
