,word,relevance_score
0,"('fetal', 'pain')",2.752425049730598
1,"('weeks', ""'"")",1.4993369183021377
2,"('fetal', 'anesthesia')",1.4993369183021377
3,"('general', 'anesthesia')",1.4993369183021377
4,"('unborn', 'child')",1.4993369183021377
5,"('cerebral', 'cortex')",0.9690741659500335
6,"('that', 'fetus')",0.9690741659500335
7,"('fetal', 'analgesia')",0.9690741659500335
8,"('html', 'version')",0.9690741659500335
9,"('fetus', 'feel')",1.2552757188930331e-05
10,"('feel', 'pain')",1.2552757188930331e-05
11,"('bill', 'called')",1.2552757188930331e-05
12,"('read', 'twice')",1.2552757188930331e-05
13,"('pain', 'awareness')",1.2552757188930331e-05
14,"('``', 'unborn')",1.2552757188930331e-05
15,"('child', 'pain')",1.2552757188930331e-05
16,"('medical', 'journal')",1.2552757188930331e-05
17,"('fully', 'informed')",1.2552757188930331e-05
18,"('twice', 'referred')",1.2552757188930331e-05
19,"('british', 'medical')",1.2552757188930331e-05
20,"('awareness', 'act')",1.2552757188930331e-05
21,"('anesthetise', 'fetus')",1.2552757188930331e-05
22,"('anterior', 'cingulate')",1.2552757188930331e-05
23,"('pain', 'from')",1.2552757188930331e-05
24,"('responsible', 'pain')",1.2552757188930331e-05
25,"('anesthesia', 'which')",1.2552757188930331e-05
26,"('weeks', ""''"")",1.2552757188930331e-05
27,"(""'"", 'gestation')",1.2552757188930331e-05
28,"(""'"", 'gestational')",1.2552757188930331e-05
29,"('act', ""''"")",7.64804222155574e-06
30,"('obtain', 'because')",2.552831684878745e-06
31,"('because', 'abortion')",2.552831684878745e-06
32,"('abortion', 'clinics')",2.552831684878745e-06
33,"('clinics', 'lack')",2.552831684878745e-06
34,"('lack', 'equipment')",2.552831684878745e-06
35,"('equipment', 'expertise')",2.552831684878745e-06
36,"('expertise', 'supply')",2.552831684878745e-06
37,"('anesthesia', 'administered')",2.552831684878745e-06
38,"('anesthesia', 'currently')",2.552831684878745e-06
39,"('currently', 'anesthesia')",2.552831684878745e-06
40,"('harder', 'obtain')",2.552831684878745e-06
41,"('directly', 'fetuses')",2.552831684878745e-06
42,"('fetuses', 'only')",2.552831684878745e-06
43,"('they', 'undergoing')",2.552831684878745e-06
44,"('undergoing', 'surgerydoctors')",2.552831684878745e-06
45,"('surgerydoctors', 'woman')",2.552831684878745e-06
46,"('supply', 'fetal')",2.552831684878745e-06
47,"('abortions', 'harder')",2.552831684878745e-06
48,"('recommendedfetal', 'pain')",2.552831684878745e-06
49,"('legislation', 'make')",2.552831684878745e-06
