,word,relevance_score
0,"('prochoice', 'prolife')",1.5710074949578516
1,"('``', 'proabortion')",1.0865366872776696
2,"('right', 'life')",2.8973481706547804e-05
3,"('``', 'abortion')",1.2974427589717839e-05
4,"('antiabortion', ""''"")",1.2974427589717839e-05
5,"('``', 'antiabortion')",1.2974427589717839e-05
6,"('labels', 'prochoice')",1.2974427589717839e-05
7,"('proabortion', ""''"")",1.2974427589717839e-05
8,"('abortion', 'example')",1.2974427589717839e-05
9,"('``', 'prochoice')",1.2974427589717839e-05
10,"('oxford', 'english')",1.2974427589717839e-05
11,"('cited', 'oxford')",1.2974427589717839e-05
12,"('term', 'prolife')",1.2974427589717839e-05
13,"('antilife', ""''"")",1.2974427589717839e-05
14,"('``', 'antilife')",1.2974427589717839e-05
15,"('english', 'dictionary')",1.2974427589717839e-05
16,"('``', 'antichoice')",1.2974427589717839e-05
17,"('antichoice', ""''"")",1.2974427589717839e-05
18,"('legal', 'abortion')",8.97459153469026e-06
19,"('``', 'prolife')",8.97459153469026e-06
20,"('william', 'safire')",5.965718695955006e-06
21,"('counter', 'right')",2.974497764701094e-06
22,"('phrase', 'counter')",2.974497764701094e-06
23,"('find', 'phrase')",2.974497764701094e-06
24,"('need', 'find')",2.974497764701094e-06
25,"('the', 'need')",2.974497764701094e-06
26,"('mothers', ""'"")",2.974497764701094e-06
27,"('director', 'association')",2.974497764701094e-06
28,"('association', 'study')",2.974497764701094e-06
29,"('identifies', '``')",2.974497764701094e-06
30,"('study', 'abortion')",2.974497764701094e-06
31,"('kimmey', 'identifies')",2.974497764701094e-06
32,"(""'"", 'pastorturnedsenator')",2.974497764701094e-06
33,"('subsequent', 'widespread')",2.974497764701094e-06
34,"('memo', 'kimmey')",2.974497764701094e-06
35,"('abortion', 'genesis')",2.974497764701094e-06
36,"('label', 'memo')",2.974497764701094e-06
37,"('prochoice', 'label')",2.974497764701094e-06
38,"('adoption', 'prochoice')",2.974497764701094e-06
39,"('genesis', 'subsequent')",2.974497764701094e-06
40,"('life', 'slogan')",2.974497764701094e-06
41,"('affirmation', 'life')",2.974497764701094e-06
42,"(""''"", 'suggests')",2.974497764701094e-06
43,"(""''"", 'conscience')",2.974497764701094e-06
44,"('deliberately', 'declined')",2.974497764701094e-06
45,"('internal', 'matter')",2.974497764701094e-06
46,"('``', 'internal')",2.974497764701094e-06
47,"('declined', 'propose')",2.974497764701094e-06
48,"('focus', 'action')",2.974497764701094e-06
49,"('brevity', 'focus')",2.974497764701094e-06
