,word,relevance_score
0,"('position', 'part')",1.3900239119166705e-05
1,"('support', 'plagal')",1.3900239119166705e-05
2,"('antiabortion', 'community')",1.3900239119166705e-05
3,"('from', 'antiabortion')",1.3900239119166705e-05
4,"('abort', 'fetus')",1.3900239119166705e-05
5,"('opponents', 'legal')",1.3900239119166705e-05
6,"('alliance', 'gays')",1.3900239119166705e-05
7,"('prolife', 'alliance')",1.3900239119166705e-05
8,"('legal', 'abortion')",1.170106414249698e-05
9,"('reaction', 'from')",7.800663135480753e-06
10,"('assist', 'abortion')",3.900304869654931e-06
11,"('philadelphia', 'aids')",3.900304869654931e-06
12,"('crucial', 'funds')",3.900304869654931e-06
13,"('diverting', '``')",3.900304869654931e-06
14,"('walk', 'diverting')",3.900304869654931e-06
15,"('aids', 'walk')",3.900304869654931e-06
16,"(""''"", 'assist')",3.900304869654931e-06
17,"('sponsors', 'philadelphia')",3.900304869654931e-06
18,"('members', 'otherwise')",3.900304869654931e-06
19,"('when', 'condemned')",3.900304869654931e-06
20,"('local', 'media')",3.900304869654931e-06
21,"('abortion', 'positive')",3.900304869654931e-06
22,"('started', 'local')",3.900304869654931e-06
23,"('chapter', 'started')",3.900304869654931e-06
24,"('plagal', 'chapter')",3.900304869654931e-06
25,"('valley', 'plagal')",3.900304869654931e-06
26,"('condemned', 'sponsors')",3.900304869654931e-06
27,"('positive', 'childrenmost')",3.900304869654931e-06
28,"('peaceful', 'always')",3.900304869654931e-06
29,"('within', 'lesbian')",3.900304869654931e-06
30,"('plagal', 'table')",3.900304869654931e-06
31,"('denied', 'plagal')",3.900304869654931e-06
32,"('parade', 'denied')",3.900304869654931e-06
33,"('pride', 'parade')",3.900304869654931e-06
34,"('annual', 'pride')",3.900304869654931e-06
35,"('boston', 'annual')",3.900304869654931e-06
36,"('participation', 'boston')",3.900304869654931e-06
37,"('childrenmost', 'debate')",3.900304869654931e-06
38,"('applied', 'participation')",3.900304869654931e-06
39,"('however', 'plagal')",3.900304869654931e-06
40,"('civil', 'however')",3.900304869654931e-06
41,"('always', 'civil')",3.900304869654931e-06
42,"('delaware', 'valley')",3.900304869654931e-06
43,"('remains', 'peaceful')",3.900304869654931e-06
44,"('community', 'remains')",3.900304869654931e-06
45,"('lesbian', 'community')",3.900304869654931e-06
46,"('plagal', 'applied')",3.900304869654931e-06
47,"('nowdefunct', 'delaware')",3.900304869654931e-06
48,"('outspoken', 'disability')",3.900304869654931e-06
49,"('volz', 'cofounder')",3.900304869654931e-06
