,word,relevance_score
0,"('lethal', 'force')",3.2349794116111577
1,"('right', 'life')",2.6036304941153467
2,"('enforcement', 'agents')",2.2567380693312367
3,"('enforcement', 'agent')",2.1279515189532963
4,"('pocket', 'book')",1.9163194162105317
5,"('other', 'civilians')",1.9163194162105317
6,"(""'"", 'section')",1.6365739694091672
7,"('lives', 'others')",1.1789214550148068
8,"('male', 'civilians')",1.1789214550148068
9,"('which', 'enforcement')",1.1789214550148068
10,"('firearms', ""'"")",1.1789214550148068
11,"('life', 'lives')",1.1789214550148068
12,"('rights', 'adopted')",2.0333229631188952e-05
13,"('state', 'actors')",1.6884276974817044e-05
14,"('right', 'live')",1.6884276974817044e-05
15,"('international', 'human')",1.6884276974817044e-05
16,"('threat', 'harm')",1.3441654969618503e-05
17,"('rights', 'standards')",1.3441654969618503e-05
18,"('standards', 'enforcement')",1.3441654969618503e-05
19,"('agents', 'must')",1.3441654969618503e-05
20,"('section', 'pocket')",1.3441654969618503e-05
21,"('book', 'human')",1.3441654969618503e-05
22,"('proportionately', 'appropriate')",1.3441654969618503e-05
23,"('appropriate', 'force')",1.3441654969618503e-05
24,"('force', 'proportionately')",1.3441654969618503e-05
25,"('prerogative', 'engage')",1.3441654969618503e-05
26,"('agent', 'other')",1.3441654969618503e-05
27,"('which', 'police')",1.3441654969618503e-05
28,"('rosenfeld', 'states')",1.3441654969618503e-05
29,"('killings', 'occur')",1.3441654969618503e-05
30,"('agents', ""'"")",1.3441654969618503e-05
31,"('life', 'personal')",1.3441654969618503e-05
32,"('human', 'dignity')",1.3441654969618503e-05
33,"('legal', 'prerogative')",1.3441654969618503e-05
34,"('arbitrarily', 'deprived')",1.3441654969618503e-05
35,"('there', 'reasonable')",1.3441654969618503e-05
36,"('shall', 'arbitrarily')",1.3441654969618503e-05
37,"('shall', 'protected')",1.3441654969618503e-05
38,"('right', 'shall')",1.3441654969618503e-05
39,"('killings', 'enforcement')",1.3441654969618503e-05
40,"('force', 'must')",1.3441654969618503e-05
41,"('must', 'only')",1.3441654969618503e-05
42,"('reasonable', 'belief')",1.3441654969618503e-05
43,"('court', 'find')",1.3441654969618503e-05
44,"('threatening', 'enforcement')",1.3441654969618503e-05
45,"('countries', 'council')",1.3441654969618503e-05
46,"('security', 'person')",1.3441654969618503e-05
47,"('violation', 'right')",1.3441654969618503e-05
48,"('liberty', 'security')",1.3441654969618503e-05
49,"('human', 'being')",1.3441654969618503e-05
