,word,relevance_score
0,"('undue', 'burden')",2.3435455729880195
1,"('partialbirth', 'abortion')",1.6234969417618077
2,"('stenberg', 'carhart')",1.4400555429985797
3,"('separate', 'opinion')",1.2523307457171633
4,"('forms', 'abortion')",1.2523307457171633
5,"('nebraska', 'statute')",1.2523307457171633
6,"('abortion', 'which')",1.2523307457171633
7,"('gonzales', 'carhart')",0.7460607102477331
8,"('innocent', 'child')",1.3729520163960097e-05
9,"('burden', 'standard')",1.3729520163960097e-05
10,"('constitutes', 'undue')",1.3729520163960097e-05
11,"('curettage', 'inside')",1.3729520163960097e-05
12,"('health', 'woman')",1.3729520163960097e-05
13,"('exception', 'health')",1.3729520163960097e-05
14,"('include', 'exception')",1.3729520163960097e-05
15,"('decision', 'gonzales')",1.3729520163960097e-05
16,"('partialbirth', 'abortions')",1.3729520163960097e-05
17,"(""o'connor"", 'agreed')",1.3729520163960097e-05
18,"('concurring', 'opinions')",1.3729520163960097e-05
19,"('fetal', 'pain')",1.3729520163960097e-05
20,"('inside', 'uterus')",1.3729520163960097e-05
21,"(""''"", 'dilation')",1.3729520163960097e-05
22,"('carhart', ""''"")",1.3729520163960097e-05
23,"('``', 'partial')",1.3729520163960097e-05
24,"('abortion', 'unconstitutional')",1.3729520163960097e-05
25,"('unborn', 'child')",1.3729520163960097e-05
26,"('partial', 'birth')",1.3729520163960097e-05
27,"('justice', ""o'connor"")",7.484434695965085e-06
28,"('abortion', ""''"")",7.484434695965085e-06
29,"('believe', 'abortion')",7.484434695965085e-06
30,"('privacy', ""''"")",7.484434695965085e-06
31,"('dissenting', 'opinion')",7.484434695965085e-06
32,"('justice', 'kennedy')",7.484434695965085e-06
33,"('abortion', 'actually')",3.72958271935271e-06
34,"('actually', 'killing')",3.72958271935271e-06
35,"('child', 'merely')",3.72958271935271e-06
36,"('certain', 'extent')",3.72958271935271e-06
37,"('merely', 'akin')",3.72958271935271e-06
38,"('life', 'certain')",3.72958271935271e-06
39,"('kennedy', 'dissented')",3.72958271935271e-06
40,"('laws', 'preserve')",3.72958271935271e-06
41,"('kennedy', 'claimed')",3.72958271935271e-06
42,"('type', 'allowed')",3.72958271935271e-06
43,"('allowed', 'their')",3.72958271935271e-06
44,"('prenatal', 'life')",3.72958271935271e-06
45,"('their', 'ruling')",3.72958271935271e-06
46,"('preserve', 'prenatal')",3.72958271935271e-06
47,"('ruling', 'planned')",3.72958271935271e-06
48,"('allowed', 'laws')",3.72958271935271e-06
49,"('dissented', 'kennedy')",3.72958271935271e-06
