,word,relevance_score
0,"('took', 'streets')",1.8081588313679424
1,"('streets', 'across')",1.8081588313679424
2,"('women', 'march')",0.9613578175629915
3,"('rights', 'protests')",1.4342240047871228e-05
4,"('chicago', 'angeles')",1.4342240047871228e-05
5,"('thousands', 'took')",1.4342240047871228e-05
6,"('protesters', 'took')",1.4342240047871228e-05
7,"('scale', 'protests')",1.4342240047871228e-05
8,"('protests', 'have')",1.4342240047871228e-05
9,"('protests', 'erupted')",1.4342240047871228e-05
10,"('following', 'leak')",1.4342240047871228e-05
11,"('possible', 'overturn')",1.4342240047871228e-05
12,"('part', 'abortion')",1.4342240047871228e-05
13,"('gathered', 'outside')",8.68530363657725e-06
14,"('angeles', 'york')",8.68530363657725e-06
15,"('overturn', 'wade')",8.68530363657725e-06
16,"('protests', 'part')",4.342296613638524e-06
17,"('both', 'protests')",4.342296613638524e-06
18,"('internationally', 'both')",4.342296613638524e-06
19,"('marched', 'northampton')",4.342296613638524e-06
20,"('were', 'beginning')",4.342296613638524e-06
21,"('``', 'summer')",4.342296613638524e-06
22,"('summer', 'rage')",4.342296613638524e-06
23,"('states', 'internationally')",4.342296613638524e-06
24,"('rage', ""''"")",4.342296613638524e-06
25,"('northampton', 'dozen')",4.342296613638524e-06
26,"('march', 'thousands')",4.342296613638524e-06
27,"('announced', 'women')",4.342296613638524e-06
28,"('action', 'announced')",4.342296613638524e-06
29,"('following', 'national')",4.342296613638524e-06
30,"('erupted', 'washington')",4.342296613638524e-06
31,"('similar', 'protests')",4.342296613638524e-06
32,"('leak', 'possible')",4.342296613638524e-06
33,"('springfield', 'amherst')",4.342296613638524e-06
34,"('occurred', 'springfield')",4.342296613638524e-06
35,"('protests', 'counter')",4.342296613638524e-06
36,"('notably', 'women')",4.342296613638524e-06
37,"('march', 'where')",4.342296613638524e-06
38,"('protests', 'also')",4.342296613638524e-06
39,"('wade', 'protests')",4.342296613638524e-06
40,"('ayer', 'protests')",4.342296613638524e-06
41,"('million', 'protesters')",4.342296613638524e-06
42,"('hundreds', 'marched')",4.342296613638524e-06
43,"('outside', 'town')",4.342296613638524e-06
44,"('followed', 'similar')",4.342296613638524e-06
45,"('dozen', 'gathered')",4.342296613638524e-06
46,"('protests', 'annually')",4.342296613638524e-06
47,"('hall', 'ayer')",4.342296613638524e-06
48,"('according', 'women')",4.342296613638524e-06
49,"('washington', 'protests')",4.342296613638524e-06
