,word,relevance_score
0,"('human', 'life', 'protection')",1.7284317228896344
1,"('alabama', 'women', 'center')",1.5049034212519437
2,"('three', 'abortion', 'clinics')",1.188090827273558
3,"('abortion', 'clinics', 'alabama')",2.037349988514336e-05
4,"('west', 'alabama', 'women')",2.037349988514336e-05
5,"('reproductive', 'health', 'services')",1.0373596148577718e-05
6,"('three', 'remaining', 'abortion')",1.0373596148577718e-05
7,"('remaining', 'abortion', 'clinics')",1.0373596148577718e-05
8,"('tried', 'failed', 'pass')",1.0373596148577718e-05
9,"('passed', 'lower', 'house')",1.0373596148577718e-05
10,"('despite', 'this', 'alabama')",1.0373596148577718e-05
11,"('alabama', 'human', 'life')",1.0373596148577718e-05
12,"('introduction', 'human', 'life')",1.0373596148577718e-05
13,"('judge', 'myron', 'thompson')",1.0373596148577718e-05
14,"('evangelical', 'christian', 'women')",1.0373596148577718e-05
15,"('five', 'abortion', 'clinics')",1.0373596148577718e-05
16,"('states', 'like', 'alabama')",1.0373596148577718e-05
17,"('like', 'alabama', 'georgia')",1.0373596148577718e-05
18,"('north', 'jefferson', 'women')",1.0373596148577718e-05
19,"('jefferson', 'women', 'center')",1.0373596148577718e-05
20,"('markley', 'convicted', 'firstdegree')",1.0373596148577718e-05
21,"('convicted', 'firstdegree', 'criminal')",1.0373596148577718e-05
22,"('firstdegree', 'criminal', 'mischief')",1.0373596148577718e-05
23,"('white', 'evangelical', 'christian')",1.0373596148577718e-05
24,"('were', 'five', 'abortion')",1.0373596148577718e-05
25,"('lower', 'house', 'april')",1.0373596148577718e-05
26,"('only', 'three', 'abortion')",1.0373596148577718e-05
27,"('abortion', 'clinics', 'state')",1.0373596148577718e-05
28,"('women', 'having', 'abortions')",1.0373596148577718e-05
29,"('ibis', 'reproductive', 'health')",1.0373596148577718e-05
30,"('rights', 'ibis', 'reproductive')",1.0373596148577718e-05
31,"('reproductive', 'rights', 'ibis')",1.0373596148577718e-05
32,"('center', 'reproductive', 'rights')",1.0373596148577718e-05
33,"('alternative', 'viewpoint', '``')",1.0373596148577718e-05
34,"('abortion', 'alabama', 'illegal')",1.0373596148577718e-05
35,"('there', 'exceptions', 'rape')",1.0373596148577718e-05
36,"('``', 'prochoice', ""''"")",1.0373596148577718e-05
37,"('divisive', 'issue', 'state')",1.0373596148577718e-05
38,"('issue', 'state', 'with')",1.0373596148577718e-05
39,"('abortion', 'clinics', 'were')",1.0373596148577718e-05
40,"('should', 'illegal', 'most')",1.1210593697050269e-06
41,"('woman', 'right', 'choose')",7.473796218362911e-07
42,"('there', 'were', 'five')",7.473796218362911e-07
43,"('alabama', 'women', 'lived')",3.736924111859602e-07
44,"('there', 'average', 'abortion')",3.736924111859602e-07
45,"('average', 'abortion', 'clinic')",3.736924111859602e-07
46,"('abortion', 'clinic', 'every')",3.736924111859602e-07
47,"('clinic', 'every', 'square')",3.736924111859602e-07
48,"('every', 'square', 'miles')",3.736924111859602e-07
49,"('square', 'miles', 'that')",3.736924111859602e-07
