,word,relevance_score
0,"('david', 'eastman', 'rwasilla')",2.007192632791063e-05
1,"('never', 'made', 'committee')",1.0070431941210422e-05
2,"('number', 'abortion', 'clinics')",1.0070431941210422e-05
3,"('antiabortion', 'rights', 'activists')",1.0070431941210422e-05
4,"('unborn', 'child', ""''"")",1.0070431941210422e-05
5,"('``', 'prochoice', ""''"")",1.0070431941210422e-05
6,"('alternative', 'viewpoint', '``')",1.0070431941210422e-05
7,"('center', 'reproductive', 'rights')",1.0070431941210422e-05
8,"('reproductive', 'rights', 'ibis')",1.0070431941210422e-05
9,"('rights', 'ibis', 'reproductive')",1.0070431941210422e-05
10,"('ibis', 'reproductive', 'health')",1.0070431941210422e-05
11,"('women', 'ability', 'access')",1.0070431941210422e-05
12,"('ability', 'access', 'legal')",1.0070431941210422e-05
13,"('access', 'legal', 'abortions')",1.0070431941210422e-05
14,"('abortion', 'clinics', 'state')",1.0070431941210422e-05
15,"('planned', 'parenthood', 'clinics')",1.0070431941210422e-05
16,"('women', 'aged', 'abortions')",1.0070431941210422e-05
17,"('alaska', 'capitol', 'juneau')",1.0070431941210422e-05
18,"('between', 'abortion', 'breast')",1.0070431941210422e-05
19,"('link', 'between', 'abortion')",1.0070431941210422e-05
20,"('abortion', 'breast', 'cancer')",1.0070431941210422e-05
21,"('warn', 'patients', 'link')",1.0070431941210422e-05
22,"('providers', 'warn', 'patients')",1.0070431941210422e-05
23,"('abortion', 'providers', 'warn')",1.0070431941210422e-05
24,"('decision', 'wade', 'ruling')",1.0070431941210422e-05
25,"('adults', 'said', 'poll')",1.0070431941210422e-05
26,"('said', 'poll', 'research')",1.0070431941210422e-05
27,"('abortion', 'legal', 'between')",1.0070431941210422e-05
28,"('poll', 'research', 'center')",1.0070431941210422e-05
29,"('patients', 'link', 'between')",1.0070431941210422e-05
30,"('that', 'abortion', 'should')",1.0070431941210422e-05
31,"('center', 'that', 'abortion')",1.0070431941210422e-05
32,"('women', 'seeking', 'abortions')",1.425330251275919e-07
33,"('research', 'center', 'that')",1.425330251275919e-07
34,"('abortion', 'should', 'legal')",1.425330251275919e-07
35,"('bill', 'called', 'life')",7.053123113233072e-08
36,"('rwasilla', 'bill', 'called')",7.053123113233072e-08
37,"('weeks', 'house', 'bill')",7.053123113233072e-08
38,"('house', 'bill', 'introduced')",7.053123113233072e-08
39,"('bill', 'introduced', 'david')",7.053123113233072e-08
40,"('eastman', 'rwasilla', 'bill')",7.053123113233072e-08
41,"('introduced', 'david', 'eastman')",7.053123113233072e-08
42,"('called', 'life', 'conception')",7.053123113233072e-08
43,"('between', 'weeks', 'house')",7.053123113233072e-08
44,"('life', 'conception', 'never')",7.053123113233072e-08
45,"('washington', 'state', 'mexico')",7.053123113233072e-08
46,"('made', 'committee', 'alaska')",7.053123113233072e-08
47,"('committee', 'alaska', 'house')",7.053123113233072e-08
48,"('alaska', 'house', 'washington')",7.053123113233072e-08
49,"('house', 'washington', 'state')",7.053123113233072e-08
