,word,relevance_score
0,"('morning', 'after', 'pill')",1.0136882099251303e-05
1,"('``', 'prochoice', ""''"")",1.0136882099251303e-05
2,"('alternative', 'viewpoint', '``')",1.0136882099251303e-05
3,"('seeking', 'prenatal', 'care')",1.0136882099251303e-05
4,"('exception', 'women', 'wanted')",1.3698072896460686e-07
5,"('such', 'exception', 'women')",1.3698072896460686e-07
6,"('qualify', 'such', 'exception')",1.3698072896460686e-07
7,"('virus', 'qualify', 'such')",1.3698072896460686e-07
8,"('zika', 'virus', 'qualify')",1.3698072896460686e-07
9,"('risk', 'zika', 'virus')",1.3698072896460686e-07
10,"('mother', 'risk', 'zika')",1.3698072896460686e-07
11,"('life', 'mother', 'risk')",1.3698072896460686e-07
12,"('abortion', 'life', 'mother')",1.3698072896460686e-07
13,"('options', 'only', 'abortion')",1.3698072896460686e-07
14,"('women', 'wanted', 'abortion')",1.3698072896460686e-07
15,"('virus', 'options', 'only')",1.3698072896460686e-07
16,"('zika', 'virus', 'options')",1.3698072896460686e-07
17,"('having', 'zika', 'virus')",1.3698072896460686e-07
18,"('confirmed', 'having', 'zika')",1.3698072896460686e-07
19,"('women', 'confirmed', 'having')",1.3698072896460686e-07
20,"('pregnant', 'women', 'confirmed')",1.3698072896460686e-07
21,"('care', 'pregnant', 'women')",1.3698072896460686e-07
22,"('only', 'abortion', 'life')",1.3698072896460686e-07
23,"('wanted', 'abortion', 'their')",1.3698072896460686e-07
24,"('their', 'only', 'real')",1.3698072896460686e-07
25,"('seek', 'care', 'pregnant')",1.3698072896460686e-07
26,"('doing', 'goes', 'against')",1.3698072896460686e-07
27,"('procedure', 'doing', 'goes')",1.3698072896460686e-07
28,"('abortion', 'procedure', 'doing')",1.3698072896460686e-07
29,"('participate', 'abortion', 'procedure')",1.3698072896460686e-07
30,"('compelled', 'participate', 'abortion')",1.3698072896460686e-07
31,"('employee', 'compelled', 'participate')",1.3698072896460686e-07
32,"('hospital', 'employee', 'compelled')",1.3698072896460686e-07
33,"('physician', 'hospital', 'employee')",1.3698072896460686e-07
34,"('abortion', 'their', 'only')",1.3698072896460686e-07
35,"('that', 'physician', 'hospital')",1.3698072896460686e-07
36,"('passed', 'said', 'that')",1.3698072896460686e-07
37,"('most', 'could', 'hawaii')",1.3698072896460686e-07
38,"('afford', 'most', 'could')",1.3698072896460686e-07
39,"('could', 'afford', 'most')",1.3698072896460686e-07
40,"('they', 'could', 'afford')",1.3698072896460686e-07
41,"('option', 'they', 'could')",1.3698072896460686e-07
42,"('real', 'option', 'they')",1.3698072896460686e-07
43,"('only', 'real', 'option')",1.3698072896460686e-07
44,"('said', 'that', 'physician')",1.3698072896460686e-07
45,"('thirdtrimester', 'seek', 'care')",1.3698072896460686e-07
46,"('waited', 'until', 'thirdtrimester')",1.3698072896460686e-07
47,"('goes', 'against', 'their')",1.3698072896460686e-07
48,"('hospital', 'starting', 'continuing')",1.3698072896460686e-07
49,"('clinics', 'hospital', 'starting')",1.3698072896460686e-07
