,word,relevance_score
0,"('with', 'fifth', 'child')",1.0262705914189493e-05
1,"('catholic', 'diocese', 'phoenix')",1.0262705914189493e-05
2,"('abortion', 'clinics', 'state')",1.0262705914189493e-05
3,"('allowed', 'have', 'abortion')",1.0262705914189493e-05
4,"('years', 'more', 'than')",1.0262705914189493e-05
5,"('than', 'years', 'more')",1.0262705914189493e-05
6,"('shall', 'punished', 'imprisonment')",1.0262705914189493e-05
7,"('ibis', 'reproductive', 'health')",1.0262705914189493e-05
8,"('rights', 'ibis', 'reproductive')",1.0262705914189493e-05
9,"('reproductive', 'rights', 'ibis')",1.0262705914189493e-05
10,"('center', 'reproductive', 'rights')",1.0262705914189493e-05
11,"('``', 'prochoice', ""''"")",1.0262705914189493e-05
12,"('mcbride', 'sister', 'mercy')",1.0262705914189493e-05
13,"('mary', 'mcbride', 'sister')",1.0262705914189493e-05
14,"('margaret', 'mary', 'mcbride')",1.0262705914189493e-05
15,"('publicly', 'funded', 'abortions')",1.0262705914189493e-05
16,"('alternative', 'viewpoint', '``')",1.0262705914189493e-05
17,"('there', 'were', 'abortions')",1.0262705914189493e-05
18,"('number', 'abortion', 'clinics')",1.0262705914189493e-05
19,"('abortion', 'providers', 'trap')",1.0262705914189493e-05
20,"('regulation', 'abortion', 'providers')",1.0262705914189493e-05
21,"('targeted', 'regulation', 'abortion')",1.0262705914189493e-05
22,"('nelson', 'planned', 'parenthood')",1.0262705914189493e-05
23,"('fourteen', 'publicly', 'funded')",1.0262705914189493e-05
24,"('poll', 'research', 'center')",1.0262705914189493e-05
25,"('that', 'abortion', 'should')",1.0262705914189493e-05
26,"('abortion', 'should', 'legal')",5.249706659639714e-07
27,"('overturning', 'dobbs', 'jackson')",2.628032883155065e-07
28,"('organization', 'will', 'restrict')",2.628032883155065e-07
29,"('with', 'overturning', 'dobbs')",2.628032883155065e-07
30,"('will', 'restrict', 'abortions')",2.628032883155065e-07
31,"('restrict', 'abortions', 'before')",2.628032883155065e-07
32,"('abortions', 'before', 'weeks')",2.628032883155065e-07
33,"('before', 'weeks', 'viability')",2.628032883155065e-07
34,"('health', 'organization', 'will')",2.628032883155065e-07
35,"('combined', 'with', 'overturning')",2.628032883155065e-07
36,"('bill', 'march', 'combined')",2.628032883155065e-07
37,"('march', 'combined', 'with')",2.628032883155065e-07
38,"('entities', 'that', 'promote')",2.628032883155065e-07
39,"('senate', 'bill', 'march')",2.628032883155065e-07
40,"('that', 'promote', 'refer')",2.628032883155065e-07
41,"('promote', 'refer', 'perform')",2.628032883155065e-07
42,"('refer', 'perform', 'abortions')",2.628032883155065e-07
43,"('perform', 'abortions', ""''"")",2.628032883155065e-07
44,"('weeks', 'viability', 'will')",2.628032883155065e-07
45,"('passing', 'senate', 'bill')",2.628032883155065e-07
46,"('distributed', 'entities', 'that')",2.628032883155065e-07
47,"('viability', 'will', 'into')",2.628032883155065e-07
48,"('initially', 'heard', 'when')",2.628032883155065e-07
49,"('into', 'effect', 'days')",2.628032883155065e-07
