,word,relevance_score
0,"('``', 'prochoice', ""''"")",1.0674491515087469e-05
1,"('women', 'aged', 'abortions')",1.0674491515087469e-05
2,"('abortion', 'clinics', 'state')",1.0674491515087469e-05
3,"('until', 'between', 'weeks')",1.0674491515087469e-05
4,"('fetus', 'until', 'between')",1.0674491515087469e-05
5,"('develop', 'fetus', 'until')",1.0674491515087469e-05
6,"('pain', 'sensors', 'develop')",1.0674491515087469e-05
7,"('that', 'pain', 'sensors')",1.0674491515087469e-05
8,"('american', 'medical', 'association')",1.0674491515087469e-05
9,"('sensors', 'develop', 'fetus')",1.0674491515087469e-05
10,"('southern', 'white', 'evangelical')",1.0674491515087469e-05
11,"('ibis', 'reproductive', 'health')",1.0674491515087469e-05
12,"('rights', 'ibis', 'reproductive')",1.0674491515087469e-05
13,"('reproductive', 'rights', 'ibis')",1.0674491515087469e-05
14,"('center', 'reproductive', 'rights')",1.0674491515087469e-05
15,"('alternative', 'viewpoint', '``')",1.0674491515087469e-05
16,"('journal', 'american', 'medical')",1.0674491515087469e-05
17,"('women', 'must', 'provided')",6.74471354934322e-07
18,"('requirement', 'georgia', 'michigan')",6.74471354934322e-07
19,"('georgia', 'michigan', 'arkansas')",6.74471354934322e-07
20,"('michigan', 'arkansas', 'idaho')",6.74471354934322e-07
21,"('arkansas', 'idaho', 'required')",6.74471354934322e-07
22,"('idaho', 'required', 'that')",6.74471354934322e-07
23,"('required', 'that', 'women')",6.74471354934322e-07
24,"('that', 'women', 'must')",6.74471354934322e-07
25,"('must', 'provided', 'abortion')",6.74471354934322e-07
26,"('their', 'fetus', 'ultrasound')",6.74471354934322e-07
27,"('abortion', 'clinic', 'with')",6.74471354934322e-07
28,"('clinic', 'with', 'option')",6.74471354934322e-07
29,"('with', 'option', 'view')",6.74471354934322e-07
30,"('option', 'view', 'image')",6.74471354934322e-07
31,"('view', 'image', 'their')",6.74471354934322e-07
32,"('image', 'their', 'fetus')",6.74471354934322e-07
33,"('consent', 'requirement', 'georgia')",6.74471354934322e-07
34,"('fetus', 'ultrasound', 'used')",6.74471354934322e-07
35,"('provided', 'abortion', 'clinic')",6.74471354934322e-07
36,"('informed', 'consent', 'requirement')",6.74471354934322e-07
37,"('federal', 'constitutionthe', 'state')",6.74471354934322e-07
38,"('detailed', 'abortionspecific', 'informed')",6.74471354934322e-07
39,"('arkansas', 'protect', 'life')",6.74471354934322e-07
40,"('protect', 'life', 'every')",6.74471354934322e-07
41,"('life', 'every', 'unborn')",6.74471354934322e-07
42,"('every', 'unborn', 'child')",6.74471354934322e-07
43,"('unborn', 'child', 'from')",6.74471354934322e-07
44,"('child', 'from', 'conception')",6.74471354934322e-07
45,"('from', 'conception', 'until')",6.74471354934322e-07
46,"('conception', 'until', 'birth')",6.74471354934322e-07
47,"('abortionspecific', 'informed', 'consent')",6.74471354934322e-07
48,"('until', 'birth', 'extent')",6.74471354934322e-07
49,"('extent', 'permitted', 'federal')",6.74471354934322e-07
