,word,relevance_score
0,"('angeles', 'fetus', 'disposal')",1.1564126151167922
1,"('fetus', 'disposal', 'scandal')",1.1564126151167922
2,"('california', 'state', 'legislature')",1.0284167249676333e-05
3,"('disposal', 'scandal', 'first')",1.0141280045873948e-05
4,"('about', 'angeles', 'fetus')",1.0141280045873948e-05
5,"(""''"", 'about', 'angeles')",1.0141280045873948e-05
6,"('faces', ""''"", 'about')",1.0141280045873948e-05
7,"('thousand', 'faces', ""''"")",1.0141280045873948e-05
8,"('sixteen', 'thousand', 'faces')",1.0141280045873948e-05
9,"('``', 'sixteen', 'thousand')",1.0141280045873948e-05
10,"('titled', '``', 'sixteen')",1.0141280045873948e-05
11,"('song', 'titled', '``')",1.0141280045873948e-05
12,"('recorded', 'song', 'titled')",1.0141280045873948e-05
13,"('announced', 'recorded', 'song')",1.0141280045873948e-05
14,"('boone', 'announced', 'recorded')",1.0141280045873948e-05
15,"('singer', 'boone', 'announced')",1.0141280045873948e-05
16,"('abortion', 'founded', 'francisco')",1.0141280045873948e-05
17,"('human', 'abortion', 'founded')",1.0141280045873948e-05
18,"('society', 'human', 'abortion')",1.0141280045873948e-05
19,"('women', 'under', 'medicaid')",1.0141280045873948e-05
20,"('lowincome', 'women', 'under')",1.0141280045873948e-05
21,"('sought', 'lowincome', 'women')",1.0141280045873948e-05
22,"('abortions', 'sought', 'lowincome')",1.0141280045873948e-05
23,"(""''"", 'abortions', 'sought')",1.0141280045873948e-05
24,"('necessary', ""''"", 'abortions')",1.0141280045873948e-05
25,"('first', 'walk', 'life')",1.0141280045873948e-05
26,"('walk', 'life', 'held')",1.0141280045873948e-05
27,"('``', 'prochoice', ""''"")",1.0141280045873948e-05
28,"('medically', 'necessary', ""''"")",1.0141280045873948e-05
29,"('occurred', 'abortion', 'clinic')",1.0141280045873948e-05
30,"('medical', 'analytical', 'laboratories')",1.0141280045873948e-05
31,"('illegal', 'abortion', 'deaths')",1.0141280045873948e-05
32,"('planned', 'parenthood', 'clinics')",1.0141280045873948e-05
33,"('were', 'planned', 'parenthood')",1.0141280045873948e-05
34,"('there', 'were', 'planned')",1.0141280045873948e-05
35,"('abortion', 'clinics', 'state')",1.0141280045873948e-05
36,"('number', 'abortion', 'clinics')",1.0141280045873948e-05
37,"('onsite', 'memorial', 'services')",1.0141280045873948e-05
38,"('prolife', 'medical', 'association')",1.0141280045873948e-05
39,"('california', 'prolife', 'medical')",1.0141280045873948e-05
40,"('court', 'overturned', 'wade')",1.0141280045873948e-05
41,"('health', 'organization', 'later')",1.0141280045873948e-05
42,"('wade', 'dobbs', 'jackson')",1.0141280045873948e-05
43,"('family', 'life', 'advocates')",1.0141280045873948e-05
44,"('institute', 'family', 'life')",1.0141280045873948e-05
45,"('national', 'institute', 'family')",1.0141280045873948e-05
46,"('governor', 'gavin', 'newsom')",1.0141280045873948e-05
47,"('ibis', 'reproductive', 'health')",1.0141280045873948e-05
48,"('rights', 'ibis', 'reproductive')",1.0141280045873948e-05
49,"('reproductive', 'rights', 'ibis')",1.0141280045873948e-05
