,word,relevance_score
0,"('colorado', 'became', 'first')",1.949824013926376e-05
1,"('women', 'aged', 'abortions')",1.949824013926376e-05
2,"('abortion', 'almost', 'cases')",1.949824013926376e-05
3,"('banned', 'abortion', 'almost')",1.949824013926376e-05
4,"('would', 'have', 'banned')",1.949824013926376e-05
5,"('introduced', 'bill', 'that')",1.949824013926376e-05
6,"('have', 'banned', 'abortion')",1.949824013926376e-05
7,"('where', 'legislature', 'introduced')",1.949824013926376e-05
8,"('planned', 'parenthood', 'clinics')",1.949824013926376e-05
9,"('abortion', 'clinics', 'state')",1.949824013926376e-05
10,"('colorado', 'amendment', 'initiative')",1.949824013926376e-05
11,"('legislature', 'introduced', 'bill')",1.949824013926376e-05
12,"('state', 'fell', 'nearly')",9.498339786424282e-06
13,"('fell', 'nearly', 'half')",9.498339786424282e-06
14,"('nearly', 'half', 'women')",9.498339786424282e-06
15,"('half', 'women', 'between')",9.498339786424282e-06
16,"('women', 'between', 'ages')",9.498339786424282e-06
17,"('ages', 'women', 'aged')",9.498339786424282e-06
18,"('rate', 'abortions', 'declined')",9.498339786424282e-06
19,"('performed', 'state', 'fell')",9.498339786424282e-06
20,"('women', 'aged', 'rate')",9.498339786424282e-06
21,"('aged', 'rate', 'abortions')",9.498339786424282e-06
22,"('between', 'ages', 'women')",9.498339786424282e-06
23,"('abortions', 'performed', 'state')",9.498339786424282e-06
24,"('start', 'colorado', 'family')",9.498339786424282e-06
25,"('initiative', 'number', 'abortions')",9.498339786424282e-06
26,"('planning', 'initiative', 'number')",9.498339786424282e-06
27,"('family', 'planning', 'initiative')",9.498339786424282e-06
28,"('colorado', 'family', 'planning')",9.498339786424282e-06
29,"('abortions', 'declined', 'teens')",9.498339786424282e-06
30,"('since', 'start', 'colorado')",9.498339786424282e-06
31,"('medicaid', 'reimbursement', 'rates')",9.498339786424282e-06
32,"('number', 'abortion', 'clinics')",9.498339786424282e-06
33,"('life', 'supported', 'amendment')",9.498339786424282e-06
34,"('right', 'life', 'supported')",9.498339786424282e-06
35,"('colorado', 'right', 'life')",9.498339786424282e-06
36,"('number', 'abortions', 'performed')",9.498339786424282e-06
37,"('declined', 'teens', 'aged')",9.498339786424282e-06
38,"('colorado', 'between', 'declined')",9.498339786424282e-06
39,"('aged', 'birth', 'abortion')",9.498339786424282e-06
40,"('each', 'year', 'support')",9.498339786424282e-06
41,"('abortion', 'after', 'weeks')",9.498339786424282e-06
42,"('moment', 'fertilization', ""''"")",9.498339786424282e-06
43,"('from', 'moment', 'fertilization')",9.498339786424282e-06
44,"('being', 'from', 'moment')",9.498339786424282e-06
45,"('human', 'being', 'from')",9.498339786424282e-06
46,"('provide', 'poor', 'women')",9.498339786424282e-06
47,"('ibis', 'reproductive', 'health')",9.498339786424282e-06
48,"('rights', 'ibis', 'reproductive')",9.498339786424282e-06
49,"('reproductive', 'rights', 'ibis')",9.498339786424282e-06
