,word,relevance_score
0,"('abortion', 'clinics', 'state')",2.011140177095471e-05
1,"('prior', 'viability', 'fetus')",1.0110204325853164e-05
2,"('viability', 'fetus', 'shall')",1.0110204325853164e-05
3,"('fetus', 'shall', 'solely')",1.0110204325853164e-05
4,"('shall', 'solely', 'that')",1.0110204325853164e-05
5,"('solely', 'that', 'pregnant')",1.0110204325853164e-05
6,"('that', 'pregnant', 'woman')",1.0110204325853164e-05
7,"('pregnant', 'woman', 'consultation')",1.0110204325853164e-05
8,"('woman', 'consultation', 'with')",1.0110204325853164e-05
9,"('consultation', 'with', 'physician')",1.0110204325853164e-05
10,"('with', 'physician', ""''"")",1.0110204325853164e-05
11,"('number', 'abortion', 'clinics')",1.0110204325853164e-05
12,"('going', 'from', 'there')",1.0110204325853164e-05
13,"('santoro', 'connecticut', 'died')",1.0110204325853164e-05
14,"('connecticut', 'died', 'trying')",1.0110204325853164e-05
15,"('died', 'trying', 'obtain')",1.0110204325853164e-05
16,"('trying', 'obtain', 'illegal')",1.0110204325853164e-05
17,"('obtain', 'illegal', 'abortion')",1.0110204325853164e-05
18,"('planned', 'parenthood', 'clinics')",1.0110204325853164e-05
19,"('were', 'planned', 'parenthood')",1.0110204325853164e-05
20,"('there', 'were', 'planned')",1.0110204325853164e-05
21,"('ibis', 'reproductive', 'health')",1.0110204325853164e-05
22,"('rights', 'ibis', 'reproductive')",1.0110204325853164e-05
23,"('reproductive', 'rights', 'ibis')",1.0110204325853164e-05
24,"('pregnancy', 'prior', 'viability')",1.0110204325853164e-05
25,"('center', 'reproductive', 'rights')",1.0110204325853164e-05
26,"('``', 'prochoice', ""''"")",1.0110204325853164e-05
27,"('symbol', 'prochoice', 'movement')",1.0110204325853164e-05
28,"('became', 'symbol', 'prochoice')",1.0110204325853164e-05
29,"('photo', 'became', 'symbol')",1.0110204325853164e-05
30,"('abortion', 'photo', 'became')",1.0110204325853164e-05
31,"('illegal', 'abortion', 'photo')",1.0110204325853164e-05
32,"('alternative', 'viewpoint', '``')",1.0110204325853164e-05
33,"('terminate', 'pregnancy', 'prior')",1.0110204325853164e-05
34,"('gerri', 'santoro', 'connecticut')",1.0110204325853164e-05
35,"('the', 'decision', 'terminate')",1.0110204325853164e-05
36,"('unsuccessful', 'abortion', 'resulted')",1.0110204325853164e-05
37,"('abortions', 'using', 'euphemisms')",1.0110204325853164e-05
38,"('about', 'abortions', 'using')",1.0110204325853164e-05
39,"('talked', 'about', 'abortions')",1.0110204325853164e-05
40,"('time', 'talked', 'about')",1.0110204325853164e-05
41,"('people', 'that', 'time')",1.0110204325853164e-05
42,"('abortion', 'services', 'state')",1.0110204325853164e-05
43,"('history', 'people', 'that')",1.0110204325853164e-05
44,"('early', 'state', 'history')",1.0110204325853164e-05
45,"('place', 'early', 'state')",1.0110204325853164e-05
46,"('took', 'place', 'early')",1.0110204325853164e-05
47,"('decision', 'terminate', 'pregnancy')",1.0110204325853164e-05
48,"('that', 'abortion', 'should')",1.0110204325853164e-05
49,"('poll', 'research', 'center')",1.0110204325853164e-05
