,word,relevance_score
0,"('john', 'britton', 'james')",2.0002870194249692e-05
1,"('britton', 'james', 'barrett')",2.0002870194249692e-05
2,"('florida', 'second', 'with')",2.0002870194249692e-05
3,"('texas', 'third', 'with')",2.0002870194249692e-05
4,"('fetal', 'heartbeat', 'detected')",1.0002888861116789e-05
5,"('after', 'fetal', 'heartbeat')",1.0002888861116789e-05
6,"('year', 'where', 'florida')",1.0002888861116789e-05
7,"('southern', 'white', 'evangelical')",1.0002888861116789e-05
8,"('ibis', 'reproductive', 'health')",1.0002888861116789e-05
9,"('rights', 'ibis', 'reproductive')",1.0002888861116789e-05
10,"('reproductive', 'rights', 'ibis')",1.0002888861116789e-05
11,"('center', 'reproductive', 'rights')",1.0002888861116789e-05
12,"('``', 'antichoice', ""''"")",1.0002888861116789e-05
13,"('court', 'overturned', 'wade')",1.0002888861116789e-05
14,"('alternative', 'viewpoint', '``')",1.0002888861116789e-05
15,"('``', 'prochoice', ""''"")",1.0002888861116789e-05
16,"('family', 'planning', 'clinic')",1.0002888861116789e-05
17,"('american', 'family', 'planning')",1.0002888861116789e-05
18,"('shot', 'death', 'outside')",1.0002888861116789e-05
19,"('both', 'shot', 'death')",1.0002888861116789e-05
20,"('``', 'antilife', ""''"")",1.0002888861116789e-05
21,"('overturned', 'wade', 'dobbs')",1.0002888861116789e-05
22,"('health', 'organization', 'later')",1.0002888861116789e-05
23,"('were', 'both', 'shot')",1.0002888861116789e-05
24,"('legitimate', 'defend', 'life')",1.0002888861116789e-05
25,"('paul', 'jennings', 'hill')",1.0002888861116789e-05
26,"('without', 'violence', 'sentenced')",1.0002888861116789e-05
27,"('arrest', 'without', 'violence')",1.0002888861116789e-05
28,"('resisting', 'arrest', 'without')",1.0002888861116789e-05
29,"('clinic', 'pensacola', 'florida')",1.0002888861116789e-05
30,"('clinics', 'united', 'states')",1.0002888861116789e-05
31,"('abortion', 'clinics', 'united')",1.0002888861116789e-05
32,"('induced', 'abortions', 'with')",1.0002888861116789e-05
33,"('with', 'texas', 'third')",1.0002888861116789e-05
34,"('second', 'with', 'texas')",1.0002888861116789e-05
35,"('while', 'florida', 'second')",1.0002888861116789e-05
36,"('with', 'while', 'florida')",1.0002888861116789e-05
37,"('legal', 'induced', 'abortions')",1.0002888861116789e-05
38,"('number', 'legal', 'induced')",1.0002888861116789e-05
39,"('highest', 'number', 'legal')",1.0002888861116789e-05
40,"('abortion', 'clinics', 'state')",1.0002888861116789e-05
41,"('wade', 'dobbs', 'jackson')",1.0002888861116789e-05
42,"('escort', 'were', 'both')",1.0002888861116789e-05
43,"('days', 'already', 'served')",1.0002888861116789e-05
44,"('barrett', 'clinic', 'escort')",1.0002888861116789e-05
45,"('providers', 'trap', 'applied')",1.0002888861116789e-05
46,"('abortion', 'providers', 'trap')",1.0002888861116789e-05
47,"('regulation', 'abortion', 'providers')",1.0002888861116789e-05
48,"('targeted', 'regulation', 'abortion')",1.0002888861116789e-05
49,"('state', 'targeted', 'regulation')",1.0002888861116789e-05
