,word,relevance_score
0,"('``', 'prochoice', ""''"")",1.0257451767815716e-05
1,"('alternative', 'viewpoint', '``')",1.0257451767815716e-05
2,"('providing', 'abortion', 'services')",1.0257451767815716e-05
3,"('refused', 'provide', 'abortion')",1.0257451767815716e-05
4,"('openly', 'provide', 'abortions')",1.0257451767815716e-05
5,"('abortions', 'were', 'performed')",1.0257451767815716e-05
6,"('hospital', 'clinic', 'history')",2.575491903848363e-07
7,"('there', 'were', 'clinics')",2.575491903848363e-07
8,"('were', 'clinics', 'doctors')",2.575491903848363e-07
9,"('clinics', 'doctors', 'providing')",2.575491903848363e-07
10,"('services', 'during', 'much')",2.575491903848363e-07
11,"('abortion', 'services', 'during')",2.575491903848363e-07
12,"('mandatory', 'waiting', 'period')",2.575491903848363e-07
13,"('during', 'much', 'since')",2.575491903848363e-07
14,"('much', 'since', 'there')",2.575491903848363e-07
15,"('doctors', 'providing', 'abortion')",2.575491903848363e-07
16,"('hour', 'mandatory', 'waiting')",2.575491903848363e-07
17,"('limit', 'physicianonly', 'requirement')",2.575491903848363e-07
18,"('physicianonly', 'requirement', 'hour')",2.575491903848363e-07
19,"('there', 'were', 'doctors')",2.575491903848363e-07
20,"('gestational', 'limit', 'physicianonly')",2.575491903848363e-07
21,"('week', 'gestational', 'limit')",2.575491903848363e-07
22,"('including', 'week', 'gestational')",2.575491903848363e-07
23,"('provision', 'including', 'week')",2.575491903848363e-07
24,"('abortion', 'provision', 'including')",2.575491903848363e-07
25,"('restrictions', 'abortion', 'provision')",2.575491903848363e-07
26,"('creating', 'restrictions', 'abortion')",2.575491903848363e-07
27,"('passed', 'creating', 'restrictions')",2.575491903848363e-07
28,"('requirement', 'hour', 'mandatory')",2.575491903848363e-07
29,"('were', 'doctors', 'performed')",2.575491903848363e-07
30,"('abortions', 'guam', 'that')",2.575491903848363e-07
31,"('performed', 'abortions', 'guam')",2.575491903848363e-07
32,"('provider', 'jeffrey', 'gabel')",2.575491903848363e-07
33,"('abortion', 'provider', 'jeffrey')",2.575491903848363e-07
34,"('without', 'abortion', 'provider')",2.575491903848363e-07
35,"('guam', 'without', 'abortion')",2.575491903848363e-07
36,"('left', 'guam', 'without')",2.575491903848363e-07
37,"('this', 'left', 'guam')",2.575491903848363e-07
38,"('june', 'this', 'left')",2.575491903848363e-07
39,"('retired', 'june', 'this')",2.575491903848363e-07
40,"('clinic', 'retired', 'june')",2.575491903848363e-07
41,"('women', 'clinic', 'retired')",2.575491903848363e-07
42,"('freeman', 'women', 'clinic')",2.575491903848363e-07
43,"('william', 'freeman', 'women')",2.575491903848363e-07
44,"('then', 'william', 'freeman')",2.575491903848363e-07
45,"('retired', 'then', 'william')",2.575491903848363e-07
46,"('polyclinic', 'retired', 'then')",2.575491903848363e-07
47,"('guam', 'polyclinic', 'retired')",2.575491903848363e-07
48,"('griley', 'guam', 'polyclinic')",2.575491903848363e-07
49,"('edmund', 'griley', 'guam')",2.575491903848363e-07
