,word,relevance_score
0,"('abortion', 'clinics', 'state')",2.025816205993786e-05
1,"('fetus', 'abortion', 'that')",1.02582594768241e-05
2,"('abortion', 'that', 'necessary')",1.02582594768241e-05
3,"('that', 'necessary', 'protect')",1.02582594768241e-05
4,"('necessary', 'protect', 'life')",1.02582594768241e-05
5,"('protect', 'life', 'health')",1.02582594768241e-05
6,"('life', 'health', 'female')",1.02582594768241e-05
7,"('health', 'female', ""''"")",1.02582594768241e-05
8,"('number', 'abortion', 'clinics')",1.02582594768241e-05
9,"('nonviable', 'fetus', 'abortion')",1.02582594768241e-05
10,"('there', 'were', 'abortions')",1.02582594768241e-05
11,"('alternative', 'viewpoint', '``')",1.02582594768241e-05
12,"('center', 'reproductive', 'rights')",1.02582594768241e-05
13,"('reproductive', 'rights', 'ibis')",1.02582594768241e-05
14,"('rights', 'ibis', 'reproductive')",1.02582594768241e-05
15,"('ibis', 'reproductive', 'health')",1.02582594768241e-05
16,"('access', 'abortion', 'services')",1.02582594768241e-05
17,"('poor', 'rural', 'women')",1.02582594768241e-05
18,"('women', 'getting', 'abortions')",1.02582594768241e-05
19,"('``', 'prochoice', ""''"")",1.02582594768241e-05
20,"('abortion', 'nonviable', 'fetus')",1.02582594768241e-05
21,"('women', 'aged', 'abortions')",1.02582594768241e-05
22,"('choose', 'obtain', 'abortion')",1.02582594768241e-05
23,"('right', 'choose', 'obtain')",1.02582594768241e-05
24,"('female', 'right', 'choose')",1.02582594768241e-05
25,"('with', 'female', 'right')",1.02582594768241e-05
26,"('interfere', 'with', 'female')",1.02582594768241e-05
27,"('deny', 'interfere', 'with')",1.02582594768241e-05
28,"('shall', 'deny', 'interfere')",1.02582594768241e-05
29,"('state', 'shall', 'deny')",1.02582594768241e-05
30,"('the', 'state', 'shall')",1.02582594768241e-05
31,"('obtain', 'abortion', 'nonviable')",1.02582594768241e-05
32,"('said', 'poll', 'research')",1.02582594768241e-05
33,"('poll', 'research', 'center')",1.02582594768241e-05
34,"('center', 'that', 'abortion')",1.02582594768241e-05
35,"('that', 'abortion', 'should')",1.02582594768241e-05
36,"('women', 'seeking', 'abortions')",5.167120030282674e-07
37,"('research', 'center', 'that')",5.167120030282674e-07
38,"('state', 'there', 'were')",5.167120030282674e-07
39,"('abortion', 'should', 'legal')",5.167120030282674e-07
40,"('conferencing', 'this', 'service')",2.583568927766218e-07
41,"('islands', 'have', 'abortion')",2.583568927766218e-07
42,"('have', 'abortion', 'clinicstelehealth')",2.583568927766218e-07
43,"('abortion', 'clinicstelehealth', 'abortion')",2.583568927766218e-07
44,"('clinicstelehealth', 'abortion', 'services')",2.583568927766218e-07
45,"('abortion', 'services', 'currently')",2.583568927766218e-07
46,"('many', 'women', 'seeking')",2.583568927766218e-07
47,"('services', 'currently', 'available')",2.583568927766218e-07
48,"('currently', 'available', 'hawaii')",2.583568927766218e-07
49,"('available', 'hawaii', 'patients')",2.583568927766218e-07
