,word,relevance_score
0,"('north', 'dakota', 'third')",1.9423494691285243e-05
1,"('dakota', 'third', 'with')",1.9423494691285243e-05
2,"('third', 'with', 'idaho')",1.9423494691285243e-05
3,"('number', 'legal', 'induced')",1.025046957392366e-05
4,"('legal', 'induced', 'abortions')",1.025046957392366e-05
5,"('with', 'while', 'south')",1.025046957392366e-05
6,"('while', 'south', 'dakota')",1.025046957392366e-05
7,"('south', 'dakota', 'second')",1.025046957392366e-05
8,"('dakota', 'second', 'with')",1.025046957392366e-05
9,"('second', 'with', 'north')",1.025046957392366e-05
10,"('induced', 'abortions', 'with')",1.025046957392366e-05
11,"('with', 'idaho', 'lowest')",1.025046957392366e-05
12,"('live', 'births', 'while')",1.025046957392366e-05
13,"('births', 'while', 'york')",1.025046957392366e-05
14,"('york', 'city', 'highest')",1.025046957392366e-05
15,"('lowest', 'number', 'legal')",1.025046957392366e-05
16,"('abortion', 'clinics', 'state')",1.025046957392366e-05
17,"('women', 'aged', 'abortions')",1.025046957392366e-05
18,"('rights', 'ibis', 'reproductive')",1.025046957392366e-05
19,"('``', 'prochoice', ""''"")",1.025046957392366e-05
20,"('alternative', 'viewpoint', '``')",1.025046957392366e-05
21,"('wade', 'dobbs', 'jackson')",1.025046957392366e-05
22,"('overturned', 'wade', 'dobbs')",1.025046957392366e-05
23,"('court', 'overturned', 'wade')",1.025046957392366e-05
24,"('center', 'reproductive', 'rights')",1.025046957392366e-05
25,"('reproductive', 'rights', 'ibis')",1.025046957392366e-05
26,"('ibis', 'reproductive', 'health')",1.025046957392366e-05
27,"('with', 'north', 'dakota')",5.132862814276864e-07
28,"('while', 'york', 'city')",5.132862814276864e-07
29,"('period', 'uses', 'standard')",2.5056700710525003e-07
30,"('this', 'period', 'uses')",2.5056700710525003e-07
31,"('week', 'this', 'period')",2.5056700710525003e-07
32,"('between', 'week', 'this')",2.5056700710525003e-07
33,"('uses', 'standard', 'defined')",2.5056700710525003e-07
34,"('standard', 'defined', 'united')",2.5056700710525003e-07
35,"('point', 'between', 'week')",2.5056700710525003e-07
36,"('court', 'with', 'wade')",2.5056700710525003e-07
37,"('with', 'wade', 'ruling')",2.5056700710525003e-07
38,"('wade', 'ruling', 'march')",2.5056700710525003e-07
39,"('option', 'view', 'image')",2.5056700710525003e-07
40,"('march', 'governor', 'brad')",2.5056700710525003e-07
41,"('governor', 'brad', 'little')",2.5056700710525003e-07
42,"('generally', 'some', 'point')",2.5056700710525003e-07
43,"('brad', 'little', 'signed')",2.5056700710525003e-07
44,"('little', 'signed', 'into')",2.5056700710525003e-07
45,"('signed', 'into', 'which')",2.5056700710525003e-07
46,"('into', 'which', 'trigger')",2.5056700710525003e-07
47,"('which', 'trigger', 'stating')",2.5056700710525003e-07
48,"('trigger', 'stating', 'that')",2.5056700710525003e-07
49,"('ruling', 'march', 'governor')",2.5056700710525003e-07
