,word,relevance_score
0,"('prolife', 'action', 'league')",2.030700638200818e-05
1,"('many', 'conservative', 'women')",1.0306407557880508e-05
2,"('eagle', 'forum', 'newsletter')",1.0306407557880508e-05
3,"('abortion', 'clinics', 'state')",1.0306407557880508e-05
4,"('illinois', 'reproductive', 'health')",1.0306407557880508e-05
5,"('abortion', 'clinics', 'illinois')",1.0306407557880508e-05
6,"('general', 'assembly', 'enacted')",1.0306407557880508e-05
7,"('drugs', 'that', 'could')",1.0306407557880508e-05
8,"('sale', 'drugs', 'that')",1.0306407557880508e-05
9,"('access', 'abortion', 'services')",1.0306407557880508e-05
10,"('ibis', 'reproductive', 'health')",1.0306407557880508e-05
11,"('rights', 'ibis', 'reproductive')",1.0306407557880508e-05
12,"('reproductive', 'rights', 'ibis')",1.0306407557880508e-05
13,"('center', 'reproductive', 'rights')",1.0306407557880508e-05
14,"('alternative', 'viewpoint', '``')",1.0306407557880508e-05
15,"('parental', 'notice', 'abortion')",1.0306407557880508e-05
16,"('``', 'prochoice', ""''"")",1.0306407557880508e-05
17,"('number', 'therapeutic', 'abortions')",1.0306407557880508e-05
18,"('number', 'abortion', 'clinics')",1.0306407557880508e-05
19,"('that', 'abortion', 'should')",1.0306407557880508e-05
20,"('abortion', 'rights', 'activism')",1.0306407557880508e-05
21,"('abortion', 'counseling', 'service')",1.0306407557880508e-05
22,"('publicly', 'funded', 'abortions')",1.0306407557880508e-05
23,"('service', 'chicago', 'women')",1.0306407557880508e-05
24,"('counseling', 'service', 'chicago')",1.0306407557880508e-05
25,"('illinois', 'family', 'institute')",1.0306407557880508e-05
26,"('women', 'liberation', 'union')",1.0306407557880508e-05
27,"('eagle', 'trust', 'fund')",1.0306407557880508e-05
28,"('chicago', 'women', 'liberation')",1.0306407557880508e-05
29,"('abortion', 'should', 'legal')",6.082374597475722e-07
30,"('history', 'group', 'members')",3.065037092216071e-07
31,"('group', 'members', 'assisted')",3.065037092216071e-07
32,"('wrote', 'history', 'group')",3.065037092216071e-07
33,"('kaplan', 'wrote', 'history')",3.065037092216071e-07
34,"('laura', 'kaplan', 'wrote')",3.065037092216071e-07
35,"('according', 'laura', 'kaplan')",3.065037092216071e-07
36,"('early', 'according', 'laura')",3.065037092216071e-07
37,"('late', 'early', 'according')",3.065037092216071e-07
38,"('abortions', 'during', 'late')",3.065037092216071e-07
39,"('illegal', 'abortions', 'during')",3.065037092216071e-07
40,"('feminists', 'provide', 'local')",3.065037092216071e-07
41,"('safe', 'affordable', 'illegal')",3.065037092216071e-07
42,"('with', 'safe', 'affordable')",3.065037092216071e-07
43,"('women', 'with', 'safe')",3.065037092216071e-07
44,"('local', 'women', 'with')",3.065037092216071e-07
45,"('provide', 'local', 'women')",3.065037092216071e-07
46,"('liberation', 'union', 'established')",3.065037092216071e-07
47,"('chicagoarea', 'feminists', 'provide')",3.065037092216071e-07
48,"('established', 'chicagoarea', 'feminists')",3.065037092216071e-07
49,"('members', 'assisted', 'women')",3.065037092216071e-07
