,word,relevance_score
0,"('abortion', 'clinics', 'state')",2.0193917516142538e-05
1,"('took', 'place', 'state')",1.0193922660533922e-05
2,"('``', 'prochoice', ""''"")",1.0193922660533922e-05
3,"('alternative', 'viewpoint', '``')",1.0193922660533922e-05
4,"('center', 'reproductive', 'rights')",1.0193922660533922e-05
5,"('reproductive', 'rights', 'ibis')",1.0193922660533922e-05
6,"('rights', 'ibis', 'reproductive')",1.0193922660533922e-05
7,"('ibis', 'reproductive', 'health')",1.0193922660533922e-05
8,"('where', 'legislature', 'introduced')",1.0193922660533922e-05
9,"('legislature', 'introduced', 'bill')",1.0193922660533922e-05
10,"('introduced', 'bill', 'that')",1.0193922660533922e-05
11,"('would', 'have', 'banned')",1.0193922660533922e-05
12,"('banned', 'abortion', 'almost')",1.0193922660533922e-05
13,"('abortion', 'almost', 'cases')",1.0193922660533922e-05
14,"('there', 'were', 'planned')",1.0193922660533922e-05
15,"('were', 'planned', 'parenthood')",1.0193922660533922e-05
16,"('planned', 'parenthood', 'clinics')",1.0193922660533922e-05
17,"('women', 'aged', 'abortions')",1.0193922660533922e-05
18,"('went', 'planned', 'parenthood')",1.0193922660533922e-05
19,"('planned', 'parenthood', 'clinic')",1.0193922660533922e-05
20,"('stopthebans', 'took', 'place')",1.0193922660533922e-05
21,"('part', 'stopthebans', 'took')",1.0193922660533922e-05
22,"('have', 'banned', 'abortion')",1.0193922660533922e-05
23,"('least', 'protest', 'part')",1.0193922660533922e-05
24,"('protest', 'part', 'stopthebans')",1.0193922660533922e-05
25,"('adults', 'said', 'poll')",1.0193922660533922e-05
26,"('said', 'poll', 'research')",1.0193922660533922e-05
27,"('poll', 'research', 'center')",1.0193922660533922e-05
28,"('center', 'that', 'abortion')",1.0193922660533922e-05
29,"('abortion', 'should', 'illegal')",1.0193922660533922e-05
30,"('most', 'cases', 'state')",1.0193922660533922e-05
31,"('state', 'legislature', 'tried')",1.0193922660533922e-05
32,"('state', 'passed', 'banning')",1.0193922660533922e-05
33,"('that', 'abortion', 'should')",1.0193922660533922e-05
34,"('banning', 'abortions', 'after')",1.0193922660533922e-05
35,"('number', 'abortion', 'clinics')",1.0193922660533922e-05
36,"('passed', 'banning', 'abortions')",1.0193922660533922e-05
37,"('informed', 'consent', 'provision')",1.0193922660533922e-05
38,"('customary', 'informed', 'consent')",1.0193922660533922e-05
39,"('feel', 'pain', 'state')",1.0193922660533922e-05
40,"('consent', 'provision', 'abortions')",1.0193922660533922e-05
41,"('abortions', 'after', 'weeks')",1.0193922660533922e-05
42,"('fetus', 'feel', 'pain')",1.0193922660533922e-05
43,"('research', 'center', 'that')",4.2412446323262347e-07
44,"('bill', 'that', 'would')",4.2412446323262347e-07
45,"('parenthood', 'clinics', 'state')",1.9402054062088697e-07
46,"('clinic', 'march', 'there')",1.9402054062088697e-07
47,"('abortion', 'clinic', 'march')",1.9402054062088697e-07
48,"('without', 'abortion', 'clinic')",1.9402054062088697e-07
49,"('county', 'without', 'abortion')",1.9402054062088697e-07
