,word,relevance_score
0,"('abortion', 'should', 'legal')",2.0180897845198782e-05
1,"('believe', 'should', 'illegal')",2.0088827200258467e-05
2,"('iowa', 'state', 'constitution')",2.0088827200258467e-05
3,"('should', 'illegal', 'most')",1.0268117294877264e-05
4,"('reynolds', 'signed', 'into')",1.0088926339132733e-05
5,"('governor', 'reynolds', 'signed')",1.0088926339132733e-05
6,"('struck', 'down', 'courts')",1.0088926339132733e-05
7,"('states', 'eleven', 'states')",1.0088926339132733e-05
8,"('ibis', 'reproductive', 'health')",1.0088926339132733e-05
9,"('rights', 'ibis', 'reproductive')",1.0088926339132733e-05
10,"('reproductive', 'rights', 'ibis')",1.0088926339132733e-05
11,"('alternative', 'viewpoint', '``')",1.0088926339132733e-05
12,"('january', 'county', 'district')",1.0088926339132733e-05
13,"('``', 'prochoice', ""''"")",1.0088926339132733e-05
14,"('violated', 'iowa', 'state')",1.0088926339132733e-05
15,"('abortion', 'violated', 'iowa')",1.0088926339132733e-05
16,"('early', 'abortion', 'violated')",1.0088926339132733e-05
17,"('arguing', 'early', 'abortion')",1.0088926339132733e-05
18,"('center', 'reproductive', 'rights')",1.0088926339132733e-05
19,"('county', 'district', 'judge')",1.0088926339132733e-05
20,"('judge', 'declared', 'violation')",1.0088926339132733e-05
21,"('court', 'arguing', 'early')",1.0088926339132733e-05
22,"('rights', 'views', 'activities')",1.0088926339132733e-05
23,"('while', 'believe', 'should')",1.0088926339132733e-05
24,"('cases', 'while', 'believe')",1.0088926339132733e-05
25,"('iowans', 'believe', 'abortion')",1.0088926339132733e-05
26,"('illegal', 'most', 'casesin')",1.0088926339132733e-05
27,"('women', 'aged', 'abortions')",1.0088926339132733e-05
28,"('district', 'judge', 'declared')",1.0088926339132733e-05
29,"('parenthood', 'clinics', 'state')",1.0088926339132733e-05
30,"('iowa', 'supreme', 'court')",1.0088926339132733e-05
31,"('injunction', 'prohibiting', 'enforcement')",1.0088926339132733e-05
32,"('permanent', 'injunction', 'prohibiting')",1.0088926339132733e-05
33,"('entered', 'permanent', 'injunction')",1.0088926339132733e-05
34,"('constitution', 'entered', 'permanent')",1.0088926339132733e-05
35,"('declared', 'violation', 'iowa')",1.0088926339132733e-05
36,"('abortion', 'clinics', 'state')",1.0088926339132733e-05
37,"('state', 'court', 'arguing')",1.0088926339132733e-05
38,"('planned', 'parenthood', 'clinics')",1.0088926339132733e-05
39,"('injunctive', 'relief', 'state')",1.0088926339132733e-05
40,"('efforts', 'defund', 'planned')",1.0088926339132733e-05
41,"('their', 'efforts', 'defund')",1.0088926339132733e-05
42,"('part', 'their', 'efforts')",1.0088926339132733e-05
43,"('medicaid', 'part', 'their')",1.0088926339132733e-05
44,"('funding', 'medicaid', 'part')",1.0088926339132733e-05
45,"('federal', 'funding', 'medicaid')",1.0088926339132733e-05
46,"('dollars', 'federal', 'funding')",1.0088926339132733e-05
47,"('millions', 'dollars', 'federal')",1.0088926339132733e-05
48,"('rejected', 'millions', 'dollars')",1.0088926339132733e-05
49,"('occurred', 'statehouse', 'moines')",1.0088926339132733e-05
