,word,relevance_score
0,"('women', 'surgical', 'center')",1.6664073900650718
1,"('order', 'blocking', 'enforcement')",1.1111348851132155
2,"('temporary', 'restraining', 'order')",1.1111348851132155
3,"('constitution', 'this', 'order')",1.980307734351027e-05
4,"('this', 'order', 'temporarily')",1.980307734351027e-05
5,"('order', 'temporarily', 'allows')",1.980307734351027e-05
6,"('temporarily', 'allows', 'both')",1.980307734351027e-05
7,"('allows', 'both', 'kentucky')",1.980307734351027e-05
8,"('both', 'kentucky', 'elective')",1.980307734351027e-05
9,"('kentucky', 'elective', 'abortion')",1.980307734351027e-05
10,"('elective', 'abortion', 'providers')",1.980307734351027e-05
11,"('providers', 'which', 'both')",1.980307734351027e-05
12,"('kentucky', 'constitution', 'this')",1.980307734351027e-05
13,"('which', 'both', 'located')",1.980307734351027e-05
14,"('located', 'louisville', 'temporarily')",1.980307734351027e-05
15,"('louisville', 'temporarily', 'resume')",1.980307734351027e-05
16,"('temporarily', 'resume', 'elective')",1.980307734351027e-05
17,"('resume', 'elective', 'abortions')",1.980307734351027e-05
18,"('house', 'health', 'welfare')",1.980307734351027e-05
19,"('health', 'welfare', 'committee')",1.980307734351027e-05
20,"('abortion', 'providers', 'which')",1.980307734351027e-05
21,"('violates', 'kentucky', 'constitution')",1.980307734351027e-05
22,"('both', 'located', 'louisville')",1.980307734351027e-05
23,"('hearings', 'determine', 'violates')",1.980307734351027e-05
24,"('determine', 'violates', 'kentucky')",1.980307734351027e-05
25,"('june', 'jefferson', 'county')",1.980307734351027e-05
26,"('have', 'abortion', 'clinic')",1.980307734351027e-05
27,"('county', 'circuit', 'judge')",1.980307734351027e-05
28,"('circuit', 'judge', 'mitch')",1.980307734351027e-05
29,"('judge', 'mitch', 'perry')",1.980307734351027e-05
30,"('jefferson', 'county', 'circuit')",1.980307734351027e-05
31,"('perry', 'issued', 'temporary')",1.980307734351027e-05
32,"('issued', 'temporary', 'restraining')",1.980307734351027e-05
33,"('restraining', 'order', 'blocking')",1.980307734351027e-05
34,"('pending', 'further', 'hearings')",1.980307734351027e-05
35,"('further', 'hearings', 'determine')",1.980307734351027e-05
36,"('mitch', 'perry', 'issued')",1.980307734351027e-05
37,"('blocking', 'enforcement', 'state')",1.980307734351027e-05
38,"('``', 'prochoice', ""''"")",9.80318140787355e-06
39,"('number', 'abortion', 'clinics')",9.80318140787355e-06
40,"('request', 'dissolve', 'restraining')",9.80318140787355e-06
41,"('refused', 'request', 'dissolve')",9.80318140787355e-06
42,"('court', 'refused', 'request')",9.80318140787355e-06
43,"('appeals', 'kentucky', 'supreme')",9.80318140787355e-06
44,"('court', 'appeals', 'kentucky')",9.80318140787355e-06
45,"('abortion', 'pending', 'further')",9.80318140787355e-06
46,"('both', 'kentucky', 'court')",9.80318140787355e-06
47,"('abortions', 'both', 'kentucky')",9.80318140787355e-06
48,"('elective', 'abortions', 'both')",9.80318140787355e-06
49,"('alternative', 'viewpoint', '``')",9.80318140787355e-06
