,word,relevance_score
0,"('abortion', 'should', 'illegal')",2.048810725890079e-05
1,"('abortion', 'clinics', 'state')",2.048810725890079e-05
2,"('whole', 'woman', 'health')",2.048810725890079e-05
3,"('rights', 'views', 'activities')",1.0488171406528128e-05
4,"('offered', 'abortion', 'services')",1.0488171406528128e-05
5,"('emergency', 'stay', 'fifth')",1.0488171406528128e-05
6,"('june', 'medical', 'services')",1.0488171406528128e-05
7,"('woman', 'right', 'abortion')",1.0488171406528128e-05
8,"('stay', 'fifth', 'circuit')",1.0488171406528128e-05
9,"('southern', 'white', 'evangelical')",1.0488171406528128e-05
10,"('illegal', 'most', 'cases')",1.4646776159207855e-06
11,"('should', 'illegal', 'most')",1.4646776159207855e-06
12,"('most', 'cases', 'with')",9.764891974675306e-07
13,"('petitioned', 'supreme', 'court')",9.764891974675306e-07
14,"('bill', 'that', 'would')",9.764891974675306e-07
15,"('wade', 'while', 'texas')",4.882665226006337e-07
16,"('abortion', 'wade', 'while')",4.882665226006337e-07
17,"('right', 'abortion', 'wade')",4.882665226006337e-07
18,"('with', 'woman', 'right')",4.882665226006337e-07
19,"('interfered', 'with', 'woman')",4.882665226006337e-07
20,"('privileges', 'required', 'texas')",4.882665226006337e-07
21,"('required', 'texas', 'interfered')",4.882665226006337e-07
22,"('admitting', 'privileges', 'required')",4.882665226006337e-07
23,"('while', 'texas', 'being')",4.882665226006337e-07
24,"('additional', 'admitting', 'privileges')",4.882665226006337e-07
25,"('texas', 'interfered', 'with')",4.882665226006337e-07
26,"('texas', 'being', 'challenged')",4.882665226006337e-07
27,"('doctors', 'state', 'june')",4.882665226006337e-07
28,"('challenged', 'louisiana', 'challenged')",4.882665226006337e-07
29,"('louisiana', 'challenged', 'abortion')",4.882665226006337e-07
30,"('challenged', 'abortion', 'clinics')",4.882665226006337e-07
31,"('abortion', 'clinics', 'doctors')",4.882665226006337e-07
32,"('clinics', 'doctors', 'state')",4.882665226006337e-07
33,"('hellerstedt', 'additional', 'admitting')",4.882665226006337e-07
34,"('state', 'june', 'medical')",4.882665226006337e-07
35,"('medical', 'services', 'while')",4.882665226006337e-07
36,"('services', 'while', 'district')",4.882665226006337e-07
37,"('while', 'district', 'court')",4.882665226006337e-07
38,"('district', 'court', 'ordered')",4.882665226006337e-07
39,"('being', 'challenged', 'louisiana')",4.882665226006337e-07
40,"('health', 'hellerstedt', 'additional')",4.882665226006337e-07
41,"('trimesterthe', 'model', 'texas')",4.882665226006337e-07
42,"('court', 'whole', 'woman')",4.882665226006337e-07
43,"('homicide', 'abortion', 'point')",4.882665226006337e-07
44,"('abortion', 'point', 'after')",4.882665226006337e-07
45,"('point', 'after', 'conception')",4.882665226006337e-07
46,"('after', 'conception', 'could')",4.882665226006337e-07
47,"('conception', 'could', 'also')",4.882665226006337e-07
48,"('could', 'also', 'criminalize')",4.882665226006337e-07
49,"('also', 'criminalize', 'destruction')",4.882665226006337e-07
