,word,relevance_score
0,"('there', 'were', 'abortions')",1.1585861705515745
1,"('concealment', 'birth', 'procuring')",2.0035183158496447e-05
2,"('birth', 'procuring', 'abortions')",2.0035183158496447e-05
3,"('women', 'aged', 'there')",2.0035183158496447e-05
4,"('aged', 'there', 'were')",2.0035183158496447e-05
5,"('abortion', 'clinics', 'state')",1.0148528405121821e-05
6,"('assist', 'abortions', ""''"")",1.0148528405121821e-05
7,"('perform', 'assist', 'abortions')",1.0148528405121821e-05
8,"('termination', 'human', 'pregnancy')",1.0148528405121821e-05
9,"('relating', 'termination', 'human')",1.0148528405121821e-05
10,"('procuring', 'abortions', 'passed')",1.0148528405121821e-05
11,"('rights', 'ibis', 'reproductive')",1.0148528405121821e-05
12,"('reproductive', 'rights', 'ibis')",1.0148528405121821e-05
13,"('center', 'reproductive', 'rights')",1.0148528405121821e-05
14,"('alternative', 'viewpoint', '``')",1.0148528405121821e-05
15,"('``', 'prochoice', ""''"")",1.0148528405121821e-05
16,"('ibis', 'reproductive', 'health')",1.0148528405121821e-05
17,"('legal', 'with', 'stating')",1.0148528405121821e-05
18,"('should', 'legal', 'with')",1.0148528405121821e-05
19,"('pregnancy', 'before', 'viability')",1.0148528405121821e-05
20,"('that', 'abortion', 'should')",1.0148528405121821e-05
21,"('center', 'that', 'abortion')",1.0148528405121821e-05
22,"('poll', 'research', 'center')",1.0148528405121821e-05
23,"('said', 'poll', 'research')",1.0148528405121821e-05
24,"('adults', 'said', 'poll')",1.0148528405121821e-05
25,"('research', 'center', 'that')",3.002525200847027e-07
26,"('abortion', 'should', 'legal')",3.002525200847027e-07
27,"(""''"", 'prevent', 'criminal')",1.486269032725112e-07
28,"('procedures', ""''"", 'prevent')",1.486269032725112e-07
29,"('abortion', 'procedures', ""''"")",1.486269032725112e-07
30,"('education', 'association', ""''"")",1.486269032725112e-07
31,"('regulating', 'abortion', 'procedures')",1.486269032725112e-07
32,"(""''"", 'regulating', 'abortion')",1.486269032725112e-07
33,"('abortions', ""''"", 'regulating')",1.486269032725112e-07
34,"('prevent', 'criminal', 'abortion')",1.486269032725112e-07
35,"('criminal', 'abortion', 'practices')",1.486269032725112e-07
36,"('order', 'commending', 'prolife')",1.486269032725112e-07
37,"('practices', ""''"", '``')",1.486269032725112e-07
38,"(""''"", '``', 'joint')",1.486269032725112e-07
39,"('``', 'joint', 'order')",1.486269032725112e-07
40,"('joint', 'order', 'commending')",1.486269032725112e-07
41,"('commending', 'prolife', 'education')",1.486269032725112e-07
42,"('refusing', 'perform', 'assist')",1.486269032725112e-07
43,"('association', ""''"", 'passedmaine')",1.486269032725112e-07
44,"('prolife', 'education', 'association')",1.486269032725112e-07
45,"('abortion', 'practices', ""''"")",1.486269032725112e-07
46,"('hospitals', 'refusing', 'perform')",1.486269032725112e-07
47,"('human', 'fetus', 'experimentation')",1.486269032725112e-07
48,"('immunity', 'persons', 'hospitals')",1.486269032725112e-07
49,"('abortions', 'performed', 'attending')",1.486269032725112e-07
