,word,relevance_score
0,"('safe', 'legal', 'abortions')",2.17170659984844
1,"('abortions', 'many', 'maryland')",1.0268086578636147e-05
2,"('access', 'safe', 'legal')",1.0268086578636147e-05
3,"('introduce', 'another', 'barrier')",1.0268086578636147e-05
4,"('access', 'many', 'women')",1.0268086578636147e-05
5,"('than', 'white', 'women')",1.0268086578636147e-05
6,"('unplanned', 'pregnancy', 'than')",1.0268086578636147e-05
7,"('abortion', 'clinics', 'state')",1.0268086578636147e-05
8,"('maryland', 'house', 'speaker')",1.0268086578636147e-05
9,"('maryland', 'house', 'delegates')",1.0268086578636147e-05
10,"('crisis', 'pregnancy', 'centers')",1.0268086578636147e-05
11,"('alternative', 'viewpoint', '``')",1.0268086578636147e-05
12,"('planned', 'parenthood', 'clinics')",1.0268086578636147e-05
13,"('said', 'poll', 'research')",1.0268086578636147e-05
14,"('adults', 'said', 'poll')",1.0268086578636147e-05
15,"('``', 'prochoice', ""''"")",1.0268086578636147e-05
16,"('poll', 'research', 'center')",1.0268086578636147e-05
17,"('center', 'that', 'abortion')",1.0268086578636147e-05
18,"('that', 'abortion', 'should')",1.0268086578636147e-05
19,"('should', 'legal', 'said')",1.0268086578636147e-05
20,"('number', 'abortion', 'clinics')",1.0268086578636147e-05
21,"('abortion', 'should', 'legal')",5.340998471332105e-07
22,"('research', 'center', 'that')",5.340998471332105e-07
23,"('health', 'insurance', 'plans')",5.340998471332105e-07
24,"('maryland', 'government', 'that')",2.681807323213567e-07
25,"('women', 'maryland', 'government')",2.681807323213567e-07
26,"('additional', 'costs', 'both')",2.681807323213567e-07
27,"('both', 'women', 'maryland')",2.681807323213567e-07
28,"('government', 'that', 'greater')",2.681807323213567e-07
29,"('that', 'greater', 'than')",2.681807323213567e-07
30,"('costs', 'both', 'women')",2.681807323213567e-07
31,"('also', 'additional', 'costs')",2.681807323213567e-07
32,"('unsafe', 'abortions', 'hospitalized')",2.681807323213567e-07
33,"('health', 'concerns', 'also')",2.681807323213567e-07
34,"('introducing', 'health', 'concerns')",2.681807323213567e-07
35,"('complications', 'introducing', 'health')",2.681807323213567e-07
36,"('hospitalized', 'complications', 'introducing')",2.681807323213567e-07
37,"('greater', 'than', 'abortion')",2.681807323213567e-07
38,"('abortions', 'hospitalized', 'complications')",2.681807323213567e-07
39,"('women', 'have', 'unsafe')",2.681807323213567e-07
40,"('have', 'unsafe', 'abortions')",2.681807323213567e-07
41,"('concerns', 'also', 'additional')",2.681807323213567e-07
42,"('than', 'abortion', 'would')",2.681807323213567e-07
43,"('after', 'weeks', 'maryland')",2.681807323213567e-07
44,"('would', ""'ve"", 'beenfor')",2.681807323213567e-07
45,"('after', 'viability', 'there')",2.681807323213567e-07
46,"('performed', 'after', 'viability')",2.681807323213567e-07
47,"('abortions', 'performed', 'after')",2.681807323213567e-07
48,"('that', 'abortions', 'performed')",2.681807323213567e-07
49,"('states', 'that', 'abortions')",2.681807323213567e-07
