,word,relevance_score
0,"('abortion', 'clinics', 'state')",2.04135620066502e-05
1,"('buffer', 'zone', 'around')",1.0420304105318674e-05
2,"('physical', 'mental', 'health')",1.0420304105318674e-05
3,"('around', 'abortion', 'clinics')",1.0420304105318674e-05
4,"('zone', 'around', 'abortion')",1.0420304105318674e-05
5,"('foot', 'buffer', 'zone')",1.0420304105318674e-05
6,"('minors', 'seeking', 'abortions')",1.0420304105318674e-05
7,"('rights', 'ibis', 'reproductive')",1.0420304105318674e-05
8,"('ibis', 'reproductive', 'health')",1.0420304105318674e-05
9,"('center', 'reproductive', 'rights')",1.0420304105318674e-05
10,"('alternative', 'viewpoint', '``')",1.0420304105318674e-05
11,"('``', 'prochoice', ""''"")",1.0420304105318674e-05
12,"('number', 'abortion', 'clinics')",1.0420304105318674e-05
13,"('reproductive', 'rights', 'ibis')",1.0420304105318674e-05
14,"('requiring', 'parental', 'consent')",8.407989670136513e-07
15,"('courts', 'needed', 'able')",4.2039990095604173e-07
16,"('able', 'using', 'confidential')",4.2039990095604173e-07
17,"('using', 'confidential', 'process')",4.2039990095604173e-07
18,"('needed', 'able', 'using')",4.2039990095604173e-07
19,"('from', 'courts', 'needed')",4.2039990095604173e-07
20,"('health', ""''"", 'bill')",4.2039990095604173e-07
21,"('getting', 'permission', 'from')",4.2039990095604173e-07
22,"('minors', 'getting', 'permission')",4.2039990095604173e-07
23,"('that', 'minors', 'getting')",4.2039990095604173e-07
24,"('confidential', 'process', 'that')",4.2039990095604173e-07
25,"('ruled', 'that', 'minors')",4.2039990095604173e-07
26,"('permission', 'from', 'courts')",4.2039990095604173e-07
27,"('process', 'that', 'dealt')",4.2039990095604173e-07
28,"('massachusetts', 'bill', 'that')",4.2039990095604173e-07
29,"('dealt', 'with', 'situation')",4.2039990095604173e-07
30,"('with', 'situation', 'quicklyin')",4.2039990095604173e-07
31,"('situation', 'quicklyin', 'supreme')",4.2039990095604173e-07
32,"('quicklyin', 'supreme', 'court')",4.2039990095604173e-07
33,"('struck', 'down', 'massachusetts')",4.2039990095604173e-07
34,"('down', 'massachusetts', 'bill')",4.2039990095604173e-07
35,"('approval', 'supreme', 'court')",4.2039990095604173e-07
36,"('bill', 'that', 'legalized')",4.2039990095604173e-07
37,"('that', 'legalized', 'foot')",4.2039990095604173e-07
38,"('legalized', 'foot', 'buffer')",4.2039990095604173e-07
39,"('between', 'number', 'abortion')",4.2039990095604173e-07
40,"('clinics', 'state', 'decreased')",4.2039990095604173e-07
41,"('that', 'dealt', 'with')",4.2039990095604173e-07
42,"('parental', 'approval', 'supreme')",4.2039990095604173e-07
43,"('procedure', 'such', 'could')",4.2039990095604173e-07
44,"('first', 'seeking', 'parental')",4.2039990095604173e-07
45,"('because', 'removed', 'ability')",4.2039990095604173e-07
46,"('removed', 'ability', 'minors')",4.2039990095604173e-07
47,"('ability', 'minors', 'make')",4.2039990095604173e-07
48,"('minors', 'make', 'decisions')",4.2039990095604173e-07
49,"('make', 'decisions', 'about')",4.2039990095604173e-07
