,word,relevance_score
0,"('abortion', 'clinics', 'state')",2.036144954138501e-05
1,"('later', 'pregnancy', 'often')",1.0262739640989256e-05
2,"('women', 'aged', 'abortions')",1.0262739640989256e-05
3,"('planned', 'parenthood', 'clinics')",1.0262739640989256e-05
4,"('there', 'were', 'planned')",1.0262739640989256e-05
5,"('michigan', 'only', 'state')",1.0262739640989256e-05
6,"('ibis', 'reproductive', 'health')",1.0262739640989256e-05
7,"('rights', 'ibis', 'reproductive')",1.0262739640989256e-05
8,"('reproductive', 'rights', 'ibis')",1.0262739640989256e-05
9,"('center', 'reproductive', 'rights')",1.0262739640989256e-05
10,"('alternative', 'viewpoint', '``')",1.0262739640989256e-05
11,"('``', 'prochoice', ""''"")",1.0262739640989256e-05
12,"('abortions', 'performed', 'michigan')",1.0262739640989256e-05
13,"('total', 'abortions', 'performed')",1.0262739640989256e-05
14,"('were', 'planned', 'parenthood')",1.0262739640989256e-05
15,"('publicly', 'funded', 'abortions')",1.0262739640989256e-05
16,"('abortions', 'there', 'were')",1.0262739640989256e-05
17,"('number', 'abortion', 'clinics')",1.0262739640989256e-05
18,"('there', 'were', 'legal')",1.0262739640989256e-05
19,"('there', 'were', 'indictments')",1.0262739640989256e-05
20,"('were', 'indictments', 'convictions')",1.0262739640989256e-05
21,"('were', 'legal', 'abortions')",1.0262739640989256e-05
22,"('convictions', 'women', 'having')",1.0262739640989256e-05
23,"('women', 'having', 'abortions')",1.0262739640989256e-05
24,"('state', 'seven', 'publicly')",1.0262739640989256e-05
25,"('indictments', 'convictions', 'women')",1.0262739640989256e-05
26,"('seven', 'publicly', 'funded')",1.0262739640989256e-05
27,"('only', 'state', 'with')",5.263670816080196e-07
28,"('between', 'there', 'were')",5.263670816080196e-07
29,"('seven', 'federally', 'funded')",2.6283701504855067e-07
30,"('were', 'seven', 'federally')",2.6283701504855067e-07
31,"('which', 'were', 'seven')",2.6283701504855067e-07
32,"('abortions', 'which', 'were')",2.6283701504855067e-07
33,"('unintended', 'pregnancy', 'state')",2.6283701504855067e-07
34,"('pregnancy', 'state', 'seven')",2.6283701504855067e-07
35,"('faced', 'risk', 'unintended')",2.6283701504855067e-07
36,"('federally', 'funded', 'zero')",2.6283701504855067e-07
37,"('risk', 'unintended', 'pregnancy')",2.6283701504855067e-07
38,"('funded', 'abortions', 'which')",2.6283701504855067e-07
39,"('funded', 'zero', 'were')",2.6283701504855067e-07
40,"('women', 'aged', 'there')",2.6283701504855067e-07
41,"('were', 'state', 'funded')",2.6283701504855067e-07
42,"('state', 'funded', 'among')",2.6283701504855067e-07
43,"('funded', 'among', 'white')",2.6283701504855067e-07
44,"('among', 'white', 'women')",2.6283701504855067e-07
45,"('white', 'women', 'aged')",2.6283701504855067e-07
46,"('aged', 'there', 'were')",2.6283701504855067e-07
47,"('there', 'were', 'abortions')",2.6283701504855067e-07
48,"('were', 'abortions', 'abortions')",2.6283701504855067e-07
49,"('abortions', 'abortions', 'black')",2.6283701504855067e-07
