,word,relevance_score
0,"('that', 'abortion', 'should')",2.033834126706579e-05
1,"('most', 'cases', 'said')",2.033834126706579e-05
2,"('said', 'that', 'abortion')",1.0341449278693062e-05
3,"('should', '``', 'mostly')",1.0341449278693062e-05
4,"('women', 'aged', 'abortions')",1.0341449278693062e-05
5,"('abortion', 'clinics', 'state')",1.0341449278693062e-05
6,"('cases', 'said', 'they')",1.0341449278693062e-05
7,"('heartbeat', 'bill', ""''"")",1.0341449278693062e-05
8,"('number', 'abortion', 'clinics')",1.0341449278693062e-05
9,"('going', 'from', 'twenty')",1.0341449278693062e-05
10,"('from', 'twenty', 'fourteen')",1.0341449278693062e-05
11,"('twenty', 'fourteen', 'there')",1.0341449278693062e-05
12,"('fourteen', 'there', 'were')",1.0341449278693062e-05
13,"('nationwide', 'that', 'tried')",1.0341449278693062e-05
14,"('minnesota', 'family', 'council')",1.0341449278693062e-05
15,"('states', 'nationwide', 'that')",1.0341449278693062e-05
16,"('between', 'there', 'were')",6.831507376689065e-07
17,"('state', 'legislature', 'passed')",6.831507376689065e-07
18,"('abortion', 'should', 'legal')",6.831507376689065e-07
19,"('women', 'seeking', 'abortions')",6.831507376689065e-07
20,"('pointed', 'usefulness', 'bypass')",3.4154586260665353e-07
21,"('usefulness', 'bypass', 'procedure')",3.4154586260665353e-07
22,"('bypass', 'procedure', 'judges')",3.4154586260665353e-07
23,"('procedure', 'judges', 'granted')",3.4154586260665353e-07
24,"('judges', 'granted', 'handful')",3.4154586260665353e-07
25,"('granted', 'handful', 'requests')",3.4154586260665353e-07
26,"('handful', 'requests', 'authorize')",3.4154586260665353e-07
27,"('requests', 'authorize', 'abortions')",3.4154586260665353e-07
28,"('authorize', 'abortions', 'without')",3.4154586260665353e-07
29,"('without', 'parental', 'notice')",3.4154586260665353e-07
30,"('between', 'number', 'abortion')",3.4154586260665353e-07
31,"('clinics', 'state', 'decreased')",3.4154586260665353e-07
32,"('state', 'decreased', 'going')",3.4154586260665353e-07
33,"('decreased', 'going', 'from')",3.4154586260665353e-07
34,"('there', 'were', 'abortion')",3.4154586260665353e-07
35,"('state', 'counties', 'state')",3.4154586260665353e-07
36,"('kennedy', 'pointed', 'usefulness')",3.4154586260665353e-07
37,"('clinics', 'state', 'counties')",3.4154586260665353e-07
38,"('were', 'abortion', 'clinics')",3.4154586260665353e-07
39,"('abortions', 'without', 'parental')",3.4154586260665353e-07
40,"('justice', 'kennedy', 'pointed')",3.4154586260665353e-07
41,"('white', 'scalia', 'kennedy')",3.4154586260665353e-07
42,"('judicial', 'bypass', 'justice')",3.4154586260665353e-07
43,"('judicial', 'review', 'rationality')",3.4154586260665353e-07
44,"('review', 'rationality', 'standard')",3.4154586260665353e-07
45,"('rationality', 'standard', 'joined')",3.4154586260665353e-07
46,"('standard', 'joined', 'court')",3.4154586260665353e-07
47,"('joined', 'court', 'more')",3.4154586260665353e-07
48,"('court', 'more', 'conservative')",3.4154586260665353e-07
49,"('more', 'conservative', 'justices')",3.4154586260665353e-07
