,word,relevance_score
0,"('fetal', 'heartbeat', 'bill')",1.1637478015657363
1,"('jackson', 'women', 'health')",3.0829271582319024e-05
2,"('only', 'abortion', 'clinic')",2.018381927856016e-05
3,"('failed', 'pass', 'fetal')",2.018381927856016e-05
4,"('tried', 'failed', 'pass')",2.018381927856016e-05
5,"('pass', 'fetal', 'heartbeat')",2.018381927856016e-05
6,"('nationwide', 'that', 'tried')",2.018381927856016e-05
7,"('states', 'nationwide', 'that')",2.018381927856016e-05
8,"('abortion', 'clinics', 'state')",2.018381927856016e-05
9,"('that', 'tried', 'failed')",2.018381927856016e-05
10,"('state', 'only', 'abortion')",1.0183920862044579e-05
11,"('functional', 'equivalent', 'thereof')",1.0183920862044579e-05
12,"('equivalent', 'thereof', ""''"")",1.0183920862044579e-05
13,"('passed', 'that', 'required')",1.0183920862044579e-05
14,"('staff', 'with', 'hospital')",1.0183920862044579e-05
15,"('with', 'hospital', 'admitting')",1.0183920862044579e-05
16,"('hospital', 'admitting', 'privileges')",1.0183920862044579e-05
17,"('referred', 'public', 'health')",1.0183920862044579e-05
18,"('laurie', 'bertram', 'roberts')",1.0183920862044579e-05
19,"('women', 'health', 'been')",1.0183920862044579e-05
20,"('abortion', 'clinic', 'mississippi')",1.0183920862044579e-05
21,"('planned', 'parenthood', 'clinic')",1.0183920862044579e-05
22,"('cloning', 'functional', 'equivalent')",1.0183920862044579e-05
23,"('rights', 'views', 'activities')",1.0183920862044579e-05
24,"('mississippi', 'reproductive', 'freedom')",1.0183920862044579e-05
25,"('reproductive', 'freedom', 'fund')",1.0183920862044579e-05
26,"('antiabortion', 'rights', 'activists')",1.0183920862044579e-05
27,"('around', 'jackson', 'women')",1.0183920862044579e-05
28,"('fertilization', 'cloning', 'functional')",1.0183920862044579e-05
29,"('abortion', 'services', 'state')",1.0183920862044579e-05
30,"('cases', 'rape', 'incest')",1.0183920862044579e-05
31,"('moment', 'fertilization', 'cloning')",1.0183920862044579e-05
32,"('court', 'decision', 'dobbs')",1.0183920862044579e-05
33,"('number', 'abortion', 'clinics')",1.0183920862044579e-05
34,"('abortion', 'clinics', 'have')",1.0183920862044579e-05
35,"('going', 'from', 'thirteen')",1.0183920862044579e-05
36,"('thirteen', 'eight', 'since')",1.0183920862044579e-05
37,"('``', 'prochoice', ""''"")",1.0183920862044579e-05
38,"('from', 'thirteen', 'eight')",1.0183920862044579e-05
39,"('alternative', 'viewpoint', '``')",1.0183920862044579e-05
40,"('center', 'reproductive', 'rights')",1.0183920862044579e-05
41,"('reproductive', 'rights', 'ibis')",1.0183920862044579e-05
42,"('rights', 'ibis', 'reproductive')",1.0183920862044579e-05
43,"('ibis', 'reproductive', 'health')",1.0183920862044579e-05
44,"('women', 'voted', 'chose')",1.0183920862044579e-05
45,"('african', 'american', 'women')",3.8377163595356217e-07
46,"('legislature', 'january', 'angela')",1.8401894271402456e-07
47,"('public', 'health', 'welfare')",1.8401894271402456e-07
48,"('hill', 'referred', 'public')",1.8401894271402456e-07
49,"('burks', 'hill', 'referred')",1.8401894271402456e-07
