,word,relevance_score
0,"('reproductive', 'health', 'services')",1.1801583197977132
1,"('planned', 'parenthood', 'clinics')",2.0298604875054115e-05
2,"('abortion', 'services', 'state')",2.0298604875054115e-05
3,"('remaining', 'abortion', 'clinic')",2.0298604875054115e-05
4,"('planned', 'parenthood', 'louis')",1.0298701371609615e-05
5,"('only', 'abortion', 'clinic')",1.0298701371609615e-05
6,"('there', 'were', 'planned')",1.0298701371609615e-05
7,"('were', 'planned', 'parenthood')",1.0298701371609615e-05
8,"('women', 'aged', 'abortions')",1.0298701371609615e-05
9,"('talking', 'about', 'granting')",1.0298701371609615e-05
10,"('about', 'granting', 'temporary')",1.0298701371609615e-05
11,"('temporary', 'restraining', 'order')",1.0298701371609615e-05
12,"('provided', 'abortion', 'services')",1.0298701371609615e-05
13,"('restraining', 'order', 'allowing')",1.0298701371609615e-05
14,"('order', 'allowing', 'state')",1.0298701371609615e-05
15,"('allowing', 'state', 'last')",1.0298701371609615e-05
16,"('last', 'remaining', 'abortion')",1.0298701371609615e-05
17,"('abortion', 'clinic', 'remain')",1.0298701371609615e-05
18,"('clinic', 'remain', 'open')",1.0298701371609615e-05
19,"('granting', 'temporary', 'restraining')",1.0298701371609615e-05
20,"('health', 'services', 'before')",1.0298701371609615e-05
21,"('state', 'last', 'remaining')",1.0298701371609615e-05
22,"('fetal', 'heartbeat', 'bill')",1.0298701371609615e-05
23,"('after', 'eight', 'weeks')",1.0298701371609615e-05
24,"('announced', 'would', 'likely')",1.0298701371609615e-05
25,"('there', 'were', 'abortions')",1.0298701371609615e-05
26,"('``', 'prochoice', ""''"")",1.0298701371609615e-05
27,"('alternative', 'viewpoint', '``')",1.0298701371609615e-05
28,"('would', 'have', 'banned')",1.0298701371609615e-05
29,"('came', 'into', 'effect')",1.0298701371609615e-05
30,"('they', 'tried', 'failed')",1.0298701371609615e-05
31,"('tried', 'failed', 'again')",1.0298701371609615e-05
32,"('legislature', 'passed', 'that')",1.0298701371609615e-05
33,"('licensed', 'ambulatory', 'surgical')",1.0298701371609615e-05
34,"('have', 'hospital', 'admitting')",1.0298701371609615e-05
35,"('have', 'banned', 'abortion')",1.0298701371609615e-05
36,"('state', 'legislature', 'passed')",6.156511363454958e-07
37,"('banned', 'abortions', 'being')",2.987981940696812e-07
38,"('that', 'banned', 'abortions')",2.987981940696812e-07
39,"('missouri', 'that', 'banned')",2.987981940696812e-07
40,"('over', 'missouri', 'that')",2.987981940696812e-07
41,"('case', 'over', 'missouri')",2.987981940696812e-07
42,"('ruled', 'case', 'over')",2.987981940696812e-07
43,"('unconstitutional', 'webster', 'reproductive')",2.987981940696812e-07
44,"('webster', 'reproductive', 'health')",2.987981940696812e-07
45,"('hospital', 'unconstitutional', 'webster')",2.987981940696812e-07
46,"('performed', 'hospital', 'unconstitutional')",2.987981940696812e-07
47,"('abortions', 'being', 'performed')",2.987981940696812e-07
48,"('have', 'performed', 'hospital')",2.987981940696812e-07
49,"('needing', 'have', 'performed')",2.987981940696812e-07
