,word,relevance_score
0,"('there', 'were', 'five')",1.0294952610215298e-05
1,"('women', 'aged', 'abortions')",1.0147458545781418e-05
2,"('flathead', 'valley', 'were')",1.0147458545781418e-05
3,"('parenthood', 'clinics', 'state')",1.0147458545781418e-05
4,"('five', 'planned', 'parenthood')",1.0147458545781418e-05
5,"('were', 'five', 'planned')",1.0147458545781418e-05
6,"('abortion', 'clinics', 'state')",1.0147458545781418e-05
7,"('advanced', 'practice', 'nurses')",1.0147458545781418e-05
8,"('certified', 'nurse', 'midwives')",1.0147458545781418e-05
9,"('could', 'perform', 'abortions')",1.0147458545781418e-05
10,"('physicians', 'could', 'perform')",1.0147458545781418e-05
11,"('only', 'physicians', 'could')",1.0147458545781418e-05
12,"('planned', 'parenthood', 'clinics')",1.0147458545781418e-05
13,"('rights', 'ibis', 'reproductive')",1.0147458545781418e-05
14,"('reproductive', 'rights', 'ibis')",1.0147458545781418e-05
15,"('center', 'reproductive', 'rights')",1.0147458545781418e-05
16,"('alternative', 'viewpoint', '``')",1.0147458545781418e-05
17,"('ibis', 'reproductive', 'health')",1.0147458545781418e-05
18,"('``', 'prochoice', ""''"")",1.0147458545781418e-05
19,"('healthcare', 'clinic', 'whitefish')",1.0147458545781418e-05
20,"('families', 'healthcare', 'clinic')",1.0147458545781418e-05
21,"('clinics', 'there', 'were')",1.0147458545781418e-05
22,"('which', 'seven', 'were')",1.0147458545781418e-05
23,"('number', 'abortion', 'clinics')",1.0147458545781418e-05
24,"('clinics', 'state', 'with')",1.4755707091295997e-07
25,"('drugsin', 'there', 'were')",1.4755707091295997e-07
26,"('prescription', 'drugsin', 'there')",1.4755707091295997e-07
27,"('while', 'searching', 'prescription')",1.4755707091295997e-07
28,"('state', 'with', 'population')",1.4755707091295997e-07
29,"('destroyed', 'while', 'searching')",1.4755707091295997e-07
30,"('klundt', 'destroyed', 'while')",1.4755707091295997e-07
31,"('zachary', 'klundt', 'destroyed')",1.4755707091295997e-07
32,"('searching', 'prescription', 'drugsin')",1.4755707091295997e-07
33,"('with', 'population', 'women')",1.4755707091295997e-07
34,"('offered', 'abortion', 'services')",1.4755707091295997e-07
35,"('women', 'aged', 'which')",1.4755707091295997e-07
36,"('aged', 'which', 'four')",1.4755707091295997e-07
37,"('which', 'four', 'offered')",1.4755707091295997e-07
38,"('four', 'offered', 'abortion')",1.4755707091295997e-07
39,"('abortion', 'services', 'closest')",1.4755707091295997e-07
40,"('services', 'closest', 'abortion')",1.4755707091295997e-07
41,"('after', 'zachary', 'klundt')",1.4755707091295997e-07
42,"('clinics', 'flathead', 'valley')",1.4755707091295997e-07
43,"('closest', 'abortion', 'clinics')",1.4755707091295997e-07
44,"('abortion', 'clinics', 'flathead')",1.4755707091295997e-07
45,"('population', 'women', 'aged')",1.4755707091295997e-07
46,"('destroyed', 'after', 'zachary')",1.4755707091295997e-07
47,"('women', 'state', 'aged')",1.4755707091295997e-07
48,"('families', 'healthcare', 'destroyed')",1.4755707091295997e-07
49,"('were', 'five', 'abortion')",1.4755707091295997e-07
