,word,relevance_score
0,"('village', 'hayes', 'center')",1.067029676896786e-05
1,"('catholics', 'affiliated', 'with')",1.067029676896786e-05
2,"('excommunicated', 'catholics', 'affiliated')",1.067029676896786e-05
3,"('also', 'excommunicated', 'catholics')",1.067029676896786e-05
4,"(""''"", 'also', 'excommunicated')",1.067029676896786e-05
5,"('abortion', 'clinics', 'state')",1.067029676896786e-05
6,"('ruling', 'meant', 'state')",1.067029676896786e-05
7,"('ibis', 'reproductive', 'health')",1.067029676896786e-05
8,"('rights', 'ibis', 'reproductive')",1.067029676896786e-05
9,"('reproductive', 'rights', 'ibis')",1.067029676896786e-05
10,"('center', 'reproductive', 'rights')",1.067029676896786e-05
11,"('sanctuary', 'cities', 'unborn')",1.067029676896786e-05
12,"('``', 'prochoice', ""''"")",1.067029676896786e-05
13,"('abortion', ""''"", 'which')",1.067029676896786e-05
14,"('number', 'abortion', 'clinics')",1.067029676896786e-05
15,"('that', 'abortion', 'should')",1.067029676896786e-05
16,"('blue', 'hill', 'nebraska')",1.067029676896786e-05
17,"('city', 'blue', 'hill')",1.067029676896786e-05
18,"('hayes', 'center', 'nebraska')",1.067029676896786e-05
19,"('alternative', 'viewpoint', '``')",1.067029676896786e-05
20,"('abortion', 'should', 'legal')",1.3402251905636187e-06
21,"('abortion', 'death', 'state')",6.703756651400529e-07
22,"('parenthood', 'clinics', 'state')",6.703756651400529e-07
23,"('planned', 'parenthood', 'clinics')",6.703756651400529e-07
24,"('were', 'planned', 'parenthood')",6.703756651400529e-07
25,"('there', 'were', 'planned')",6.703756651400529e-07
26,"('county', 'without', 'abortion')",6.703756651400529e-07
27,"('abortion', 'clinic', 'there')",6.703756651400529e-07
28,"('without', 'abortion', 'clinic')",6.703756651400529e-07
29,"('clinics', 'state', 'with')",6.703756651400529e-07
30,"('lived', 'county', 'without')",6.703756651400529e-07
31,"('clinic', 'there', 'were')",6.703756651400529e-07
32,"('state', 'with', 'population')",6.703756651400529e-07
33,"('which', 'offered', 'abortion')",6.703756651400529e-07
34,"('population', 'women', 'aged')",6.703756651400529e-07
35,"('women', 'aged', 'which')",6.703756651400529e-07
36,"('aged', 'which', 'offered')",6.703756651400529e-07
37,"('offered', 'abortion', 'services')",6.703756651400529e-07
38,"('period', 'between', 'there')",6.703756651400529e-07
39,"('were', 'recorded', 'illegal')",6.703756651400529e-07
40,"('recorded', 'illegal', 'abortion')",6.703756651400529e-07
41,"('illegal', 'abortion', 'death')",6.703756651400529e-07
42,"('aged', 'lived', 'county')",6.703756651400529e-07
43,"('death', 'state', 'women')",6.703756651400529e-07
44,"('with', 'population', 'women')",6.703756651400529e-07
45,"('state', 'aged', 'lived')",6.703756651400529e-07
46,"('that', 'year', 'counties')",6.703756651400529e-07
47,"('year', 'women', 'state')",6.703756651400529e-07
48,"('unborn', 'child', 'completing')",6.703756651400529e-07
49,"('child', 'completing', 'delivery')",6.703756651400529e-07
