,word,relevance_score
0,"('nevada', 'revised', 'statutes')",2.017735855961831e-05
1,"(""''"", 'having', 'abortion')",1.017505426385583e-05
2,"('implications', ""''"", 'having')",1.017505426385583e-05
3,"('emotional', 'implications', ""''"")",1.017505426385583e-05
4,"('``', 'emotional', 'implications')",1.017505426385583e-05
5,"('tell', 'women', '``')",1.017505426385583e-05
6,"('ibis', 'reproductive', 'health')",1.017505426385583e-05
7,"('rights', 'ibis', 'reproductive')",1.017505426385583e-05
8,"('reproductive', 'rights', 'ibis')",1.017505426385583e-05
9,"('center', 'reproductive', 'rights')",1.017505426385583e-05
10,"('alternative', 'viewpoint', '``')",1.017505426385583e-05
11,"('``', 'prochoice', ""''"")",1.017505426385583e-05
12,"('funding', 'could', 'used')",1.017505426385583e-05
13,"('state', 'funding', 'could')",1.017505426385583e-05
14,"('number', 'abortion', 'clinics')",1.017505426385583e-05
15,"('women', '``', 'emotional')",1.017505426385583e-05
16,"('said', 'poll', 'research')",1.017505426385583e-05
17,"('revised', 'statutes', 'chapter')",1.017505426385583e-05
18,"('statutes', 'chapter', 'section')",1.017505426385583e-05
19,"('adults', 'said', 'poll')",1.017505426385583e-05
20,"('poll', 'research', 'center')",1.017505426385583e-05
21,"('that', 'abortion', 'should')",1.017505426385583e-05
22,"('center', 'that', 'abortion')",1.017505426385583e-05
23,"('should', 'legal', 'while')",1.017505426385583e-05
24,"('legal', 'while', 'said')",1.017505426385583e-05
25,"('while', 'said', 'should')",1.017505426385583e-05
26,"('said', 'should', 'illegal')",1.017505426385583e-05
27,"('research', 'center', 'that')",3.4122608981114977e-07
28,"('abortion', 'should', 'legal')",3.4122608981114977e-07
29,"('million', 'spent', 'statewide')",1.7515268607109058e-07
30,"('grants', 'family', 'planning')",1.7515268607109058e-07
31,"('statewide', 'grants', 'family')",1.7515268607109058e-07
32,"('spent', 'statewide', 'grants')",1.7515268607109058e-07
33,"('allocated', 'million', 'spent')",1.7515268607109058e-07
34,"('decreased', 'eight', 'going')",1.7515268607109058e-07
35,"('senate', 'bill', 'allocated')",1.7515268607109058e-07
36,"('addition', 'senate', 'bill')",1.7515268607109058e-07
37,"('family', 'planning', 'organizations')",1.7515268607109058e-07
38,"('status', 'addition', 'senate')",1.7515268607109058e-07
39,"('marital', 'status', 'addition')",1.7515268607109058e-07
40,"('bill', 'allocated', 'million')",1.7515268607109058e-07
41,"('decision', 'wade', 'ruling')",1.7515268607109058e-07
42,"('regulate', 'abortion', 'first')",1.7515268607109058e-07
43,"('ruling', 'meant', 'state')",1.7515268607109058e-07
44,"('meant', 'state', 'could')",1.7515268607109058e-07
45,"('state', 'could', 'longer')",1.7515268607109058e-07
46,"('could', 'longer', 'regulate')",1.7515268607109058e-07
47,"('longer', 'regulate', 'abortion')",1.7515268607109058e-07
48,"('state', 'decreased', 'eight')",1.7515268607109058e-07
49,"('abortion', 'first', 'trimester')",1.7515268607109058e-07
