,word,relevance_score
0,"('planned', 'parenthood', 'northern')",2.0339082469493246e-05
1,"('parenthood', 'northern', 'england')",2.0339082469493246e-05
2,"('number', 'abortion', 'clinics')",2.0339082469493246e-05
3,"('feminist', 'health', 'center')",2.0339082469493246e-05
4,"('parenthood', 'clinics', 'state')",1.0337822164552165e-05
5,"('planned', 'parenthood', 'clinics')",1.0337822164552165e-05
6,"('five', 'planned', 'parenthood')",1.0337822164552165e-05
7,"('were', 'five', 'planned')",1.0337822164552165e-05
8,"('abortion', 'clinics', 'state')",1.0337822164552165e-05
9,"('governor', 'john', 'lynch')",1.0337822164552165e-05
10,"('hampshire', 'parental', 'notification')",1.0337822164552165e-05
11,"('ibis', 'reproductive', 'health')",1.0337822164552165e-05
12,"('parental', 'notification', 'unconstitutional')",1.0337822164552165e-05
13,"('reproductive', 'rights', 'ibis')",1.0337822164552165e-05
14,"('rights', 'ibis', 'reproductive')",1.0337822164552165e-05
15,"('three', 'publicly', 'funded')",1.0337822164552165e-05
16,"('publicly', 'funded', 'abortions')",1.0337822164552165e-05
17,"('``', 'prochoice', ""''"")",1.0337822164552165e-05
18,"('ayotte', 'planned', 'parenthood')",1.0337822164552165e-05
19,"('alternative', 'viewpoint', '``')",1.0337822164552165e-05
20,"('center', 'reproductive', 'rights')",1.0337822164552165e-05
21,"('there', 'were', 'five')",6.757781354609773e-07
22,"('district', 'judge', 'saris')",3.3791878520984514e-07
23,"('panel', 'composed', 'chief')",3.3791878520984514e-07
24,"('composed', 'chief', 'judge')",3.3791878520984514e-07
25,"('chief', 'judge', 'michael')",3.3791878520984514e-07
26,"('judge', 'michael', 'boudin')",3.3791878520984514e-07
27,"('michael', 'boudin', 'circuit')",3.3791878520984514e-07
28,"('boudin', 'circuit', 'judge')",3.3791878520984514e-07
29,"('circuit', 'judge', 'juan')",3.3791878520984514e-07
30,"('judge', 'juan', 'torruella')",3.3791878520984514e-07
31,"('juan', 'torruella', 'district')",3.3791878520984514e-07
32,"('torruella', 'district', 'judge')",3.3791878520984514e-07
33,"('judge', 'panel', 'composed')",3.3791878520984514e-07
34,"('judge', 'saris', 'unanimously')",3.3791878520984514e-07
35,"('kelly', 'ayotte', 'replaced')",3.3791878520984514e-07
36,"('unanimously', 'affirmed', 'judgment')",3.3791878520984514e-07
37,"('affirmed', 'judgment', 'judge')",3.3791878520984514e-07
38,"('judgment', 'judge', 'diclerico')",3.3791878520984514e-07
39,"('judge', 'diclerico', 'same')",3.3791878520984514e-07
40,"('diclerico', 'same', 'reasons')",3.3791878520984514e-07
41,"('same', 'reasons', 'statedattorney')",3.3791878520984514e-07
42,"('reasons', 'statedattorney', 'general')",3.3791878520984514e-07
43,"('statedattorney', 'general', 'kelly')",3.3791878520984514e-07
44,"('general', 'kelly', 'ayotte')",3.3791878520984514e-07
45,"('three', 'judge', 'panel')",3.3791878520984514e-07
46,"('ayotte', 'replaced', 'heed')",3.3791878520984514e-07
47,"('replaced', 'heed', 'appealed')",3.3791878520984514e-07
48,"('saris', 'unanimously', 'affirmed')",3.3791878520984514e-07
49,"('salerno', 'three', 'judge')",3.3791878520984514e-07
