,word,relevance_score
0,"('governor', 'phil', 'murphy')",2.08180058647911e-05
1,"('abortions', 'which', 'were')",2.08180058647911e-05
2,"('without', 'parental', 'consent')",2.08180058647911e-05
3,"('services', 'without', 'parental')",1.0179982980219422e-05
4,"('rights', 'views', 'activities')",1.0179982980219422e-05
5,"('women', 'aged', 'abortions')",1.0179982980219422e-05
6,"('parenthood', 'clinics', 'state')",1.0179982980219422e-05
7,"('planned', 'parenthood', 'clinics')",1.0179982980219422e-05
8,"('were', 'planned', 'parenthood')",1.0179982980219422e-05
9,"('there', 'were', 'planned')",1.0179982980219422e-05
10,"('were', 'abortion', 'clinics')",1.0179982980219422e-05
11,"('provided', 'abortions', 'which')",1.0179982980219422e-05
12,"('there', 'were', 'facilities')",1.0179982980219422e-05
13,"('abortion', 'clinics', 'state')",1.0179982980219422e-05
14,"('number', 'abortion', 'clinics')",1.0179982980219422e-05
15,"('which', 'were', 'abortion')",1.0179982980219422e-05
16,"('reduce', 'number', 'abortions')",1.0179982980219422e-05
17,"('like', 'alabama', 'georgia')",1.0179982980219422e-05
18,"('states', 'like', 'alabama')",1.0179982980219422e-05
19,"('monmouth', 'memorial', 'hospital')",1.0179982980219422e-05
20,"('``', 'prochoice', ""''"")",1.0179982980219422e-05
21,"('ibis', 'reproductive', 'health')",1.0179982980219422e-05
22,"('rights', 'ibis', 'reproductive')",1.0179982980219422e-05
23,"('reproductive', 'rights', 'ibis')",1.0179982980219422e-05
24,"('center', 'reproductive', 'rights')",1.0179982980219422e-05
25,"('alternative', 'viewpoint', '``')",1.0179982980219422e-05
26,"('woman', 'right', 'choose')",2.846148102326985e-07
27,"('wade', 'ruling', 'meant')",1.8008160222466093e-07
28,"('child', 'statue', 'regards')",1.8008160222466093e-07
29,"('statue', 'regards', 'victim')",1.8008160222466093e-07
30,"('regards', 'victim', 'crime')",1.8008160222466093e-07
31,"('victim', 'crime', 'criminal')",1.8008160222466093e-07
32,"('crime', 'criminal', 'object')",1.8008160222466093e-07
33,"('criminal', 'object', 'protection')",1.8008160222466093e-07
34,"('object', 'protection', 'rather')",1.8008160222466093e-07
35,"('protection', 'rather', 'than')",1.8008160222466093e-07
36,"('rather', 'than', 'punishment')",1.8008160222466093e-07
37,"('than', 'punishment', ""''"")",1.8008160222466093e-07
38,"('punishment', ""''"", 'supreme')",1.8008160222466093e-07
39,"('decision', 'wade', 'ruling')",1.8008160222466093e-07
40,"('life', 'child', 'statue')",1.8008160222466093e-07
41,"('ruling', 'meant', 'state')",1.8008160222466093e-07
42,"('during', 'steven', 'brigham')",1.8008160222466093e-07
43,"('state', 'could', 'longer')",1.8008160222466093e-07
44,"('brigham', 'opened', 'first')",1.8008160222466093e-07
45,"('steven', 'brigham', 'opened')",1.8008160222466093e-07
46,"('against', 'life', 'child')",1.8008160222466093e-07
47,"('from', 'during', 'steven')",1.8008160222466093e-07
48,"('going', 'from', 'during')",1.8008160222466093e-07
49,"('twelve', 'going', 'from')",1.8008160222466093e-07
