,word,relevance_score
0,"('number', 'abortion', 'clinics')",1.0544774274532757e-05
1,"('women', 'aged', 'abortions')",1.0544774274532757e-05
2,"('planned', 'parenthood', 'clinics')",1.0544774274532757e-05
3,"('ibis', 'reproductive', 'health')",1.0544774274532757e-05
4,"('rights', 'ibis', 'reproductive')",1.0544774274532757e-05
5,"('parenthood', 'clinics', 'state')",1.0544774274532757e-05
6,"('center', 'reproductive', 'rights')",1.0544774274532757e-05
7,"('alternative', 'viewpoint', '``')",1.0544774274532757e-05
8,"('``', 'prochoice', ""''"")",1.0544774274532757e-05
9,"('reproductive', 'rights', 'ibis')",1.0544774274532757e-05
10,"('abortion', 'clinics', 'state')",5.448687784150225e-07
11,"('were', 'eleven', 'facilities')",5.448687784150225e-07
12,"('clinics', 'state', 'decreased')",5.448687784150225e-07
13,"('state', 'decreased', 'going')",5.448687784150225e-07
14,"('decreased', 'going', 'from')",5.448687784150225e-07
15,"('going', 'from', 'twenty')",5.448687784150225e-07
16,"('from', 'twenty', 'there')",5.448687784150225e-07
17,"('twenty', 'there', 'were')",5.448687784150225e-07
18,"('eleven', 'facilities', 'which')",5.448687784150225e-07
19,"('which', 'nine', 'were')",5.448687784150225e-07
20,"('which', 'provided', 'abortions')",5.448687784150225e-07
21,"('provided', 'abortions', 'which')",5.448687784150225e-07
22,"('abortions', 'which', 'nine')",5.448687784150225e-07
23,"('between', 'number', 'abortion')",5.448687784150225e-07
24,"('nine', 'were', 'abortion')",5.448687784150225e-07
25,"('were', 'abortion', 'clinics')",5.448687784150225e-07
26,"('abortion', 'clinics', 'counties')",5.448687784150225e-07
27,"('clinics', 'counties', 'state')",5.448687784150225e-07
28,"('facilities', 'which', 'provided')",5.448687784150225e-07
29,"('state', 'funding', 'abortion')",5.448687784150225e-07
30,"('periods', 'required', 'parental')",5.448687784150225e-07
31,"('consent', 'inability', 'state')",5.448687784150225e-07
32,"('jersey', 'allowed', 'qualified')",5.448687784150225e-07
33,"('allowed', 'qualified', 'nonphysicians')",5.448687784150225e-07
34,"('qualified', 'nonphysicians', 'prescribe')",5.448687784150225e-07
35,"('nonphysicians', 'prescribe', 'drugs')",5.448687784150225e-07
36,"('prescribe', 'drugs', 'medical')",5.448687784150225e-07
37,"('drugs', 'medical', 'abortions')",5.448687784150225e-07
38,"('medical', 'abortions', 'only')",5.448687784150225e-07
39,"('abortions', 'only', 'mexico')",5.448687784150225e-07
40,"('only', 'mexico', 'abortion')",5.448687784150225e-07
41,"('mexico', 'abortion', 'restrictions')",5.448687784150225e-07
42,"('abortion', 'restrictions', 'comparison')",5.448687784150225e-07
43,"('restrictions', 'comparison', 'other')",5.448687784150225e-07
44,"('comparison', 'other', 'states')",5.448687784150225e-07
45,"('states', 'there', 'waiting')",5.448687784150225e-07
46,"('there', 'waiting', 'periods')",5.448687784150225e-07
47,"('waiting', 'periods', 'required')",5.448687784150225e-07
48,"('counties', 'state', 'have')",5.448687784150225e-07
49,"('required', 'parental', 'consent')",5.448687784150225e-07
