,word,relevance_score
0,"('number', 'abortion', 'clinics')",2.0084902972603735e-05
1,"('florida', 'second', 'with')",2.0084902972603735e-05
2,"('texas', 'third', 'with')",2.0084902972603735e-05
3,"('york', 'city', 'highest')",2.0084902972603735e-05
4,"('there', 'were', 'abortions')",2.0084902972603735e-05
5,"('illegal', 'abortion', 'deaths')",2.0084902972603735e-05
6,"('clinic', 'buffalo', 'york')",1.008500212783977e-05
7,"('highest', 'number', 'legal')",1.008500212783977e-05
8,"('number', 'legal', 'induced')",1.008500212783977e-05
9,"('legal', 'induced', 'abortions')",1.008500212783977e-05
10,"('with', 'while', 'florida')",1.008500212783977e-05
11,"('while', 'florida', 'second')",1.008500212783977e-05
12,"('second', 'with', 'texas')",1.008500212783977e-05
13,"('with', 'texas', 'third')",1.008500212783977e-05
14,"('induced', 'abortions', 'with')",1.008500212783977e-05
15,"('live', 'births', 'while')",1.008500212783977e-05
16,"('with', 'idaho', 'lowest')",1.008500212783977e-05
17,"('abortion', 'clinic', 'buffalo')",1.008500212783977e-05
18,"('births', 'while', 'york')",1.008500212783977e-05
19,"('city', 'highest', 'state')",1.008500212783977e-05
20,"('women', 'aged', 'abortions')",1.008500212783977e-05
21,"('clinic', 'york', 'city')",1.008500212783977e-05
22,"('glass', 'bottles', 'from')",1.008500212783977e-05
23,"('occurred', 'abortion', 'clinic')",1.008500212783977e-05
24,"('third', 'with', 'idaho')",1.008500212783977e-05
25,"('abortion', 'clinics', 'state')",1.008500212783977e-05
26,"('abortion', 'clinic', 'york')",1.008500212783977e-05
27,"('abortions', 'york', 'city')",1.008500212783977e-05
28,"('according', 'guttmacher', 'institute')",1.008500212783977e-05
29,"('buffer', 'zones', ""''"")",1.008500212783977e-05
30,"('abortion', 'united', 'states')",1.008500212783977e-05
31,"('within', 'first', 'weeks')",1.008500212783977e-05
32,"('first', 'weeks', 'pregnancy')",1.008500212783977e-05
33,"('pregnancy', 'preserve', 'life')",1.008500212783977e-05
34,"('weeks', 'pregnancy', 'preserve')",1.008500212783977e-05
35,"('nationwide', 'that', 'tried')",1.008500212783977e-05
36,"('that', 'tried', 'failed')",1.008500212783977e-05
37,"('tried', 'failed', 'pass')",1.008500212783977e-05
38,"('failed', 'pass', 'fetal')",1.008500212783977e-05
39,"('pass', 'fetal', 'heartbeat')",1.008500212783977e-05
40,"('fetal', 'heartbeat', 'bill')",1.008500212783977e-05
41,"('states', 'nationwide', 'that')",1.008500212783977e-05
42,"('week', 'pregnancy', 'york')",1.008500212783977e-05
43,"('while', 'york', 'city')",1.6910264811053353e-07
44,"('planned', 'parenthood', 'clinic')",8.510128057370263e-08
45,"('state', 'visited', 'planned')",8.510128057370263e-08
46,"('visited', 'planned', 'parenthood')",8.510128057370263e-08
47,"('boyfriend', 'best', 'friend')",8.510128057370263e-08
48,"('clinic', 'seek', 'information')",8.510128057370263e-08
49,"('seek', 'information', 'getting')",8.510128057370263e-08
