,word,relevance_score
0,"('facilities', 'providing', 'abortion')",1.1669712401744552
1,"('providing', 'abortion', 'care')",1.1669712401744552
2,"('judge', 'william', 'osteen')",2.0225421290111514e-05
3,"('center', 'reproductive', 'rights')",2.0225421290111514e-05
4,"('abortions', 'north', 'carolina')",2.0225421290111514e-05
5,"('women', 'from', 'state')",2.0225421290111514e-05
6,"('alternative', 'viewpoint', '``')",1.0225518378003855e-05
7,"('reproductive', 'rights', 'ibis')",1.0225518378003855e-05
8,"('rights', 'ibis', 'reproductive')",1.0225518378003855e-05
9,"('ibis', 'reproductive', 'health')",1.0225518378003855e-05
10,"('southern', 'white', 'evangelical')",1.0225518378003855e-05
11,"('abortions', 'after', 'weeks')",1.0225518378003855e-05
12,"('abortion', 'care', 'north')",1.0225518378003855e-05
13,"('period', 'between', 'state')",1.0225518378003855e-05
14,"('``', 'prochoice', ""''"")",1.0225518378003855e-05
15,"('care', 'north', 'carolina')",1.0225518378003855e-05
16,"('woman', 'right', 'know')",1.0225518378003855e-05
17,"('abortion', 'rights', 'activists')",1.0225518378003855e-05
18,"('women', 'aged', 'abortions')",1.0225518378003855e-05
19,"('number', 'abortion', 'clinics')",1.0225518378003855e-05
20,"('which', 'were', 'freestanding')",1.0225518378003855e-05
21,"('from', 'state', 'participated')",1.0225518378003855e-05
22,"('abortion', 'care', 'which')",1.0225518378003855e-05
23,"('care', 'which', 'were')",1.0225518378003855e-05
24,"('north', 'carolina', 'including')",1.0225518378003855e-05
25,"('state', 'targeted', 'regulation')",1.0225518378003855e-05
26,"('targeted', 'regulation', 'abortion')",1.0225518378003855e-05
27,"('regulation', 'abortion', 'providers')",1.0225518378003855e-05
28,"('district', 'judge', 'william')",1.0225518378003855e-05
29,"('william', 'osteen', 'formally')",1.0225518378003855e-05
30,"('abortion', 'providers', 'trap')",1.0225518378003855e-05
31,"('formally', 'struck', 'down')",1.0225518378003855e-05
32,"('struck', 'down', 'north')",1.0225518378003855e-05
33,"('down', 'north', 'carolina')",1.0225518378003855e-05
34,"('freestanding', 'abortion', 'clinics')",1.0225518378003855e-05
35,"('abortion', 'care', 'facilities')",1.0225518378003855e-05
36,"('care', 'facilities', 'providing')",1.0225518378003855e-05
37,"('osteen', 'formally', 'struck')",1.0225518378003855e-05
38,"('abortions', 'performed', 'after')",2.2561612137504643e-07
39,"('from', 'before', 'wade')",2.2561612137504643e-07
40,"('before', 'wade', 'overturned')",2.2561612137504643e-07
41,"('gestation', 'from', 'before')",2.2561612137504643e-07
42,"('weeks', 'gestation', 'from')",2.2561612137504643e-07
43,"('after', 'weeks', 'gestation')",2.2561612137504643e-07
44,"('performed', 'after', 'weeks')",2.2561612137504643e-07
45,"('banned', 'abortions', 'performed')",2.2561612137504643e-07
46,"('abortion', 'procedures', 'through')",2.2561612137504643e-07
47,"('north', 'carolina', 'banned')",2.2561612137504643e-07
48,"('conscience', 'protections', ""''"")",2.2561612137504643e-07
49,"('``', 'conscience', 'protections')",2.2561612137504643e-07
