,word,relevance_score
0,"('center', 'reproductive', 'rights')",2.030974092547436e-05
1,"('only', 'abortion', 'clinic')",2.030974092547436e-05
2,"('clinic', 'north', 'dakota')",2.030974092547436e-05
3,"('grand', 'forks', 'jamestown')",2.030974092547436e-05
4,"('north', 'dakota', 'third')",2.030974092547436e-05
5,"('dakota', 'third', 'with')",2.030974092547436e-05
6,"('women', 'health', 'organization')",1.088621109024584e-05
7,"('lowest', 'number', 'legal')",1.0310063032459172e-05
8,"('number', 'legal', 'induced')",1.0310063032459172e-05
9,"('legal', 'induced', 'abortions')",1.0310063032459172e-05
10,"('with', 'while', 'south')",1.0310063032459172e-05
11,"('second', 'with', 'north')",1.0310063032459172e-05
12,"('south', 'dakota', 'second')",1.0310063032459172e-05
13,"('dakota', 'second', 'with')",1.0310063032459172e-05
14,"('planned', 'parenthood', 'clinic')",1.0310063032459172e-05
15,"('rights', 'views', 'activities')",1.0310063032459172e-05
16,"('while', 'south', 'dakota')",1.0310063032459172e-05
17,"('supporting', 'abortion', 'rights')",1.0310063032459172e-05
18,"('north', 'dakota', 'signed')",1.0310063032459172e-05
19,"('abortion', 'clinic', 'north')",1.0310063032459172e-05
20,"('dakota', 'signed', 'into')",1.0310063032459172e-05
21,"('induced', 'abortions', 'with')",1.0310063032459172e-05
22,"('march', 'jack', 'dalrymple')",1.0310063032459172e-05
23,"('ibis', 'reproductive', 'health')",1.0310063032459172e-05
24,"('rights', 'ibis', 'reproductive')",1.0310063032459172e-05
25,"('reproductive', 'rights', 'ibis')",1.0310063032459172e-05
26,"('alternative', 'viewpoint', '``')",1.0310063032459172e-05
27,"('jane', 'bovard', 'many')",1.0310063032459172e-05
28,"('``', 'prochoice', ""''"")",1.0310063032459172e-05
29,"('bovard', 'many', 'times')",1.0310063032459172e-05
30,"('doctors', 'grand', 'forks')",1.0310063032459172e-05
31,"('third', 'with', 'state')",1.0310063032459172e-05
32,"('with', 'north', 'dakota')",5.61701267179264e-07
33,"('blocked', 'bill', 'case')",3.1016022272052665e-07
34,"('declined', 'review', 'case')",3.1016022272052665e-07
35,"('review', 'case', 'remains')",3.1016022272052665e-07
36,"('case', 'remains', 'permanently')",3.1016022272052665e-07
37,"('remains', 'permanently', 'blocked')",3.1016022272052665e-07
38,"('permanently', 'blocked', 'july')",3.1016022272052665e-07
39,"('blocked', 'july', 'lawsuit')",3.1016022272052665e-07
40,"('july', 'lawsuit', 'been')",3.1016022272052665e-07
41,"('lawsuit', 'been', 'filed')",3.1016022272052665e-07
42,"('been', 'filed', 'with')",3.1016022272052665e-07
43,"('filed', 'with', 'regard')",3.1016022272052665e-07
44,"('with', 'regard', 'center')",3.1016022272052665e-07
45,"('into', 'effect', 'supreme')",3.1016022272052665e-07
46,"('regard', 'center', 'reproductive')",3.1016022272052665e-07
47,"('rights', 'behalf', 'only')",3.1016022272052665e-07
48,"('behalf', 'only', 'abortion')",3.1016022272052665e-07
49,"('north', 'dakota', 'river')",3.1016022272052665e-07
