,word,relevance_score
0,"('attorney', 'general', 'said')",1.0544957377432153e-05
1,"('``', 'prochoice', ""''"")",1.0544957377432153e-05
2,"('alternative', 'viewpoint', '``')",1.0544957377432153e-05
3,"('result', 'rape', 'incest')",1.0544957377432153e-05
4,"('mostly', 'medicaid', 'funding')",5.450530580273322e-07
5,"('review', 'constitutionality', 'where')",5.450530580273322e-07
6,"('general', 'review', 'constitutionality')",5.450530580273322e-07
7,"('attorney', 'general', 'review')",5.450530580273322e-07
8,"('asked', 'attorney', 'general')",5.450530580273322e-07
9,"('tenorio', 'asked', 'attorney')",5.450530580273322e-07
10,"('pedro', 'tenorio', 'asked')",5.450530580273322e-07
11,"('after', 'pedro', 'tenorio')",5.450530580273322e-07
12,"('debated', 'after', 'pedro')",5.450530580273322e-07
13,"('place', 'debated', 'after')",5.450530580273322e-07
14,"('adopted', 'still', 'place')",5.450530580273322e-07
15,"('constitutionality', 'where', 'having')",5.450530580273322e-07
16,"('measure', 'adopted', 'still')",5.450530580273322e-07
17,"('this', 'measure', 'adopted')",5.450530580273322e-07
18,"(""''"", 'this', 'measure')",5.450530580273322e-07
19,"('provided', 'law', ""''"")",5.450530580273322e-07
20,"('except', 'provided', 'law')",5.450530580273322e-07
21,"('islands', 'except', 'provided')",5.450530580273322e-07
22,"('mariana', 'islands', 'except')",5.450530580273322e-07
23,"('still', 'place', 'debated')",5.450530580273322e-07
24,"('where', 'having', 'discussion')",5.450530580273322e-07
25,"('immediately', 'resistance', 'from')",5.450530580273322e-07
26,"('discussion', 'immediately', 'resistance')",5.450530580273322e-07
27,"('woman', 'herself', 'concerned')",5.450530580273322e-07
28,"('heldas', 'woman', 'herself')",5.450530580273322e-07
29,"('court', 'heldas', 'woman')",5.450530580273322e-07
30,"('territorial', 'court', 'heldas')",5.450530580273322e-07
31,"('states', 'territorial', 'court')",5.450530580273322e-07
32,"('territory', 'also', 'united')",5.450530580273322e-07
33,"('trust', 'territory', 'also')",5.450530580273322e-07
34,"('court', 'trust', 'territory')",5.450530580273322e-07
35,"('appellate', 'court', 'trust')",5.450530580273322e-07
36,"('tarkong', 'appellate', 'court')",5.450530580273322e-07
37,"('territory', 'tarkong', 'appellate')",5.450530580273322e-07
38,"('trust', 'territory', 'tarkong')",5.450530580273322e-07
39,"('case', 'trust', 'territory')",5.450530580273322e-07
40,"('roman', 'catholic', 'majority')",5.450530580273322e-07
41,"(""'"", 'roman', 'catholic')",5.450530580273322e-07
42,"('marianas', ""'"", 'roman')",5.450530580273322e-07
43,"('from', 'marianas', ""'"")",5.450530580273322e-07
44,"('resistance', 'from', 'marianas')",5.450530580273322e-07
45,"('prohibited', 'commonwealth', 'northern')",5.450530580273322e-07
46,"('having', 'discussion', 'immediately')",5.450530580273322e-07
47,"('pregnancy', 'prohibited', 'commonwealth')",5.450530580273322e-07
48,"('child', 'during', 'mother')",5.450530580273322e-07
49,"('during', 'mother', 'pregnancy')",5.450530580273322e-07
