,word,relevance_score
0,"('cuyahoga', 'hamilton', 'franklin')",1.1279252891958702
1,"('hamilton', 'franklin', 'richland')",1.1279252891958702
2,"('franklin', 'richland', 'mahoning')",1.1279252891958702
3,"('richland', 'mahoning', 'montgomery')",1.1279252891958702
4,"('mahoning', 'montgomery', 'lucas')",1.1279252891958702
5,"('montgomery', 'lucas', 'counties')",1.1279252891958702
6,"('lucas', 'counties', 'from')",1.1279252891958702
7,"('planned', 'parenthood', 'clinics')",1.990570823166428e-05
8,"('pregnant', 'woman', ""''"")",1.990570823166428e-05
9,"('major', 'bodily', 'function')",1.990570823166428e-05
10,"('impairment', 'major', 'bodily')",1.990570823166428e-05
11,"('serious', 'risk', 'substantial')",1.990570823166428e-05
12,"('after', 'fetal', 'heartbeat')",1.990570823166428e-05
13,"('counties', 'from', 'enforcing')",1.990570823166428e-05
14,"('embryonic', 'cardiac', 'activity')",1.990570823166428e-05
15,"('after', 'embryonic', 'cardiac')",1.990570823166428e-05
16,"('fetal', 'heartbeat', 'introduced')",9.905941199337009e-06
17,"('introduced', 'bill', 'that')",9.905941199337009e-06
18,"('tried', 'failed', 'pass')",9.905941199337009e-06
19,"('that', 'tried', 'failed')",9.905941199337009e-06
20,"('nationwide', 'that', 'tried')",9.905941199337009e-06
21,"('states', 'nationwide', 'that')",9.905941199337009e-06
22,"('mortality', 'united', 'states')",9.905941199337009e-06
23,"('alternative', 'viewpoint', '``')",9.905941199337009e-06
24,"('rates', 'infant', 'mortality')",9.905941199337009e-06
25,"('ibis', 'reproductive', 'health')",9.905941199337009e-06
26,"('rights', 'ibis', 'reproductive')",9.905941199337009e-06
27,"('reproductive', 'rights', 'ibis')",9.905941199337009e-06
28,"('center', 'reproductive', 'rights')",9.905941199337009e-06
29,"('carrying', 'months', 'jail')",9.905941199337009e-06
30,"('infant', 'mortality', 'united')",9.905941199337009e-06
31,"('fetal', 'heartbeat', 'bills')",9.905941199337009e-06
32,"('number', 'abortion', 'clinics')",9.905941199337009e-06
33,"('passed', 'ohio', 'house')",9.905941199337009e-06
34,"('city', 'council', 'mason')",9.905941199337009e-06
35,"('abortion', 'within', 'city')",9.905941199337009e-06
36,"('these', 'took', 'place')",9.905941199337009e-06
37,"('city', 'lebanon', 'ohio')",9.905941199337009e-06
38,"('part', 'stopthebans', 'movement')",9.905941199337009e-06
39,"('were', 'planned', 'parenthood')",9.905941199337009e-06
40,"('bill', 'house', 'bill')",9.905941199337009e-06
41,"('there', 'were', 'planned')",9.905941199337009e-06
42,"('``', 'prochoice', ""''"")",9.905941199337009e-06
43,"('center', 'reproductive', 'health')",9.905941199337009e-06
44,"('akron', 'center', 'reproductive')",9.905941199337009e-06
45,"('akron', 'akron', 'center')",9.905941199337009e-06
46,"('candice', 'keller', 'hood')",9.905941199337009e-06
47,"('would', 'make', 'abortion')",9.905941199337009e-06
48,"('abortion', 'clinics', 'state')",9.905941199337009e-06
49,"('weeks', 'into', 'pregnancy')",9.905941199337009e-06
