,word,relevance_score
0,"('fetal', 'heartbeat', 'bill')",1.1690458456011055
1,"('governor', 'kevin', 'stitt')",2.023816910073491e-05
2,"('kevin', 'stitt', 'signed')",2.023816910073491e-05
3,"('center', 'reproductive', 'rights')",2.023816910073491e-05
4,"('pass', 'fetal', 'heartbeat')",2.023816910073491e-05
5,"('abortion', 'clinics', 'state')",2.023816910073491e-05
6,"('that', 'pain', 'sensors')",1.025128361331841e-05
7,"('pain', 'sensors', 'develop')",1.025128361331841e-05
8,"('sensors', 'develop', 'fetus')",1.025128361331841e-05
9,"('develop', 'fetus', 'until')",1.025128361331841e-05
10,"('fetus', 'until', 'between')",1.025128361331841e-05
11,"('until', 'between', 'weeks')",1.025128361331841e-05
12,"('failed', 'pass', 'fetal')",1.025128361331841e-05
13,"('tried', 'failed', 'pass')",1.025128361331841e-05
14,"('american', 'medical', 'association')",1.025128361331841e-05
15,"('heartbeat', 'bill', 'that')",1.025128361331841e-05
16,"('number', 'abortion', 'clinics')",1.025128361331841e-05
17,"('women', 'aged', 'abortions')",1.025128361331841e-05
18,"('governor', 'mary', 'fallin')",1.025128361331841e-05
19,"('journal', 'american', 'medical')",1.025128361331841e-05
20,"('bill', 'that', 'year')",1.025128361331841e-05
21,"('fetus', 'feel', 'pain')",1.025128361331841e-05
22,"('that', 'fetus', 'feel')",1.025128361331841e-05
23,"('abortions', 'after', 'weeks')",1.025128361331841e-05
24,"('ibis', 'reproductive', 'health')",1.025128361331841e-05
25,"('rights', 'ibis', 'reproductive')",1.025128361331841e-05
26,"('reproductive', 'rights', 'ibis')",1.025128361331841e-05
27,"('alternative', 'viewpoint', '``')",1.025128361331841e-05
28,"(""''"", '``', 'prolife')",1.025128361331841e-05
29,"('``', 'prochoice', ""''"")",1.025128361331841e-05
30,"('offering', 'services', 'oklahoma')",1.025128361331841e-05
31,"('sexual', 'assault', 'incest')",1.025128361331841e-05
32,"('informed', 'consent', 'materials')",1.025128361331841e-05
33,"('``', 'prolife', ""''"")",7.620848604714832e-07
34,"('state', 'where', 'legislature')",2.513813982446874e-07
35,"('withstand', 'legal', 'challenge')",2.513813982446874e-07
36,"('legal', 'challenge', 'state')",2.513813982446874e-07
37,"('challenge', 'state', 'legislature')",2.513813982446874e-07
38,"('legislature', 'four', 'states')",2.513813982446874e-07
39,"('four', 'states', 'nationwide')",2.513813982446874e-07
40,"('states', 'nationwide', 'that')",2.513813982446874e-07
41,"('nationwide', 'that', 'tried')",2.513813982446874e-07
42,"('wording', 'vague', 'withstand')",2.513813982446874e-07
43,"('that', 'tried', 'failed')",2.513813982446874e-07
44,"('heartbeat', 'bill', 'state')",2.513813982446874e-07
45,"('bill', 'state', 'where')",2.513813982446874e-07
46,"('vague', 'withstand', 'legal')",2.513813982446874e-07
47,"('where', 'legislature', 'introduced')",2.513813982446874e-07
48,"('almost', 'cases', 'pass')",2.513813982446874e-07
49,"('introduced', 'bill', 'that')",2.513813982446874e-07
