,word,relevance_score
0,"('number', 'abortion', 'clinics')",1.0305160625096422e-05
1,"('without', 'abortion', 'clinic')",1.0305160625096422e-05
2,"('county', 'without', 'abortion')",1.0305160625096422e-05
3,"('lived', 'county', 'without')",1.0305160625096422e-05
4,"('aged', 'lived', 'county')",1.0305160625096422e-05
5,"('state', 'aged', 'lived')",1.0305160625096422e-05
6,"('women', 'state', 'aged')",1.0305160625096422e-05
7,"('year', 'women', 'state')",1.0305160625096422e-05
8,"('that', 'year', 'women')",1.0305160625096422e-05
9,"('abortion', 'clinics', 'state')",1.0305160625096422e-05
10,"('women', 'aged', 'abortions')",1.0305160625096422e-05
11,"('ibis', 'reproductive', 'health')",1.0305160625096422e-05
12,"('rights', 'ibis', 'reproductive')",1.0305160625096422e-05
13,"('reproductive', 'rights', 'ibis')",1.0305160625096422e-05
14,"('center', 'reproductive', 'rights')",1.0305160625096422e-05
15,"('alternative', 'viewpoint', '``')",1.0305160625096422e-05
16,"('``', 'prochoice', ""''"")",1.0305160625096422e-05
17,"('abortion', 'clinics', 'oregon')",1.0305160625096422e-05
18,"('state', 'needed', 'resident')",3.0525757205910575e-07
19,"('needed', 'resident', 'some')",3.0525757205910575e-07
20,"('resident', 'some', 'specific')",3.0525757205910575e-07
21,"('some', 'specific', 'period')",3.0525757205910575e-07
22,"('specific', 'period', 'between')",3.0525757205910575e-07
23,"('period', 'between', 'daysas')",3.0525757205910575e-07
24,"('between', 'daysas', 'california')",3.0525757205910575e-07
25,"('daysas', 'california', 'oregon')",3.0525757205910575e-07
26,"('california', 'oregon', 'montana')",3.0525757205910575e-07
27,"('hampshire', 'allow', 'qualified')",3.0525757205910575e-07
28,"('montana', 'vermont', 'hampshire')",3.0525757205910575e-07
29,"('vermont', 'hampshire', 'allow')",3.0525757205910575e-07
30,"('professionals', 'such', 'physician')",3.0525757205910575e-07
31,"('allow', 'qualified', 'nonphysician')",3.0525757205910575e-07
32,"('qualified', 'nonphysician', 'health')",3.0525757205910575e-07
33,"('nonphysician', 'health', 'professionals')",3.0525757205910575e-07
34,"('health', 'professionals', 'such')",3.0525757205910575e-07
35,"('abortion', 'state', 'needed')",3.0525757205910575e-07
36,"('such', 'physician', 'assistants')",3.0525757205910575e-07
37,"('oregon', 'montana', 'vermont')",3.0525757205910575e-07
38,"('legal', 'abortion', 'state')",3.0525757205910575e-07
39,"('their', 'after', 'british')",3.0525757205910575e-07
40,"('woman', 'getting', 'legal')",3.0525757205910575e-07
41,"('were', 'passed', 'into')",3.0525757205910575e-07
42,"('passed', 'into', 'many')",3.0525757205910575e-07
43,"('into', 'many', 'states')",3.0525757205910575e-07
44,"('many', 'states', 'during')",3.0525757205910575e-07
45,"('late', 'early', 'oregon')",3.0525757205910575e-07
46,"('early', 'oregon', 'exception')",3.0525757205910575e-07
47,"('oregon', 'exception', 'that')",3.0525757205910575e-07
48,"('exception', 'that', 'they')",3.0525757205910575e-07
49,"('that', 'they', 'chose')",3.0525757205910575e-07
