,word,relevance_score
0,"('number', 'abortion', 'clinics')",2.0116269271920637e-05
1,"('substantial', 'obstacle', 'path')",2.0116269271920637e-05
2,"('obstacle', 'path', 'woman')",2.0116269271920637e-05
3,"('viability', 'framework', 'plurality')",1.0131283705550738e-05
4,"('woman', 'fundamental', 'right')",1.0131283705550738e-05
5,"('interest', 'potential', 'life')",1.0131283705550738e-05
6,"('city', 'akron', 'akron')",1.0131283705550738e-05
7,"('akron', 'akron', 'center')",1.0131283705550738e-05
8,"('akron', 'center', 'reproductive')",1.0131283705550738e-05
9,"('center', 'reproductive', 'health')",1.0131283705550738e-05
10,"('effect', 'placing', 'substantial')",1.0131283705550738e-05
11,"('woman', 'seeking', 'abortion')",1.0131283705550738e-05
12,"('authors', 'plurality', 'opinion')",1.0131283705550738e-05
13,"('valid', 'state', 'interest')",1.0131283705550738e-05
14,"('undue', 'burden', 'standard')",1.0131283705550738e-05
15,"('spousal', 'notice', 'requirement')",1.0131283705550738e-05
16,"('abortion', 'clinics', 'state')",1.0131283705550738e-05
17,"('period', 'between', 'state')",1.0131283705550738e-05
18,"('were', 'planned', 'parenthood')",1.0131283705550738e-05
19,"('planned', 'parenthood', 'clinics')",1.0131283705550738e-05
20,"('placing', 'substantial', 'obstacle')",1.0131283705550738e-05
21,"('life', 'health', 'mother')",1.0131283705550738e-05
22,"('there', 'were', 'planned')",1.0131283705550738e-05
23,"('ibis', 'reproductive', 'health')",1.0131283705550738e-05
24,"('adults', 'said', 'poll')",1.0131283705550738e-05
25,"('poll', 'research', 'center')",1.0131283705550738e-05
26,"('center', 'that', 'abortion')",1.0131283705550738e-05
27,"('that', 'abortion', 'should')",1.0131283705550738e-05
28,"('should', 'legal', 'said')",1.0131283705550738e-05
29,"('legal', 'said', 'should')",1.0131283705550738e-05
30,"('said', 'should', 'illegal')",1.0131283705550738e-05
31,"('said', 'poll', 'research')",1.0131283705550738e-05
32,"('``', 'prochoice', ""''"")",1.0131283705550738e-05
33,"('alternative', 'viewpoint', '``')",1.0131283705550738e-05
34,"('center', 'reproductive', 'rights')",1.0131283705550738e-05
35,"('reproductive', 'rights', 'ibis')",1.0131283705550738e-05
36,"('rights', 'ibis', 'reproductive')",1.0131283705550738e-05
37,"('abortion', 'should', 'legal')",2.7487422556372404e-07
38,"('research', 'center', 'that')",2.7487422556372404e-07
39,"('justices', 'sandra', ""o'connor"")",2.7487422556372404e-07
40,"('``', 'the', 'purpose')",1.3138233944495656e-07
41,"('burden', 'that', '``')",1.3138233944495656e-07
42,"('undue', 'burden', 'that')",1.3138233944495656e-07
43,"('posing', 'undue', 'burden')",1.3138233944495656e-07
44,"('restriction', 'posing', 'undue')",1.3138233944495656e-07
45,"('legal', 'restriction', 'posing')",1.3138233944495656e-07
46,"('health', 'legal', 'restriction')",1.3138233944495656e-07
47,"('developed', ""o'connor"", 'dissent')",1.3138233944495656e-07
48,"('dissent', 'city', 'akron')",1.3138233944495656e-07
49,"(""o'connor"", 'dissent', 'city')",1.3138233944495656e-07
