,word,relevance_score
0,"('women', 'puerto', 'rico')",1.478640969001143
1,"('access', 'abortion', 'services')",1.1574772880523456
2,"('rights', 'ibis', 'reproductive')",1.014956935125292e-05
3,"('ibis', 'reproductive', 'health')",1.014956935125292e-05
4,"('there', 'move', 'legislature')",1.014956935125292e-05
5,"('move', 'legislature', 'puerto')",1.014956935125292e-05
6,"('legislature', 'puerto', 'rico')",1.014956935125292e-05
7,"('puerto', 'rico', 'make')",1.014956935125292e-05
8,"('women', 'obtain', 'abortions')",1.014956935125292e-05
9,"('abortions', 'puerto', 'rico')",1.014956935125292e-05
10,"('became', 'legal', 'puerto')",1.014956935125292e-05
11,"('legal', 'puerto', 'rico')",1.014956935125292e-05
12,"('rico', 'penal', 'code')",1.014956935125292e-05
13,"('puerto', 'rico', 'there')",1.014956935125292e-05
14,"('parental', 'consent', 'before')",1.014956935125292e-05
15,"('consent', 'before', 'being')",1.014956935125292e-05
16,"('before', 'being', 'allowed')",1.014956935125292e-05
17,"('first', 'trimester', 'abortion')",1.014956935125292e-05
18,"('pablo', 'duarte', 'mendoza')",1.014956935125292e-05
19,"('second', 'trimester', 'abortions')",1.014956935125292e-05
20,"('reproductive', 'rights', 'ibis')",1.014956935125292e-05
21,"('center', 'reproductive', 'rights')",1.014956935125292e-05
22,"('puerto', 'rico', 'penal')",1.014956935125292e-05
23,"('streets', 'masse', 'support')",1.014956935125292e-05
24,"('masse', 'support', 'abortion')",1.014956935125292e-05
25,"('abortion', 'puerto', 'rico')",1.014956935125292e-05
26,"('abortion', 'effectively', 'became')",1.014956935125292e-05
27,"('effectively', 'became', 'legal')",1.014956935125292e-05
28,"('puerto', 'rico', 'legislature')",1.014956935125292e-05
29,"('usinitiated', 'eugenic', 'policies')",1.014956935125292e-05
30,"('women', 'from', 'mainland')",1.014956935125292e-05
31,"('legal', 'abortions', 'with')",1.014956935125292e-05
32,"('introduction', 'malthusian', 'clinics')",1.014956935125292e-05
33,"('puerto', 'rico', 'revolved')",1.014956935125292e-05
34,"('rico', 'revolved', 'around')",1.014956935125292e-05
35,"('revolved', 'around', 'women')",1.014956935125292e-05
36,"('around', 'women', 'taking')",1.014956935125292e-05
37,"('women', 'taking', 'streets')",1.014956935125292e-05
38,"('international', 'women', 'puerto')",1.014956935125292e-05
39,"('taking', 'streets', 'masse')",1.014956935125292e-05
40,"('puerto', 'rico', 'were')",2.9403635976639105e-07
41,"('prior', 'wade', 'supreme')",2.9403635976639105e-07
42,"('issues', 'first', 'trimester')",1.4966786732770768e-07
43,"('occur', 'supreme', 'court')",1.4966786732770768e-07
44,"('should', 'occur', 'supreme')",1.4966786732770768e-07
45,"('abortion', 'should', 'occur')",1.4966786732770768e-07
46,"('whether', 'abortion', 'should')",1.4966786732770768e-07
47,"('factor', 'whether', 'abortion')",1.4966786732770768e-07
48,"('primary', 'factor', 'whether')",1.4966786732770768e-07
49,"('with', 'women', 'health')",1.4966786732770768e-07
