,word,relevance_score
0,"('right', 'abortion', 'codified')",1.0824049370380746e-05
1,"('abortion', 'codified', 'into')",1.0824049370380746e-05
2,"('rhode', 'island', 'senate')",1.0824049370380746e-05
3,"('abortion', 'clinics', 'state')",1.0824049370380746e-05
4,"('many', 'counties', 'have')",8.241405453698691e-07
5,"('state', 'many', 'counties')",8.241405453698691e-07
6,"('significantly', 'from', 'state')",8.241405453698691e-07
7,"('varies', 'significantly', 'from')",8.241405453698691e-07
8,"('abortion', 'varies', 'significantly')",8.241405453698691e-07
9,"('availability', 'abortion', 'varies')",8.241405453698691e-07
10,"('effective', 'availability', 'abortion')",8.241405453698691e-07
11,"('although', 'effective', 'availability')",8.241405453698691e-07
12,"('nominally', 'place', 'although')",8.241405453698691e-07
13,"('counties', 'have', 'abortion')",8.241405453698691e-07
14,"('remains', 'nominally', 'place')",8.241405453698691e-07
15,"('casey', 'remains', 'nominally')",8.241405453698691e-07
16,"('parenthood', 'casey', 'remains')",8.241405453698691e-07
17,"('modified', 'planned', 'parenthood')",8.241405453698691e-07
18,"('framework', 'modified', 'planned')",8.241405453698691e-07
19,"('basic', 'framework', 'modified')",8.241405453698691e-07
20,"('place', 'although', 'effective')",8.241405453698691e-07
21,"('have', 'abortion', 'providers')",8.241405453698691e-07
22,"('providers', 'planned', 'parenthood')",8.241405453698691e-07
23,"('that', 'basic', 'framework')",8.241405453698691e-07
24,"('placing', 'substantial', 'obstacle')",8.241405453698691e-07
25,"('effect', 'placing', 'substantial')",8.241405453698691e-07
26,"('purpose', 'effect', 'placing')",8.241405453698691e-07
27,"('the', 'purpose', 'effect')",8.241405453698691e-07
28,"('``', 'the', 'purpose')",8.241405453698691e-07
29,"('burden', '``', 'the')",8.241405453698691e-07
30,"('undue', 'burden', '``')",8.241405453698691e-07
31,"('abortion', 'providers', 'planned')",8.241405453698691e-07
32,"('imposing', 'undue', 'burden')",8.241405453698691e-07
33,"('legal', 'restrictions', 'imposing')",8.241405453698691e-07
34,"('place', 'legal', 'restrictions')",8.241405453698691e-07
35,"('not', 'place', 'legal')",8.241405453698691e-07
36,"('can', 'not', 'place')",8.241405453698691e-07
37,"('held', 'that', 'can')",8.241405453698691e-07
38,"('casey', 'held', 'that')",8.241405453698691e-07
39,"('parenthood', 'casey', 'held')",8.241405453698691e-07
40,"('restrictions', 'imposing', 'undue')",8.241405453698691e-07
41,"('pregnancy', 'that', 'basic')",8.241405453698691e-07
42,"('restrictions', 'throughout', 'pregnancy')",8.241405453698691e-07
43,"('substantial', 'obstacle', 'path')",8.241405453698691e-07
44,"('abortion', 'already', 'legal')",8.241405453698691e-07
45,"('nationwide', 'abortion', 'already')",8.241405453698691e-07
46,"('abortion', 'nationwide', 'abortion')",8.241405453698691e-07
47,"('decriminalized', 'abortion', 'nationwide')",8.241405453698691e-07
48,"('wade', 'decriminalized', 'abortion')",8.241405453698691e-07
49,"('decision', 'wade', 'decriminalized')",8.241405453698691e-07
