,word,relevance_score
0,"('``', 'fetal', 'heartbeat')",2.039978318835826e-05
1,"('abortion', 'clinics', 'state')",2.039978318835826e-05
2,"('south', 'carolina', 'citizens')",2.039978318835826e-05
3,"('women', 'aged', 'abortions')",1.0401660169900978e-05
4,"('were', 'around', 'abortions')",1.0401660169900978e-05
5,"('left', 'state', 'abortion')",1.0401660169900978e-05
6,"('carolina', 'left', 'state')",1.0401660169900978e-05
7,"('south', 'carolina', 'left')",1.0401660169900978e-05
8,"('women', 'south', 'carolina')",1.0401660169900978e-05
9,"('around', 'women', 'south')",1.0401660169900978e-05
10,"('were', 'around', 'women')",1.0401660169900978e-05
11,"('aged', 'there', 'were')",1.0401660169900978e-05
12,"('women', 'aged', 'there')",1.0401660169900978e-05
13,"('performed', 'south', 'carolina')",1.0401660169900978e-05
14,"('fetal', 'heartbeat', ""''"")",1.0401660169900978e-05
15,"('governor', 'nikki', 'haley')",1.0401660169900978e-05
16,"('ibis', 'reproductive', 'health')",1.0401660169900978e-05
17,"('around', 'abortions', 'performed')",1.0401660169900978e-05
18,"('rights', 'ibis', 'reproductive')",1.0401660169900978e-05
19,"('reproductive', 'rights', 'ibis')",1.0401660169900978e-05
20,"('center', 'reproductive', 'rights')",1.0401660169900978e-05
21,"('alternative', 'viewpoint', '``')",1.0401660169900978e-05
22,"('south', 'carolina', 'state')",1.0401660169900978e-05
23,"('``', 'prochoice', ""''"")",1.0401660169900978e-05
24,"('number', 'abortion', 'clinics')",1.0401660169900978e-05
25,"('adults', 'said', 'poll')",1.0401660169900978e-05
26,"('carolina', 'citizens', 'life')",1.0401660169900978e-05
27,"('woman', '’', 's')",1.0401660169900978e-05
28,"('south', 'carolinian', 'women')",1.0401660169900978e-05
29,"('abortions', 'performed', 'south')",1.0401660169900978e-05
30,"('there', 'were', 'around')",1.6060998579660186e-06
31,"(""''"", 'south', 'carolina')",8.033574224207963e-07
32,"('in', 'supreme', 'court')",4.017561526561507e-07
33,"('unrelated', 'enforcement', 'well')",4.017561526561507e-07
34,"('needs', 'unrelated', 'enforcement')",4.017561526561507e-07
35,"('legitimate', 'needs', 'unrelated')",4.017561526561507e-07
36,"('served', 'legitimate', 'needs')",4.017561526561507e-07
37,"('have', 'served', 'legitimate')",4.017561526561507e-07
38,"('well', 'have', 'served')",4.017561526561507e-07
39,"('policy', 'well', 'have')",4.017561526561507e-07
40,"('while', 'policy', 'well')",4.017561526561507e-07
41,"('``', 'while', 'policy')",4.017561526561507e-07
42,"('agreed', 'that', '``')",4.017561526561507e-07
43,"('kennedy', 'agreed', 'that')",4.017561526561507e-07
44,"('however', 'kennedy', 'agreed')",4.017561526561507e-07
45,"('case', 'however', 'kennedy')",4.017561526561507e-07
46,"('enforcement', 'well', 'penal')",4.017561526561507e-07
47,"('well', 'penal', 'character')",4.017561526561507e-07
48,"('penal', 'character', 'with')",4.017561526561507e-07
49,"('character', 'with', 'greater')",4.017561526561507e-07
