,word,relevance_score
0,"('informed', 'consent', 'materials')",2.0068803374368856e-05
1,"('north', 'dakota', 'third')",2.0068803374368856e-05
2,"('dakota', 'third', 'with')",2.0068803374368856e-05
3,"('only', 'abortion', 'service')",1.0091991852076249e-05
4,"('abortion', 'service', 'provider')",1.0091991852076249e-05
5,"('abortion', 'clinic', 'state')",1.0091991852076249e-05
6,"('planned', 'parenthood', 'clinic')",1.0091991852076249e-05
7,"('abortion', 'services', 'state')",1.0091991852076249e-05
8,"('lowest', 'number', 'legal')",1.0091991852076249e-05
9,"('number', 'legal', 'induced')",1.0091991852076249e-05
10,"('legal', 'induced', 'abortions')",1.0091991852076249e-05
11,"('while', 'south', 'dakota')",1.0091991852076249e-05
12,"('south', 'dakota', 'second')",1.0091991852076249e-05
13,"('dakota', 'second', 'with')",1.0091991852076249e-05
14,"('second', 'with', 'north')",1.0091991852076249e-05
15,"('induced', 'abortions', 'with')",1.0091991852076249e-05
16,"('women', 'aged', 'abortions')",1.0091991852076249e-05
17,"('women', 'have', 'abortions')",1.0091991852076249e-05
18,"('materials', 'south', 'dakota')",1.0091991852076249e-05
19,"('with', 'while', 'south')",1.0091991852076249e-05
20,"('south', 'dakota', 'texas')",1.0091991852076249e-05
21,"('consent', 'materials', 'south')",1.0091991852076249e-05
22,"('``', 'unborn', 'child')",1.0091991852076249e-05
23,"('``', 'prochoice', ""''"")",1.0091991852076249e-05
24,"('center', 'reproductive', 'rights')",1.0091991852076249e-05
25,"('reproductive', 'rights', 'ibis')",1.0091991852076249e-05
26,"('rights', 'ibis', 'reproductive')",1.0091991852076249e-05
27,"('ibis', 'reproductive', 'health')",1.0091991852076249e-05
28,"('alternative', 'viewpoint', '``')",1.0091991852076249e-05
29,"('initiative', 'instead', 'using')",1.0091991852076249e-05
30,"('dakota', 'legislature', 'passed')",1.0091991852076249e-05
31,"('using', 'ballot', 'initiative')",1.0091991852076249e-05
32,"('ballot', 'initiative', 'instead')",1.0091991852076249e-05
33,"('instead', 'using', 'courts')",1.0091991852076249e-05
34,"('with', 'north', 'dakota')",1.907823637586653e-07
35,"('dakota', 'healthy', 'families')",9.209090482223382e-08
36,"('south', 'dakota', 'healthy')",9.209090482223382e-08
37,"('organization', 'south', 'dakota')",9.209090482223382e-08
38,"('drive', 'organization', 'south')",9.209090482223382e-08
39,"('ballot', 'november', 'statewide')",9.209090482223382e-08
40,"('successful', 'petition', 'drive')",9.209090482223382e-08
41,"('november', 'statewide', 'election')",9.209090482223382e-08
42,"('election', 'successful', 'petition')",9.209090482223382e-08
43,"('healthy', 'families', 'over')",9.209090482223382e-08
44,"('statewide', 'election', 'successful')",9.209090482223382e-08
45,"('petition', 'drive', 'organization')",9.209090482223382e-08
46,"('families', 'over', 'petition')",9.209090482223382e-08
47,"('twice', 'required', 'place')",9.209090482223382e-08
48,"('petition', 'signatures', 'were')",9.209090482223382e-08
49,"('signatures', 'were', 'filed')",9.209090482223382e-08
