,word,relevance_score
0,"('number', 'abortion', 'clinics')",1.0490364808956863e-05
1,"('delayed', 'excessive', 'hemorrhage')",1.0490364808956863e-05
2,"('with', 'delayed', 'excessive')",1.0490364808956863e-05
3,"('women', 'aged', 'abortions')",1.0490364808956863e-05
4,"('southern', 'white', 'evangelical')",1.0490364808956863e-05
5,"('abortion', 'clinics', 'state')",1.0490364808956863e-05
6,"('pass', 'fetal', 'heartbeat')",1.0490364808956863e-05
7,"('failed', 'pass', 'fetal')",1.0490364808956863e-05
8,"('tried', 'failed', 'pass')",1.0490364808956863e-05
9,"('fetal', 'heartbeat', 'bill')",1.0490364808956863e-05
10,"('states', 'that', 'tried')",1.0490364808956863e-05
11,"('that', 'tried', 'failed')",1.0490364808956863e-05
12,"('alternative', 'viewpoint', '``')",1.0490364808956863e-05
13,"('center', 'reproductive', 'rights')",1.0490364808956863e-05
14,"('``', 'prochoice', ""''"")",1.0490364808956863e-05
15,"('rights', 'ibis', 'reproductive')",1.0490364808956863e-05
16,"('ibis', 'reproductive', 'health')",1.0490364808956863e-05
17,"('reproductive', 'rights', 'ibis')",1.0490364808956863e-05
18,"('were', 'seven', 'abortion')",4.904599043266448e-07
19,"('injunction', 'according', 'aclu')",4.904599043266448e-07
20,"('between', 'number', 'abortion')",4.904599043266448e-07
21,"('clinics', 'state', 'declined')",4.904599043266448e-07
22,"('state', 'declined', 'going')",4.904599043266448e-07
23,"('declined', 'going', 'from')",4.904599043266448e-07
24,"('going', 'from', 'there')",4.904599043266448e-07
25,"('there', 'were', 'seven')",4.904599043266448e-07
26,"('seven', 'abortion', 'clinics')",4.904599043266448e-07
27,"('year', 'women', 'state')",4.904599043266448e-07
28,"('state', 'counties', 'state')",4.904599043266448e-07
29,"('counties', 'state', 'have')",4.904599043266448e-07
30,"('state', 'have', 'abortion')",4.904599043266448e-07
31,"('have', 'abortion', 'clinic')",4.904599043266448e-07
32,"('abortion', 'clinic', 'that')",4.904599043266448e-07
33,"('clinic', 'that', 'year')",4.904599043266448e-07
34,"('that', 'year', 'women')",4.904599043266448e-07
35,"('preliminary', 'injunction', 'according')",4.904599043266448e-07
36,"('women', 'state', 'aged')",4.904599043266448e-07
37,"('clinics', 'state', 'counties')",4.904599043266448e-07
38,"('currently', 'preliminary', 'injunction')",4.904599043266448e-07
39,"('state', 'tennessee', 'bill')",4.904599043266448e-07
40,"('state', 'tennessee', 'currently')",4.904599043266448e-07
41,"('regulate', 'abortion', 'first')",4.904599043266448e-07
42,"('abortion', 'first', 'trimester')",4.904599043266448e-07
43,"('tennessee', 'heartbeat', 'bill')",4.904599043266448e-07
44,"('heartbeat', 'bill', 'texasstyle')",4.904599043266448e-07
45,"('bill', 'texasstyle', 'abortion')",4.904599043266448e-07
46,"('texasstyle', 'abortion', 'have')",4.904599043266448e-07
47,"('abortion', 'have', 'been')",4.904599043266448e-07
48,"('been', 'court', 'prochoice')",4.904599043266448e-07
49,"('court', 'prochoice', 'organizations')",4.904599043266448e-07
