,word,relevance_score
0,"('abortion', 'clinics', 'state')",1.1513156123083084
1,"('number', 'abortion', 'clinics')",1.1513156123083084
2,"('texas', 'third', 'with')",2.009832623249618e-05
3,"('florida', 'second', 'with')",2.009832623249618e-05
4,"('illegal', 'abortion', 'deaths')",2.009832623249618e-05
5,"('planned', 'parenthood', 'clinics')",2.009832623249618e-05
6,"('introduced', 'bill', 'that')",2.009832623249618e-05
7,"('informed', 'consent', 'materials')",2.009832623249618e-05
8,"('laws', 'related', 'abortion')",2.009832623249618e-05
9,"('several', 'laws', 'related')",2.009832623249618e-05
10,"('enacted', 'several', 'laws')",2.009832623249618e-05
11,"('abortion', 'clinics', 'texas')",2.009832623249618e-05
12,"('women', 'seeking', 'abortion')",2.009832623249618e-05
13,"('legislature', 'enacted', 'several')",2.009832623249618e-05
14,"('unborn', 'child', ""''"")",2.009832623249618e-05
15,"('``', 'unborn', 'child')",2.009832623249618e-05
16,"('into', 'governor', 'bush')",2.009832623249618e-05
17,"('dealt', 'with', 'funding')",2.009832623249618e-05
18,"('signed', 'into', 'governor')",2.009832623249618e-05
19,"('either', 'directly', 'indirectly')",1.0195498063151672e-05
20,"('governor', 'greg', 'abbott')",1.0195498063151672e-05
21,"('``', 'aids', 'abets')",1.0098425266359176e-05
22,"('banned', 'abortion', 'almost')",1.0098425266359176e-05
23,"('provided', 'abortion', 'services')",1.0098425266359176e-05
24,"('into', 'effect', 'september')",1.0098425266359176e-05
25,"('texas', 'governor', 'greg')",1.0098425266359176e-05
26,"('almost', 'cases', 'pass')",1.0098425266359176e-05
27,"('abortion', 'almost', 'cases')",1.0098425266359176e-05
28,"('have', 'banned', 'abortion')",1.0098425266359176e-05
29,"('placed', 'undue', 'burden')",1.0098425266359176e-05
30,"('legislature', 'introduced', 'bill')",1.0098425266359176e-05
31,"('where', 'legislature', 'introduced')",1.0098425266359176e-05
32,"('state', 'where', 'legislature')",1.0098425266359176e-05
33,"('texas', 'senate', 'bill')",1.0098425266359176e-05
34,"('fetal', 'heartbeat', 'bill')",1.0098425266359176e-05
35,"('regulation', 'abortion', 'providers')",1.0098425266359176e-05
36,"('abortion', 'providers', 'trap')",1.0098425266359176e-05
37,"('whole', 'woman', 'health')",1.0098425266359176e-05
38,"('would', 'have', 'banned')",1.0098425266359176e-05
39,"('through', 'private', 'civil')",1.0098425266359176e-05
40,"('legal', 'induced', 'abortions')",1.0098425266359176e-05
41,"('pregnancy', 'result', 'rape')",1.0098425266359176e-05
42,"('performing', 'abortions', 'lubbock')",1.0098425266359176e-05
43,"('enacted', 'local', 'abortion')",1.0098425266359176e-05
44,"('women', 'aged', 'abortions')",1.0098425266359176e-05
45,"('week', 'abortions', 'occurred')",1.0098425266359176e-05
46,"('abortions', 'were', 'performed')",1.0098425266359176e-05
47,"('induced', 'abortions', 'with')",1.0098425266359176e-05
48,"('with', 'texas', 'third')",1.0098425266359176e-05
49,"('second', 'with', 'texas')",1.0098425266359176e-05
