,word,relevance_score
0,"('said', 'abortion', 'should')",1.046592072575135e-05
1,"('deaths', 'live', 'births')",1.046592072575135e-05
2,"('women', 'aged', 'abortions')",1.046592072575135e-05
3,"('abortion', 'clinics', 'state')",1.046592072575135e-05
4,"('ibis', 'reproductive', 'health')",1.046592072575135e-05
5,"('rights', 'ibis', 'reproductive')",1.046592072575135e-05
6,"('reproductive', 'rights', 'ibis')",1.046592072575135e-05
7,"('center', 'reproductive', 'rights')",1.046592072575135e-05
8,"('alternative', 'viewpoint', '``')",1.046592072575135e-05
9,"('``', 'prochoice', ""''"")",1.046592072575135e-05
10,"('``', 'elective', 'abortion')",1.046592072575135e-05
11,"('mothers', '’', 'health')",1.046592072575135e-05
12,"('threats', 'mothers', '’')",1.046592072575135e-05
13,"('period', 'between', 'there')",1.046592072575135e-05
14,"('rape', 'incest', 'threats')",1.046592072575135e-05
15,"('cases', 'rape', 'incest')",1.046592072575135e-05
16,"('newshinckley', 'institute', 'politics')",1.046592072575135e-05
17,"('deseret', 'newshinckley', 'institute')",1.046592072575135e-05
18,"('saying', 'should', 'legal')",1.046592072575135e-05
19,"('incest', 'threats', 'mothers')",1.046592072575135e-05
20,"('abortion', 'should', 'illegal')",1.046592072575135e-05
21,"('with', 'saying', 'should')",9.320532105479505e-07
22,"('cases', 'with', 'saying')",9.320532105479505e-07
23,"('most', 'cases', 'with')",9.320532105479505e-07
24,"('between', 'there', 'were')",9.320532105479505e-07
25,"('during', 'pregnancy', 'bill')",4.660160648430834e-07
26,"('diagnosis', 'during', 'pregnancy')",4.660160648430834e-07
27,"('syndrome', 'diagnosis', 'during')",4.660160648430834e-07
28,"('down', 'syndrome', 'diagnosis')",4.660160648430834e-07
29,"('abortions', 'result', 'getting')",4.660160648430834e-07
30,"('result', 'getting', 'down')",4.660160648430834e-07
31,"('pregnancy', 'bill', 'cosponsored')",4.660160648430834e-07
32,"('perform', 'abortions', 'result')",4.660160648430834e-07
33,"('doctors', 'perform', 'abortions')",4.660160648430834e-07
34,"('getting', 'down', 'syndrome')",4.660160648430834e-07
35,"('bill', 'cosponsored', 'republican')",4.660160648430834e-07
36,"('bramble', 'only', 'state')",4.660160648430834e-07
37,"('republican', 'state', 'curt')",4.660160648430834e-07
38,"('state', 'curt', 'bramble')",4.660160648430834e-07
39,"('curt', 'bramble', 'only')",4.660160648430834e-07
40,"('only', 'state', 'legislators')",4.660160648430834e-07
41,"('state', 'legislators', 'were')",4.660160648430834e-07
42,"('legislators', 'were', 'femalein')",4.660160648430834e-07
43,"('utah', 'legislature', 'passed')",4.660160648430834e-07
44,"('their', 'doctors', 'perform')",4.660160648430834e-07
45,"('femalein', 'utah', 'legislature')",4.660160648430834e-07
46,"('were', 'femalein', 'utah')",4.660160648430834e-07
47,"('cosponsored', 'republican', 'state')",4.660160648430834e-07
48,"('requesting', 'their', 'doctors')",4.660160648430834e-07
49,"('offices', 'addition', 'abortion')",4.660160648430834e-07
