,word,relevance_score
0,"('adults', 'said', 'poll')",1.0036524231691472e-05
1,"('guttmacher', 'institute', 'states')",1.0036524231691472e-05
2,"('have', 'legislation', 'seeking')",1.0036524231691472e-05
3,"('legislation', 'seeking', 'protect')",1.0036524231691472e-05
4,"('seeking', 'protect', 'woman')",1.0036524231691472e-05
5,"('protect', 'woman', 'right')",1.0036524231691472e-05
6,"('woman', 'right', 'access')",1.0036524231691472e-05
7,"('right', 'access', 'abortion')",1.0036524231691472e-05
8,"('access', 'abortion', 'services')",1.0036524231691472e-05
9,"('abortion', 'services', 'have')",1.0036524231691472e-05
10,"('services', 'have', 'lowest')",1.0036524231691472e-05
11,"('have', 'lowest', 'rates')",1.0036524231691472e-05
12,"('lowest', 'rates', 'infant')",1.0036524231691472e-05
13,"('rates', 'infant', 'mortality')",1.0036524231691472e-05
14,"('infant', 'mortality', 'united')",1.0036524231691472e-05
15,"('women', 'aged', 'abortions')",1.0036524231691472e-05
16,"('manager', 'guttmacher', 'institute')",1.0036524231691472e-05
17,"('policy', 'manager', 'guttmacher')",1.0036524231691472e-05
18,"('abortion', 'clinics', 'state')",1.0036524231691472e-05
19,"('donovan', 'senior', 'policy')",1.0036524231691472e-05
20,"('megan', 'donovan', 'senior')",1.0036524231691472e-05
21,"('according', 'megan', 'donovan')",1.0036524231691472e-05
22,"('ibis', 'reproductive', 'health')",1.0036524231691472e-05
23,"('rights', 'ibis', 'reproductive')",1.0036524231691472e-05
24,"('reproductive', 'rights', 'ibis')",1.0036524231691472e-05
25,"('center', 'reproductive', 'rights')",1.0036524231691472e-05
26,"('alternative', 'viewpoint', '``')",1.0036524231691472e-05
27,"('said', 'poll', 'research')",1.0036524231691472e-05
28,"('``', 'prochoice', ""''"")",1.0036524231691472e-05
29,"('senior', 'policy', 'manager')",1.0036524231691472e-05
30,"('that', 'abortion', 'should')",1.0036524231691472e-05
31,"('center', 'that', 'abortion')",1.0036524231691472e-05
32,"('poll', 'research', 'center')",1.0036524231691472e-05
33,"('abortion', 'should', 'legal')",7.324681459012925e-08
34,"('research', 'center', 'that')",7.324681459012925e-08
35,"('could', 'longer', 'regulate')",3.662394782631145e-08
36,"('state', 'could', 'longer')",3.662394782631145e-08
37,"('longer', 'regulate', 'abortion')",3.662394782631145e-08
38,"('regulate', 'abortion', 'first')",3.662394782631145e-08
39,"('abortion', 'first', 'trimester')",3.662394782631145e-08
40,"('between', 'number', 'abortion')",3.662394782631145e-08
41,"('from', 'nineteen', 'sixteen')",3.662394782631145e-08
42,"('clinics', 'state', 'declined')",3.662394782631145e-08
43,"('state', 'declined', 'three')",3.662394782631145e-08
44,"('declined', 'three', 'going')",3.662394782631145e-08
45,"('three', 'going', 'from')",3.662394782631145e-08
46,"('going', 'from', 'nineteen')",3.662394782631145e-08
47,"('meant', 'state', 'could')",3.662394782631145e-08
48,"('nineteen', 'sixteen', 'there')",3.662394782631145e-08
49,"('number', 'abortion', 'clinics')",3.662394782631145e-08
