,word,relevance_score
0,"('adults', 'said', 'poll')",1.0104708333505533e-05
1,"('bans', 'abortion', 'clinics')",1.0104708333505533e-05
2,"('abortion', 'clinics', 'advertising')",1.0104708333505533e-05
3,"('clinics', 'advertising', 'their')",1.0104708333505533e-05
4,"('advertising', 'their', 'services')",1.0104708333505533e-05
5,"('their', 'services', 'were')",1.0104708333505533e-05
6,"('services', 'were', 'unconstitutional')",1.0104708333505533e-05
7,"('abortionspecific', 'informed', 'consent')",1.0104708333505533e-05
8,"('state', 'bans', 'abortion')",1.0104708333505533e-05
9,"('informed', 'consent', 'requirement')",1.0104708333505533e-05
10,"('``', 'prochoice', ""''"")",1.0104708333505533e-05
11,"('alternative', 'viewpoint', '``')",1.0104708333505533e-05
12,"('center', 'reproductive', 'rights')",1.0104708333505533e-05
13,"('reproductive', 'rights', 'ibis')",1.0104708333505533e-05
14,"('rights', 'ibis', 'reproductive')",1.0104708333505533e-05
15,"('ibis', 'reproductive', 'health')",1.0104708333505533e-05
16,"('women', 'aged', 'abortions')",1.0104708333505533e-05
17,"('number', 'abortion', 'clinics')",1.0104708333505533e-05
18,"('that', 'state', 'bans')",1.0104708333505533e-05
19,"('abortion', 'clinics', 'state')",1.0104708333505533e-05
20,"('examine', 'approve', 'abortion')",1.0104708333505533e-05
21,"('center', 'that', 'abortion')",1.0104708333505533e-05
22,"('that', 'abortion', 'should')",1.0104708333505533e-05
23,"('said', 'poll', 'research')",1.0104708333505533e-05
24,"('review', 'board', 'examine')",1.0104708333505533e-05
25,"('board', 'examine', 'approve')",1.0104708333505533e-05
26,"('approve', 'abortion', 'requests')",1.0104708333505533e-05
27,"('poll', 'research', 'center')",1.0104708333505533e-05
28,"('requests', 'that', 'were')",1.0104708333505533e-05
29,"('that', 'were', 'approved')",1.0104708333505533e-05
30,"('were', 'approved', 'psychiatric')",1.0104708333505533e-05
31,"('approved', 'psychiatric', 'reasons')",1.0104708333505533e-05
32,"('number', 'abortions', 'performed')",1.0104708333505533e-05
33,"('abortion', 'requests', 'that')",1.0104708333505533e-05
34,"('abortion', 'should', 'legal')",2.0277226734921106e-07
35,"('ruled', 'that', 'state')",2.0277226734921106e-07
36,"('research', 'center', 'that')",2.0277226734921106e-07
37,"('abortions', 'which', 'must')",1.0475075164827964e-07
38,"('must', 'certified', 'physician')",1.0475075164827964e-07
39,"('which', 'must', 'certified')",1.0475075164827964e-07
40,"('begins', 'week', 'pregnancy')",1.0475075164827964e-07
41,"('pregnancy', 'thirdtrimester', 'abortions')",1.0475075164827964e-07
42,"('week', 'pregnancy', 'thirdtrimester')",1.0475075164827964e-07
43,"('certified', 'physician', 'only')",1.0475075164827964e-07
44,"('thirdtrimester', 'abortions', 'which')",1.0475075164827964e-07
45,"('physician', 'only', 'allowed')",1.0475075164827964e-07
46,"('bills', 'rolling', 'back')",1.0475075164827964e-07
47,"('allowed', 'continued', 'pregnancy')",1.0475075164827964e-07
48,"('continued', 'pregnancy', 'found')",1.0475075164827964e-07
49,"('pregnancy', 'found', 'pose')",1.0475075164827964e-07
