,word,relevance_score
0,"('adults', 'said', 'poll')",1.0405411655622582e-05
1,"('were', 'planned', 'parenthood')",1.0405411655622582e-05
2,"('there', 'were', 'planned')",1.0405411655622582e-05
3,"('abortion', 'clinics', 'state')",1.0405411655622582e-05
4,"('made', 'abortion', 'legal')",1.0405411655622582e-05
5,"('ibis', 'reproductive', 'health')",1.0405411655622582e-05
6,"('rights', 'ibis', 'reproductive')",1.0405411655622582e-05
7,"('reproductive', 'rights', 'ibis')",1.0405411655622582e-05
8,"('center', 'reproductive', 'rights')",1.0405411655622582e-05
9,"('alternative', 'viewpoint', '``')",1.0405411655622582e-05
10,"('planned', 'parenthood', 'clinics')",1.0405411655622582e-05
11,"('``', 'prochoice', ""''"")",1.0405411655622582e-05
12,"('poll', 'research', 'center')",1.0405411655622582e-05
13,"('center', 'that', 'abortion')",1.0405411655622582e-05
14,"('that', 'abortion', 'should')",1.0405411655622582e-05
15,"('said', 'poll', 'research')",1.0405411655622582e-05
16,"('research', 'center', 'that')",8.176207057874016e-07
17,"('abortion', 'should', 'legal')",8.176207057874016e-07
18,"('abortion', 'through', 'vote')",4.0550765271295477e-07
19,"('legalize', 'abortion', 'through')",4.0550765271295477e-07
20,"('legal', 'referendum', 'first')",4.0550765271295477e-07
21,"('through', 'vote', 'people')",4.0550765271295477e-07
22,"('vote', 'people', 'when')",4.0550765271295477e-07
23,"('people', 'when', 'washington')",4.0550765271295477e-07
24,"('when', 'washington', 'made')",4.0550765271295477e-07
25,"('washington', 'made', 'abortion')",4.0550765271295477e-07
26,"('abortion', 'legal', 'referendum')",4.0550765271295477e-07
27,"('referendum', 'first', 'state')",4.0550765271295477e-07
28,"('measure', 'passed', 'that')",4.0550765271295477e-07
29,"('country', 'ballot', 'measure')",4.0550765271295477e-07
30,"('ballot', 'measure', 'passed')",4.0550765271295477e-07
31,"('point', 'where', 'fetus')",4.0550765271295477e-07
32,"('passed', 'that', 'made')",4.0550765271295477e-07
33,"('that', 'made', 'abortion')",4.0550765271295477e-07
34,"('abortion', 'legal', 'point')",4.0550765271295477e-07
35,"('legal', 'point', 'where')",4.0550765271295477e-07
36,"('state', 'legalize', 'abortion')",4.0550765271295477e-07
37,"('decision', 'wade', 'ruling')",4.0550765271295477e-07
38,"('where', 'fetus', 'viable')",4.0550765271295477e-07
39,"('state', 'country', 'ballot')",4.0550765271295477e-07
40,"('first', 'state', 'legalize')",4.0550765271295477e-07
41,"('november', 'washington', 'held')",4.0550765271295477e-07
42,"('abortions', 'becoming', 'first')",4.0550765271295477e-07
43,"('after', 'fetus', 'viable')",4.0550765271295477e-07
44,"('fetus', 'viable', 'generally')",4.0550765271295477e-07
45,"('viable', 'generally', 'some')",4.0550765271295477e-07
46,"('generally', 'some', 'point')",4.0550765271295477e-07
47,"('point', 'between', 'week')",4.0550765271295477e-07
48,"('between', 'week', 'this')",4.0550765271295477e-07
49,"('week', 'this', 'period')",4.0550765271295477e-07
