,word,relevance_score
0,"('``', 'prochoice', ""''"")",1.028759423966715e-05
1,"('women', 'aged', 'abortions')",1.028759423966715e-05
2,"('planned', 'parenthood', 'clinic')",1.028759423966715e-05
3,"('abortion', 'clinics', 'state')",1.028759423966715e-05
4,"('health', 'center', 'west')",1.028759423966715e-05
5,"('women', 'health', 'center')",1.028759423966715e-05
6,"('west', 'virginia', 'legislature')",1.028759423966715e-05
7,"('center', 'west', 'virginia')",1.028759423966715e-05
8,"('ibis', 'reproductive', 'health')",1.028759423966715e-05
9,"('rights', 'ibis', 'reproductive')",1.028759423966715e-05
10,"('reproductive', 'rights', 'ibis')",1.028759423966715e-05
11,"('center', 'reproductive', 'rights')",1.028759423966715e-05
12,"('alternative', 'viewpoint', '``')",1.028759423966715e-05
13,"('abortion', 'miscarriage', 'shall')",1.028759423966715e-05
14,"('cancerin', 'march', 'west')",2.876912808499738e-07
15,"('scientifically', 'unsupported', 'warnings')",2.876912808499738e-07
16,"('unsupported', 'warnings', 'about')",2.876912808499738e-07
17,"('warnings', 'about', 'link')",2.876912808499738e-07
18,"('about', 'link', 'between')",2.876912808499738e-07
19,"('link', 'between', 'abortion')",2.876912808499738e-07
20,"('between', 'abortion', 'breast')",2.876912808499738e-07
21,"('abortion', 'breast', 'cancerin')",2.876912808499738e-07
22,"('breast', 'cancerin', 'march')",2.876912808499738e-07
23,"('march', 'west', 'virginia')",2.876912808499738e-07
24,"('earl', 'tomblin', 'pass')",2.876912808499738e-07
25,"('legislature', 'overrode', 'veto')",2.876912808499738e-07
26,"('overrode', 'veto', 'from')",2.876912808499738e-07
27,"('veto', 'from', 'governor')",2.876912808499738e-07
28,"('from', 'governor', 'earl')",2.876912808499738e-07
29,"('governor', 'earl', 'tomblin')",2.876912808499738e-07
30,"('containing', 'scientifically', 'unsupported')",2.876912808499738e-07
31,"('tomblin', 'pass', '``')",2.876912808499738e-07
32,"('pass', '``', 'the')",2.876912808499738e-07
33,"('``', 'the', 'paincapable')",2.876912808499738e-07
34,"('virginia', 'legislature', 'overrode')",2.876912808499738e-07
35,"('addition', 'containing', 'scientifically')",2.876912808499738e-07
36,"('psychological', 'risks', '``')",2.876912808499738e-07
37,"('disorder', ""''"", 'addition')",2.876912808499738e-07
38,"('procedure', 'including', 'guilt')",2.876912808499738e-07
39,"('including', 'guilt', 'depression')",2.876912808499738e-07
40,"('guilt', 'depression', 'suicidal')",2.876912808499738e-07
41,"('depression', 'suicidal', 'thoughts')",2.876912808499738e-07
42,"('suicidal', 'thoughts', 'acts')",2.876912808499738e-07
43,"('thoughts', 'acts', '``')",2.876912808499738e-07
44,"('acts', '``', 'chronic')",2.876912808499738e-07
45,"('``', 'chronic', 'relationship')",2.876912808499738e-07
46,"('chronic', 'relationship', 'problems')",2.876912808499738e-07
47,"('relationship', 'problems', ""''"")",2.876912808499738e-07
48,"('problems', ""''"", 'earlier')",2.876912808499738e-07
49,"(""''"", 'earlier', 'editions')",2.876912808499738e-07
