,word,relevance_score
0,"('center', 'reproductive', 'rights')",2.0772857506611972e-05
1,"('admitting', 'privileges', 'requirement')",2.0772857506611972e-05
2,"('women', 'from', 'state')",1.034394489925299e-05
3,"('there', 'were', 'planned')",1.034394489925299e-05
4,"('were', 'planned', 'parenthood')",1.034394489925299e-05
5,"('director', 'sara', 'finger')",1.034394489925299e-05
6,"('executive', 'director', 'sara')",1.034394489925299e-05
7,"('ibis', 'reproductive', 'health')",1.034394489925299e-05
8,"('rights', 'ibis', 'reproductive')",1.034394489925299e-05
9,"('reproductive', 'rights', 'ibis')",1.034394489925299e-05
10,"('alternative', 'viewpoint', '``')",1.034394489925299e-05
11,"('planned', 'parenthood', 'clinics')",1.034394489925299e-05
12,"('``', 'prochoice', ""''"")",1.034394489925299e-05
13,"('women', 'aged', 'abortions')",1.034394489925299e-05
14,"('affiliated', 'medical', 'services')",1.034394489925299e-05
15,"('wisconsin', 'alliance', 'reproductive')",1.034394489925299e-05
16,"('that', 'abortion', 'should')",1.034394489925299e-05
17,"('center', 'that', 'abortion')",1.034394489925299e-05
18,"('alliance', 'reproductive', 'health')",1.034394489925299e-05
19,"('poll', 'research', 'center')",1.034394489925299e-05
20,"('said', 'poll', 'research')",1.034394489925299e-05
21,"('adults', 'said', 'poll')",1.034394489925299e-05
22,"('wisconsin', 'attorney', 'general')",1.034394489925299e-05
23,"('from', 'state', 'participated')",1.034394489925299e-05
24,"('transfer', 'agreement', 'requirement')",1.034394489925299e-05
25,"('abortion', 'clinics', 'state')",1.034394489925299e-05
26,"('should', 'legal', 'most')",1.0485371752770442e-06
27,"('legal', 'most', 'cases')",1.0485371752770442e-06
28,"('bill', 'that', 'would')",4.836734060310693e-07
29,"('state', 'there', 'were')",4.836734060310693e-07
30,"('most', 'cases', 'with')",4.836734060310693e-07
31,"('abortion', 'should', 'legal')",4.836734060310693e-07
32,"('research', 'center', 'that')",4.836734060310693e-07
33,"('circuit', 'court', 'ruling')",4.836734060310693e-07
34,"('with', 'abortion', 'state')",3.440412172900339e-07
35,"('specifically', 'complications', 'arise')",3.440412172900339e-07
36,"('health', 'specifically', 'complications')",3.440412172900339e-07
37,"('women', 'health', 'specifically')",3.440412172900339e-07
38,"('centers', 'women', 'health')",3.440412172900339e-07
39,"('requirement', 'centers', 'women')",3.440412172900339e-07
40,"('privileges', 'requirement', 'centers')",3.440412172900339e-07
41,"('state', 'primary', 'argument')",3.440412172900339e-07
42,"('argument', 'defense', 'admitting')",3.440412172900339e-07
43,"('primary', 'argument', 'defense')",3.440412172900339e-07
44,"('complications', 'arise', 'this')",3.440412172900339e-07
45,"('case', 'state', 'primary')",3.440412172900339e-07
46,"('hearing', 'case', 'state')",3.440412172900339e-07
47,"('granted', 'hearing', 'case')",3.440412172900339e-07
48,"('court', 'granted', 'hearing')",3.440412172900339e-07
49,"('defense', 'admitting', 'privileges')",3.440412172900339e-07
