,word,relevance_score
0,"('planned', 'parenthood', 'clinic')",2.0455917036780883e-05
1,"('that', 'tried', 'pass')",1.0456012476990139e-05
2,"('would', 'perform', 'abortions')",1.0456012476990139e-05
3,"('ibis', 'reproductive', 'health')",1.0456012476990139e-05
4,"('rights', 'ibis', 'reproductive')",1.0456012476990139e-05
5,"('reproductive', 'rights', 'ibis')",1.0456012476990139e-05
6,"('center', 'reproductive', 'rights')",1.0456012476990139e-05
7,"('alternative', 'viewpoint', '``')",1.0456012476990139e-05
8,"('``', 'prochoice', ""''"")",1.0456012476990139e-05
9,"('offered', 'abortion', 'services')",1.0456012476990139e-05
10,"('from', 'eight', 'five')",1.0456012476990139e-05
11,"('going', 'from', 'eight')",1.0456012476990139e-05
12,"('abortion', 'clinics', 'state')",1.0456012476990139e-05
13,"('stop', 'bans', 'stopthebans')",1.0456012476990139e-05
14,"('that', 'abortion', 'should')",1.0456012476990139e-05
15,"('introduced', 'wyoming', 'house')",1.0456012476990139e-05
16,"('bill', 'introduced', 'wyoming')",1.0456012476990139e-05
17,"('heartbeat', 'bill', 'introduced')",1.0456012476990139e-05
18,"('fetal', 'heartbeat', 'bill')",1.0456012476990139e-05
19,"('number', 'abortion', 'clinics')",1.0456012476990139e-05
20,"('wyoming', 'secretary', 'state')",1.0456012476990139e-05
21,"('abortion', 'should', 'legal')",9.12114390145e-07
22,"('women', 'could', 'only')",9.12114390145e-07
23,"('regulate', 'abortion', 'first')",4.5610791623071307e-07
24,"('longer', 'regulate', 'abortion')",4.5610791623071307e-07
25,"('could', 'longer', 'regulate')",4.5610791623071307e-07
26,"('state', 'could', 'longer')",4.5610791623071307e-07
27,"('meant', 'state', 'could')",4.5610791623071307e-07
28,"('with', 'wade', 'ruling')",4.5610791623071307e-07
29,"('wade', 'ruling', 'meant')",4.5610791623071307e-07
30,"('defined', 'supreme', 'court')",4.5610791623071307e-07
31,"('court', 'with', 'wade')",4.5610791623071307e-07
32,"('decision', 'wade', 'ruling')",4.5610791623071307e-07
33,"('abortion', 'first', 'trimester')",4.5610791623071307e-07
34,"('ruling', 'meant', 'state')",4.5610791623071307e-07
35,"('between', 'total', 'number')",4.5610791623071307e-07
36,"('louis', 'found', 'that')",4.5610791623071307e-07
37,"('clinics', 'state', 'declined')",4.5610791623071307e-07
38,"('state', 'declined', 'three')",4.5610791623071307e-07
39,"('declined', 'three', 'going')",4.5610791623071307e-07
40,"('three', 'going', 'from')",4.5610791623071307e-07
41,"('eight', 'five', 'family')",4.5610791623071307e-07
42,"('five', 'family', 'practice')",4.5610791623071307e-07
43,"('family', 'practice', 'emergacare')",4.5610791623071307e-07
44,"('standard', 'defined', 'supreme')",4.5610791623071307e-07
45,"('practice', 'emergacare', 'opened')",4.5610791623071307e-07
46,"('emergacare', 'opened', 'jackson')",4.5610791623071307e-07
47,"('opened', 'jackson', 'urgent')",4.5610791623071307e-07
48,"('jackson', 'urgent', 'care')",4.5610791623071307e-07
49,"('total', 'number', 'abortion')",4.5610791623071307e-07
