,word,relevance_score
0,"('start', 'embryonic', 'cardiaccell')",1.0202585619525497e-05
1,"('effect', 'january', 'case')",1.0202585619525497e-05
2,"('january', 'case', 'heard')",1.0202585619525497e-05
3,"('case', 'heard', 'united')",1.0202585619525497e-05
4,"('district', 'georgia', 'under')",1.0202585619525497e-05
5,"('georgia', 'under', 'judge')",1.0202585619525497e-05
6,"('under', 'judge', 'steve')",1.0202585619525497e-05
7,"('judge', 'steve', 'jones')",1.0202585619525497e-05
8,"('steve', 'jones', 'jones')",1.0202585619525497e-05
9,"('jones', 'jones', 'ruled')",1.0202585619525497e-05
10,"('jones', 'ruled', 'favor')",1.0202585619525497e-05
11,"('favor', 'injunction', 'block')",1.0202585619525497e-05
12,"('injunction', 'block', 'enforcement')",1.0202585619525497e-05
13,"('block', 'enforcement', 'decision')",1.0202585619525497e-05
14,"('enforcement', 'decision', 'october')",1.0202585619525497e-05
15,"('decision', 'october', 'stating')",1.0202585619525497e-05
16,"('october', 'stating', 'banning')",1.0202585619525497e-05
17,"('stating', 'banning', 'previability')",1.0202585619525497e-05
18,"('banning', 'previability', 'abortions')",1.0202585619525497e-05
19,"('previability', 'abortions', 'violates')",1.0202585619525497e-05
20,"('abortions', 'violates', 'constitutional')",1.0202585619525497e-05
21,"('violates', 'constitutional', 'right')",1.0202585619525497e-05
22,"('constitutional', 'right', 'privacy')",1.0202585619525497e-05
23,"('right', 'privacy', 'which')",1.0202585619525497e-05
24,"('privacy', 'which', 'turn')",1.0202585619525497e-05
25,"('which', 'turn', 'inflicts')",1.0202585619525497e-05
26,"('turn', 'inflicts', 'irreparable')",1.0202585619525497e-05
27,"('inflicts', 'irreparable', 'harm')",1.0202585619525497e-05
28,"('irreparable', 'harm', 'plaintiffs')",1.0202585619525497e-05
29,"('harm', 'plaintiffs', ""''"")",1.0202585619525497e-05
30,"('into', 'effect', 'january')",1.0202585619525497e-05
31,"('before', 'would', 'into')",1.0202585619525497e-05
32,"('ruled', 'favor', 'injunction')",1.0202585619525497e-05
33,"('``', 'prochoice', ""''"")",1.0202585619525497e-05
34,"('embryonic', 'fetal', 'cardiac')",1.0202585619525497e-05
35,"('fetal', 'cardiac', 'electrical')",1.0202585619525497e-05
36,"('cardiac', 'electrical', 'activity')",1.0202585619525497e-05
37,"('wade', 'dobbs', 'jackson')",1.0202585619525497e-05
38,"('overturned', 'wade', 'dobbs')",1.0202585619525497e-05
39,"('court', 'overturned', 'wade')",1.0202585619525497e-05
40,"('injunction', 'against', 'enforcement')",1.0202585619525497e-05
41,"('alternative', 'viewpoint', '``')",1.0202585619525497e-05
42,"('required', 'that', 'women')",1.0202585619525497e-05
43,"('informed', 'consent', 'materials')",1.0202585619525497e-05
44,"('embryonic', 'cardiaccell', 'activity')",1.0202585619525497e-05
45,"('health', 'organization', 'later')",1.0202585619525497e-05
46,"('liberties', 'union', 'planned')",1.0202585619525497e-05
47,"('planned', 'parenthood', 'center')",1.0202585619525497e-05
48,"('parenthood', 'center', 'reproductive')",1.0202585619525497e-05
49,"('center', 'reproductive', 'rights')",1.0202585619525497e-05
