,word,relevance_score
0,"('american', 'physicians', 'surgeons')",1.5129261567478354
1,"('executive', 'director', 'jane')",2.0442848452968122e-05
2,"('director', 'jane', 'orient')",2.0442848452968122e-05
3,"('link', 'between', 'abortion')",2.0442848452968122e-05
4,"('journal', 'american', 'physicians')",2.0442848452968122e-05
5,"('america', 'frontline', 'doctors')",2.0442848452968122e-05
6,"('electronic', 'medical', 'records')",1.0442944023473424e-05
7,"('scientifically', 'discredited', 'claims')",1.0442944023473424e-05
8,"('article', 'claiming', 'that')",1.0442944023473424e-05
9,"('american', 'college', 'pediatricians')",1.0442944023473424e-05
10,"('physicians', 'patient', 'protection')",1.0442944023473424e-05
11,"('christian', 'conservative', 'activist')",1.0442944023473424e-05
12,"('clinton', 'health', 'care')",1.0442944023473424e-05
13,"('aaps', 'filed', 'lawsuit')",1.0442944023473424e-05
14,"('published', 'journal', 'have')",1.0442944023473424e-05
15,"('described', 'journal', '``')",1.0442944023473424e-05
16,"('abortion', 'breast', 'cancer')",1.0442944023473424e-05
17,"('paul', 'rand', 'paul')",1.0442944023473424e-05
18,"('president', 'marilyn', 'singleton')",1.0442944023473424e-05
19,"('between', 'abortion', 'breast')",1.0442944023473424e-05
20,"('there', 'link', 'between')",8.860180209014832e-07
21,"('association', 'american', 'physicians')",8.860180209014832e-07
22,"('``', 'anchor', 'babies')",8.860180209014832e-07
23,"('anchor', 'babies', ""''"")",8.860180209014832e-07
24,"('east', 'german', 'stasi')",4.430395930289484e-07
25,"('methods', 'east', 'german')",4.430395930289484e-07
26,"('surveillance', 'methods', 'east')",4.430395930289484e-07
27,"('data', 'surveillance', 'methods')",4.430395930289484e-07
28,"('cosman', 'argued', 'that')",4.430395930289484e-07
29,"('argued', 'that', 'illegal')",4.430395930289484e-07
30,"('that', 'illegal', 'immigrants')",4.430395930289484e-07
31,"('immigrants', 'were', 'carriers')",4.430395930289484e-07
32,"('article', 'madeleine', 'cosman')",4.430395930289484e-07
33,"('madeleine', 'cosman', 'argued')",4.430395930289484e-07
34,"('medical', 'records', 'data')",4.430395930289484e-07
35,"('were', 'carriers', 'disease')",4.430395930289484e-07
36,"('compared', 'electronic', 'medical')",4.430395930289484e-07
37,"('aaps', 'compared', 'electronic')",4.430395930289484e-07
38,"(""''"", 'aaps', 'compared')",4.430395930289484e-07
39,"('rights', ""''"", 'aaps')",4.430395930289484e-07
40,"('constitutional', 'rights', ""''"")",4.430395930289484e-07
41,"('violate', 'constitutional', 'rights')",4.430395930289484e-07
42,"('``', 'violate', 'constitutional')",4.430395930289484e-07
43,"('would', '``', 'violate')",4.430395930289484e-07
44,"(""''"", 'would', '``')",4.430395930289484e-07
45,"('records', 'data', 'surveillance')",4.430395930289484e-07
46,"('carriers', 'disease', 'that')",4.430395930289484e-07
47,"(""''"", 'article', 'cosman')",4.430395930289484e-07
48,"('immigrants', '``', 'anchor')",4.430395930289484e-07
49,"('cases', 'leprosy', ""''"")",4.430395930289484e-07
