,word,relevance_score
0,"('weeks', ""'"", 'gestation')",2.170012626654583
1,"('``', 'prochoice', ""''"")",2.0416352783493736
2,"('cases', 'rape', 'incest')",1.7149521669791614
3,"('whole', 'woman', 'health')",1.7149521669791614
4,"('abortion', 'should', 'generally')",1.7149521669791614
5,"('believed', 'that', 'abortion')",1.490842974737791
6,"('should', 'generally', 'available')",1.490842974737791
7,"('sanctuary', 'city', 'unborn')",1.490842974737791
8,"('during', 'first', 'trimester')",1.490842974737791
9,"('that', 'abortion', 'should')",1.490842974737791
10,"('abortions', 'were', 'performed')",1.490842974737791
11,"('were', 'performed', 'weeks')",1.1716485663759206
12,"('all', 'cases', ""''"")",1.1716485663759206
13,"('``', 'sanctuary', 'city')",1.1716485663759206
14,"('``', 'most', 'cases')",1.1716485663759206
15,"('most', 'cases', ""''"")",1.1716485663759206
16,"('``', 'prolife', ""''"")",0.8464666634789139
17,"('intact', 'dilation', 'extraction')",3.169038536211659e-05
18,"('abortion', 'should', 'legal')",2.049867857697416e-05
19,"('``', 'all', 'cases')",2.049867857697416e-05
20,"('access', 'birth', 'control')",2.049867857697416e-05
21,"('described', 'themselves', '``')",2.049867857697416e-05
22,"('themselves', '``', 'prolife')",2.0246079385232555e-05
23,"('only', 'under', 'certain')",2.0246079385232555e-05
24,"('prolife', ""''"", '``')",2.0246079385232555e-05
25,"('support', 'abortion', 'being')",2.0246079385232555e-05
26,"('women', 'thought', 'that')",2.0246079385232555e-05
27,"('legal', 'only', 'under')",2.0246079385232555e-05
28,"('should', 'legal', '``')",2.0246079385232555e-05
29,"('that', '``', 'abortion')",2.0246079385232555e-05
30,"('``', 'abortion', 'should')",2.0246079385232555e-05
31,"('generally', 'available', 'those')",2.0246079385232555e-05
32,"('available', 'those', 'want')",2.0246079385232555e-05
33,"('women', 'were', 'unintended')",2.0246079385232555e-05
34,"('cases', ""''"", 'that')",2.0246079385232555e-05
35,"(""''"", 'that', 'should')",2.0246079385232555e-05
36,"('three', 'months', 'pregnancy')",2.0246079385232555e-05
37,"('abortion', 'most', 'circumstances')",2.0246079385232555e-05
38,"('believed', 'that', 'should')",2.0246079385232555e-05
39,"('thought', 'that', '``')",2.0246079385232555e-05
40,"('supportive', 'abortion', 'rights')",2.0246079385232555e-05
41,"('performed', 'weeks', ""'"")",2.0246079385232555e-05
42,"('city', 'unborn', ""''"")",2.0246079385232555e-05
43,"('mexico', 'city', 'policy')",2.0246079385232555e-05
44,"('abortion', 'cases', 'rape')",2.0246079385232555e-05
45,"('abortion', 'united', 'states')",2.0246079385232555e-05
46,"('legal', 'most', 'cases')",1.0758856034444518e-05
47,"('under', 'certain', 'circumstances')",1.0758856034444518e-05
48,"('found', 'that', 'respondents')",1.0498873456319806e-05
49,"('guttmacher', 'institute', 'reported')",1.024617717041808e-05
