,word,relevance_score
0,"('approximately', 'people', 'gathered')",2.1764808332316266
1,"('people', 'gathered', 'outside')",1.7215780536308571
2,"('protests', 'were', 'held')",1.575550012562699
3,"('abortion', 'rights', 'protesters')",1.4977419179803302
4,"('abortion', 'rights', 'protestors')",1.4977419179803302
5,"('protesters', 'gathered', 'outside')",1.1797844504289103
6,"('dozens', 'abortion', 'rights')",1.1797844504289103
7,"('protests', 'were', 'also')",1.1797844504289103
8,"('there', 'were', 'demonstrations')",0.9336004648799682
9,"('were', 'also', 'held')",3.062262271688604e-05
10,"('outside', 'supreme', 'court')",2.0622800639239304e-05
11,"('abortion', 'rights', 'protests')",2.0311402943084314e-05
12,"('rights', 'protestors', 'gathered')",2.0311402943084314e-05
13,"('there', 'were', 'protests')",2.0311402943084314e-05
14,"('june', 'dozens', 'abortion')",2.0311402943084314e-05
15,"('approximately', 'people', 'participated')",2.0311402943084314e-05
16,"('demonstrations', 'were', 'held')",1.0622994406498482e-05
17,"('outside', 'homes', 'justices')",1.0311499827626858e-05
18,"('organized', 'women', 'march')",1.0311499827626858e-05
19,"('protesters', 'marched', 'from')",1.0311499827626858e-05
20,"('barclays', 'center', 'brooklyn')",1.0311499827626858e-05
21,"('dozens', 'gathered', 'outside')",1.0311499827626858e-05
22,"('abortionrights', 'rally', 'that')",1.0311499827626858e-05
23,"('hundreds', 'marched', 'from')",1.0311499827626858e-05
24,"('oregon', 'state', 'capitol')",1.0311499827626858e-05
25,"('state', 'capitol', 'salem')",1.0311499827626858e-05
26,"('utah', 'state', 'capitol')",1.0311499827626858e-05
27,"('demonstration', 'also', 'held')",1.0311499827626858e-05
28,"('nine', 'justices', 'their')",1.0311499827626858e-05
29,"('hundreds', 'protesters', 'gathered')",1.0311499827626858e-05
30,"('antiabortion', 'proabortion', 'rights')",1.0311499827626858e-05
31,"('june', 'more', 'than')",1.0311499827626858e-05
32,"('were', 'arrested', 'washington')",1.0311499827626858e-05
33,"('arrested', 'washington', 'after')",1.0311499827626858e-05
34,"('blocking', 'intersection', 'near')",1.0311499827626858e-05
35,"('intersection', 'near', 'supreme')",1.0311499827626858e-05
36,"('july', 'abortion', 'rights')",1.0311499827626858e-05
37,"('than', 'people', 'gathered')",1.0311499827626858e-05
38,"('group', 'abortion', 'rights')",1.0311499827626858e-05
39,"('protest', 'held', 'outside')",1.0311499827626858e-05
40,"('june', 'protests', 'were')",1.0311499827626858e-05
41,"('outside', 'american', 'embassy')",1.0311499827626858e-05
42,"('justices', 'their', 'families')",1.0311499827626858e-05
43,"('additionally', 'approximately', 'people')",1.0311499827626858e-05
44,"('hundreds', 'abortion', 'rights')",1.0311499827626858e-05
45,"('kansas', 'city', 'springfield')",1.0311499827626858e-05
46,"('supreme', 'court', 'officially')",1.0311499827626858e-05
47,"('court', 'officially', 'overturned')",1.0311499827626858e-05
48,"('resulting', 'further', 'protests')",1.0311499827626858e-05
49,"('protests', 'occurred', 'cities')",1.0311499827626858e-05
