,word,relevance_score
0,"('abortion', 'rights', 'movement')",1.4792911055194822
1,"('women', 'that', 'were')",1.1582588798954858
2,"('movement', 'abortion', 'rights')",2.0149947731480554e-05
3,"('terminate', 'their', 'pregnancy')",2.0149947731480554e-05
4,"('risk', 'mental', 'physical')",2.0149947731480554e-05
5,"('mental', 'physical', 'health')",1.0300713764221968e-05
6,"('mental', 'health', 'woman')",1.015004618982306e-05
7,"('abortion', 'reform', 'association')",1.015004618982306e-05
8,"('birth', 'control', 'women')",1.015004618982306e-05
9,"('about', 'birth', 'control')",1.015004618982306e-05
10,"('information', 'about', 'birth')",1.015004618982306e-05
11,"('that', 'were', 'sexually')",1.015004618982306e-05
12,"('were', 'sexually', 'assaulted')",1.015004618982306e-05
13,"('``', 'jane', ""''"")",1.015004618982306e-05
14,"('abortion', 'laws', 'should')",1.015004618982306e-05
15,"('that', 'abortion', 'laws')",1.015004618982306e-05
16,"('infant', 'life', 'preservation')",1.015004618982306e-05
17,"('abortion', 'care', 'providers')",1.015004618982306e-05
18,"('abortions', 'were', 'performed')",1.015004618982306e-05
19,"('million', 'abortions', 'were')",1.015004618982306e-05
20,"('suggested', 'that', 'abortion')",1.015004618982306e-05
21,"('million', 'women', 'treated')",1.015004618982306e-05
22,"('women', 'abortion', 'rights')",1.015004618982306e-05
23,"('illegal', 'south', 'korea')",1.015004618982306e-05
24,"('best', 'their', 'ability')",1.015004618982306e-05
25,"('threatened', 'medical', 'condition')",1.015004618982306e-05
26,"('abortion', 'rights', 'campaign')",1.015004618982306e-05
27,"('united', 'kingdom', 'abortion')",1.015004618982306e-05
28,"('poses', 'risk', 'mental')",1.015004618982306e-05
29,"('after', 'birth', 'such')",1.015004618982306e-05
30,"('them', 'provide', 'abortion')",1.015004618982306e-05
31,"('experts', 'suggested', 'that')",1.015004618982306e-05
32,"('these', 'women', 'were')",1.015004618982306e-05
33,"('that', 'supported', 'advancement')",1.015004618982306e-05
34,"('antiabortion', 'movements', 'rallies')",1.015004618982306e-05
35,"('movements', 'rallies', 'because')",1.015004618982306e-05
36,"('rallies', 'because', 'states')",1.015004618982306e-05
37,"('abortion', 'services', 'that')",1.015004618982306e-05
38,"('because', 'states', 'already')",1.015004618982306e-05
39,"('states', 'already', 'passed')",1.015004618982306e-05
40,"('without', 'fear', 'legal')",1.015004618982306e-05
41,"('already', 'passed', 'banning')",1.015004618982306e-05
42,"('abortion', 'without', 'fear')",1.015004618982306e-05
43,"('passed', 'banning', 'abortions')",1.015004618982306e-05
44,"('there', 'were', 'antiabortion')",1.015004618982306e-05
45,"('these', 'experts', 'suggested')",1.015004618982306e-05
46,"('procedures', 'only', 'exception')",1.015004618982306e-05
47,"('only', 'exception', 'woman')",1.015004618982306e-05
48,"('provide', 'abortions', 'women')",1.015004618982306e-05
49,"('some', 'states', 'began')",1.015004618982306e-05
